IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1200 100.000000
21 1089 100.000000
41 787 99.980940
61 0 99.980940
81 0 99.980940
101 0 99.980940
121 0 99.980940
141 0 99.980940
161 0 99.980940
181 0 99.980940
201 0 99.980940
221 0 99.980940
241 0 99.980940
261 0 99.980940
281 0 99.980940
301 0 99.980940
321 0 99.980940
341 0 99.980940
361 0 99.980940
381 0 99.980940
401 0 99.980940
421 0 99.980940
441 0 99.980940
461 0 99.980940
481 0 99.980940
501 0 99.980940
521 0 99.980940
541 0 99.980940
561 0 99.980940
581 0 99.980940
601 0 99.980940
621 0 99.980940
641 0 99.980940
661 0 99.980940
681 0 99.980940
701 0 99.980940
721 0 99.980940
741 0 99.980940
761 0 99.980940
781 0 99.980940
801 0 99.980940
821 0 99.980940
841 0 99.980940
861 0 99.980940
881 0 99.980940
901 0 99.980940
921 0 99.980940
941 0 99.980940
961 1 94.981893
981 15 90.232799
1001 27 85.721159
1021 44 81.435101
1041 44 77.363346
1061 35 73.495178
1081 38 69.820419
1101 24 66.329399
1121 25 63.012929
1141 29 59.862282
1161 28 56.869168
1181 41 54.025710
1201 36 51.324424
1221 42 48.758203
1241 41 46.320293
1261 41 44.004278
1281 41 41.804064
1301 51 39.713861
1321 50 37.728168
1341 43 35.841760
1361 37 34.049672
1381 42 32.347188
1401 44 30.729829
1421 49 29.193337
1441 61 27.733670
1461 46 26.346987
1481 43 25.029637
1501 40 23.778156
1521 49 22.589248
1541 53 21.459785
1561 68 20.386796
1581 60 19.367456
1601 42 18.399084
1621 58 17.479129
1641 55 16.605173
1661 57 15.774914
1681 55 14.986169
1701 47 14.236860
1721 60 13.525017
1741 63 12.848766
1761 46 12.206328
1781 56 11.596012
1801 55 11.016211
1821 45 10.465400
1841 58 9.942130
1861 48 9.445024
1881 57 8.972773
1901 53 8.524134
1921 45 8.097927
1941 46 7.693031
1961 56 7.308379
1981 56 6.942960
2001 61 6.595812
2021 61 6.266022
2041 59 5.952721
2061 52 5.655085
2081 43 5.372330
2101 66 5.103714
2121 61 4.848528
2141 65 4.606102
2161 42 4.375797
2181 53 4.157007
2201 53 3.949157
2221 53 3.751699
2241 43 3.564114
2261 45 3.385908
2281 43 3.216613
2301 50 3.055782
2321 46 2.902993
2341 47 2.757843
2361 48 2.619951
2381 42 2.488954
2401 50 2.364506
2421 31 2.246281
2441 46 2.133967
2461 33 2.027268
2481 33 1.925905
2501 34 1.829610
2521 40 1.738129
2541 26 1.651223
2561 29 1.568662
2581 32 1.490228
2601 25 1.415717
2621 37 1.344931
2641 33 1.277685
2661 26 1.213800
2681 26 1.153110
2701 18 1.095455
2721 19 1.040682
2741 20 0.988648
2761 18 0.939216
2781 15 0.892255
2801 20 0.847642
2821 22 0.805260
2841 17 0.764997
2861 13 0.726747
2881 11 0.690410
2901 12 0.655889
2921 9 0.623095
2941 10 0.591940
2961 16 0.562343
2981 6 0.534226
3001 8 0.507515
3021 10 0.482139
3041 6 0.458032
3061 2 0.435130
3081 3 0.413374
3101 3 0.392705
3121 3 0.373070
3141 3 0.354416
3161 3 0.336696
3181 1 0.319861
3201 2 0.303868
3221 2 0.303868
3241 2 0.303868
3261 2 0.303868
3281 2 0.303868
3301 1 0.288674
3321 1 0.288674
3341 1 0.288674
3361 1 0.288674
3381 1 0.288674
3401 1 0.288674
3421 1 0.288674
3441 1 0.288674
3461 1 0.288674
3481 1 0.288674
3501 1 0.288674
3521 1 0.288674
3541 1 0.288674
3561 1 0.288674
3581 1 0.288674
