IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT
61 110 0 0 1950.225054 -127.699108 40622 0.005426 0.560000 3317 3317 0.000000
61 107 0 0 2348.898872 -61.659651 19296 0.004602 0.560000 4146 4146 0.000000
61 103 0 0 2183.863494 -34.677482 16017 0.004709 0.560000 3827 3827 0.000000
61 102 0 0 1994.213046 -36.357293 20499 0.004945 0.560000 3445 3445 0.000000
61 88 0 0 2251.289357 -73.109215 23239 0.004716 0.560000 3955 3955 0.000000
61 76 0 0 2288.040973 -121.348495 28360 0.004354 0.560000 4082 4082 0.000000
61 32 0 0 2150.894821 -58.974117 20151 0.005063 0.560000 3764 3764 0.000000
61 73 0 0 2165.636118 -94.690128 17956 0.004531 0.560000 3891 3891 0.000000
61 101 0 0 2513.755960 -192.066661 36136 0.005685 0.560000 4465 4465 0.000000
61 133 0 0 2417.594183 -280.568886 22102 0.005705 0.560000 4593 4593 0.000000
61 127 0 0 2076.137600 -319.304659 37947 0.005705 0.560000 3891 3891 0.000000
61 94 0 0 1909.376887 -134.204682 7586 0.005703 0.560000 3572 3572 0.000000
61 53 0 0 1948.444905 -165.354207 13615 0.005702 0.560000 3636 3636 0.000000
61 40 0 0 1939.113456 -192.323392 16708 0.005702 0.560000 3636 3636 0.000000
121 34 0 0 1643.040000 0.000000 0 0.003322 0.560000 2934 2934 1544.833333
121 113 0 0 2043.904606 0.000000 1000 0.007745 0.560000 3636 3636 408.110163
121 97 0 0 2285.920000 0.000000 0 0.004010 0.560000 4082 4082 458.062163
121 40 0 0 2151.438412 0.000000 27389 0.004209 0.560000 3636 3636 0.000000
121 59 0 0 1488.821718 24.421718 0 0.005699 0.560000 2615 2615 1376.916667
121 137 0 0 1579.349923 -31.540005 7226 0.005393 0.560000 2807 2807 1477.666667
