IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22292.888000 0.000000 22292.888000 -22292.888000 0.000000 0.000000
1 156 0.000000 0.000000 20985.765000 0.000000 20985.765000 -20985.765000 0.000000 0.000000
61 157 11231.093242 11231.093242 40013.914000 34920.240894 5093.673107 -28782.820758 0.000000 0.000000
61 156 10581.332830 10581.332830 37931.567729 33136.200987 4795.366742 -27350.234899 0.000000 0.000000
121 157 6462.084931 6462.084931 182914.891393 177911.957513 5002.933880 -176452.806462 0.000000 0.000000
121 156 6028.913908 6028.913908 185043.670358 180309.620606 4734.049752 -179014.756451 0.000000 0.000000
181 157 5457.548665 5457.548665 157659.661905 152765.034187 4894.627718 -152202.113240 0.000000 0.000000
181 156 5042.313931 5042.313931 163589.752096 158955.814951 4633.937144 -158547.438164 0.000000 0.000000
241 157 4882.951883 4882.951883 80192.722325 75408.440663 4784.281662 -75309.770442 0.000000 0.000000
241 156 4489.442219 4489.442219 71576.206993 67040.995567 4535.211426 -67086.764775 0.000000 0.000000
301 157 4600.802960 4600.802960 38280.558546 33609.284175 4671.274371 -33679.755587 0.000000 0.000000
301 156 4231.031187 4231.031187 34476.385413 30042.961249 4433.424164 -30245.354225 0.000000 0.000000
361 157 4379.357698 4379.357698 45272.815808 40707.403189 4565.412619 -40893.458110 0.000000 0.000000
361 156 4025.766775 4025.766775 40033.606267 35696.308943 4337.297324 -36007.839492 0.000000 0.000000
421 157 4046.466345 4046.466345 164334.322848 119595.351340 44738.971509 -160287.856503 0.000000 0.000000
421 156 3723.203804 3723.203804 151840.861882 109371.754163 42469.107719 -148117.658079 0.000000 0.000000
481 157 7781.455705 7781.455705 338932.405557 293112.725526 45819.680031 -331150.949852 0.000000 0.000000
481 156 7190.609632 7190.609632 309297.687704 265830.767193 43466.920511 -302107.078072 0.000000 0.000000
541 157 3923.673490 3923.673490 194734.264161 148292.890226 46441.373935 -190810.590672 0.000000 0.000000
541 156 3682.839370 3682.839370 175870.603162 131688.948628 44181.654534 -172187.763792 0.000000 0.000000
601 157 1480.122747 1480.122747 61908.625862 15246.069208 46662.556654 -60428.503115 0.000000 0.000000
601 156 1541.826158 1541.826158 59746.778310 15323.820187 44422.958122 -58204.952151 0.000000 0.000000
661 157 1294.862800 1294.862800 47449.395652 789.236671 46660.158982 -46154.532852 0.000000 0.000000
661 156 1366.352428 1366.352428 44995.228029 529.919807 44465.308222 -43628.875601 0.000000 0.000000
721 157 1265.902849 1265.902849 46937.546858 275.497879 46662.048979 -45671.644009 0.000000 0.000000
721 156 1333.178891 1333.178891 45300.539069 785.401667 44515.137402 -43967.360179 0.000000 0.000000
781 157 1256.851547 1256.851547 47176.910169 509.009120 46667.901049 -45920.058622 0.000000 0.000000
781 156 1307.860060 1307.860060 44994.109922 426.187150 44567.922772 -43686.249862 0.000000 0.000000
841 157 1240.878451 1240.878451 5459.658995 792.110311 4667.548684 -4218.780544 0.000000 0.000000
841 156 1287.175582 1287.175582 5577.214080 1114.885951 4462.328129 -4290.038498 0.000000 0.000000
901 157 399.304113 399.304113 5371.207359 913.314641 4457.892718 -4971.903247 0.000000 0.000000
901 156 415.669443 415.669443 4427.376897 159.840681 4267.536216 -4011.707455 0.000000 0.000000
961 157 391.745633 391.745633 4489.990200 247.054547 4242.935654 -4098.244567 0.000000 0.000000
961 156 411.202012 411.202012 4560.408726 494.077374 4066.331351 -4149.206714 0.000000 0.000000
