IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
1575 0 0.006321
1580 0 0.006321
1585 332000 0.006321
1590 0 0.006321
1595 0 0.006321
1600 0 0.006321
1605 332000 0.006321
1610 0 0.006321
1615 0 0.006321
1620 0 0.006321
1625 332000 0.006321
1630 0 0.006321
1635 0 0.006321
1640 0 0.006321
1645 332000 0.006321
1650 0 0.006321
1655 0 0.006321
1660 0 0.006321
1665 332000 0.006321
1670 0 0.006321
1675 0 0.006321
1680 0 0.006321
1685 332000 0.006321
1690 0 0.006321
1695 0 0.006321
1700 0 0.006321
1705 332000 0.006321
1710 0 0.006321
1715 0 0.006321
1720 0 0.006321
1725 332000 0.006321
1730 0 0.006321
1735 0 0.006321
1740 0 0.006321
1745 332000 0.006321
1750 0 0.006321
1755 0 0.006321
1760 0 0.006321
1765 332000 0.006321
1770 0 0.006321
1775 0 0.006321
1780 0 0.006321
1785 332000 0.006321
1790 0 0.006321
1795 0 0.006321
1800 0 0.006321
1805 332000 0.006321
1810 0 0.006321
1815 0 0.006321
1820 0 0.006321
1825 332000 0.006321
1830 0 0.006321
1835 0 0.006321
1840 0 0.006321
1845 332000 0.006321
1850 0 0.006321
1855 0 0.006321
1860 0 0.006321
1865 332000 0.006321
1870 0 0.006321
1875 0 0.006321
1880 0 0.006321
1885 332000 0.006321
1890 0 0.006321
1895 0 0.006321
1900 0 0.006321
1905 332000 0.006321
1910 0 0.006321
1915 0 0.006321
1920 0 0.006321
1925 332000 0.006321
1930 0 0.006321
1935 0 0.006321
1940 0 0.006321
1945 332000 0.006321
1950 0 0.006321
1955 0 0.006321
1960 0 0.006321
1965 332000 0.006321
1970 0 0.006321
1975 0 0.006321
1980 0 0.006321
1985 332000 0.006321
1990 0 0.006321
1995 0 0.006321
2000 0 0.006321
2005 332000 0.006321
2010 0 0.006321
2015 0 0.006321
2020 0 0.006321
2025 332000 0.006321
2030 0 0.006321
2035 0 0.006321
2040 0 0.006321
2045 332000 0.006321
2050 0 0.006321
2055 0 0.006321
2060 0 0.006321
2065 332000 0.006321
2070 0 0.006321
2075 0 0.006321
2080 0 0.006321
2085 332000 0.006321
2090 0 0.006321
2095 0 0.006321
2100 0 0.006321
2105 332000 0.006321
2110 0 0.006321
2115 0 0.006321
2120 0 0.006321
2125 332000 0.006321
2130 0 0.006321
2135 0 0.006321
2140 0 0.006321
2145 332000 0.006321
2150 0 0.006321
2155 0 0.006321
2160 0 0.006321
2165 332000 0.006321
2170 0 0.006321
2175 0 0.006321
2180 0 0.006321
2185 332000 0.006321
2190 0 0.006321
2195 0 0.006321
2200 0 0.006321
2205 332000 0.006321
2210 0 0.006321
2215 0 0.006321
2220 0 0.006321
2225 332000 0.006321
2230 0 0.006321
2235 0 0.006321
2240 0 0.006321
2245 332000 0.006321
2250 0 0.006321
2255 0 0.006321
2260 0 0.006321
2265 332000 0.006321
2270 0 0.006321
2275 0 0.006321
2280 0 0.006321
2285 332000 0.006321
2290 0 0.006321
2295 0 0.006321
2300 0 0.006321
2305 332000 0.006321
2310 0 0.006321
2315 0 0.006321
2320 0 0.006321
2325 332000 0.006321
2330 0 0.006321
2335 0 0.006321
2340 0 0.006321
2345 332000 0.006321
2350 0 0.006321
2355 0 0.006321
2360 0 0.006321
2365 332000 0.006321
2370 0 0.006321
2375 0 0.006321
2380 0 0.006321
2385 332000 0.006321
2390 0 0.006321
2395 0 0.006321
2400 0 0.006321
2405 332000 0.006321
2410 0 0.006321
2415 0 0.006321
2420 0 0.006321
2425 332000 0.006321
2430 0 0.006321
2435 0 0.006321
2440 0 0.006321
2445 332000 0.006321
2450 0 0.006321
2455 0 0.006321
2460 0 0.006321
2465 332000 0.006321
2470 0 0.006321
2475 0 0.006321
2480 0 0.006321
2485 332000 0.006321
2490 0 0.006321
2495 0 0.006321
2500 0 0.006321
2505 332000 0.006321
2510 0 0.006321
2515 0 0.006321
2520 0 0.006321
2525 332000 0.006321
2530 0 0.006321
2535 0 0.006321
2540 0 0.006321
2545 332000 0.006321
2550 0 0.006321
2555 0 0.006321
2560 0 0.006321
2565 332000 0.006321
2570 0 0.006321
2575 0 0.006321
2580 0 0.006321
2585 332000 0.006321
2590 0 0.006321
2595 0 0.006321
2600 0 0.006321
2605 332000 0.006321
2610 0 0.006321
2615 0 0.006321
2620 0 0.006321
2625 332000 0.006321
2630 0 0.006321
2635 0 0.006321
2640 0 0.006321
2645 332000 0.006321
2650 0 0.006321
2655 0 0.006321
2660 0 0.006321
2665 332000 0.006321
2670 0 0.006321
2675 0 0.006321
2680 0 0.006321
2685 332000 0.006321
2690 0 0.006321
2695 0 0.006321
2700 0 0.006321
2705 332000 0.006321
2710 0 0.006321
2715 0 0.006321
2720 0 0.006321
2725 332000 0.006321
2730 0 0.006321
2735 0 0.006321
2740 0 0.006321
2745 332000 0.006321
2750 0 0.006321
2755 0 0.006321
2760 0 0.006321
2765 332000 0.006321
2770 0 0.006321
2775 0 0.006321
2780 0 0.006321
2785 332000 0.006321
2790 0 0.006321
2795 0 0.006321
2800 0 0.006321
2805 332000 0.006321
2810 0 0.006321
2815 0 0.006321
2820 0 0.006321
2825 332000 0.006321
2830 0 0.006321
2835 0 0.006321
2840 0 0.006321
2845 332000 0.006321
2850 0 0.006321
2855 0 0.006321
2860 0 0.006321
2865 332000 0.006321
2870 0 0.006321
2875 0 0.006321
2880 0 0.006321
2885 332000 0.006321
2890 0 0.006321
2895 0 0.006321
2900 0 0.006321
2905 332000 0.006321
2910 0 0.006321
2915 0 0.006321
2920 0 0.006321
2925 332000 0.006321
2930 0 0.006321
2935 0 0.006321
2940 0 0.006321
2945 332000 0.006321
2950 0 0.006321
2955 0 0.006321
2960 0 0.006321
2965 332000 0.006321
2970 0 0.006321
2975 0 0.006321
2980 0 0.006321
2985 332000 0.006321
2990 0 0.006321
2995 0 0.006321
3000 0 0.006321
3005 332000 0.006321
3010 0 0.006321
3015 0 0.006321
3020 0 0.006321
3025 332000 0.006321
3030 0 0.006321
3035 0 0.006321
3040 0 0.006321
3045 332000 0.006321
