IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
161 22 4 24 6 17
161 27 4 28 7 20
161 23 2 27 6 19
161 1 5 25 10 18
161 11 12 17 6 12
161 19 17 15 7 11
161 10 11 11 6 8
161 16 10 28 7 20
181 16 10 25 7 18
181 11 12 14 7 10
181 1 5 20 10 14
181 23 2 25 7 18
181 27 4 28 7 20
181 22 4 20 6 14
181 24 7 8 7 6
181 20 7 27 8 19
181 13 2 20 9 14
181 26 1 18 0 13
181 15 7 25 10 18
181 18 1 21 4 15
181 3 4 28 9 20
181 12 1 27 5 19
181 14 5 27 7 19
181 6 11 27 8 19
181 29 2 11 7 8
181 30 12 11 8 8
181 28 5 17 7 12
181 17 1 15 5 11
181 2 7 15 9 11
181 5 1 22 7 16
181 8 2 21 11 15
181 4 14 17 12 12
181 25 12 12 8 9
181 21 11 11 13 8
181 7 10 8 11 6
181 9 14 21 13 15
181 19 15 22 8 16
181 10 11 25 6 18
201 7 8 14 11 10
201 30 11 28 9 20
201 21 11 8 14 6
201 25 12 18 8 13
201 16 10 28 8 20
201 11 12 18 7 13
201 1 5 15 11 11
201 23 2 12 7 9
201 27 4 28 8 20
201 22 4 11 6 8
201 24 7 24 7 17
201 20 7 7 8 5
201 13 2 18 9 13
201 26 1 27 0 19
201 15 7 28 10 20
201 18 1 11 4 8
201 3 4 21 9 15
201 12 1 8 5 6
201 14 5 28 7 20
201 6 11 12 9 9
201 29 2 20 7 14
201 28 5 25 7 18
201 17 1 28 5 20
201 2 7 17 10 12
201 5 1 25 7 18
201 8 2 25 11 18
201 4 14 18 13 13
201 9 14 15 14 11
201 19 15 28 9 20
201 10 11 18 7 13
221 21 8 24 15 17
221 20 7 7 9 5
221 7 8 8 11 6
221 30 11 25 10 18
221 25 12 28 9 20
221 16 10 18 8 13
221 11 12 24 8 17
221 1 5 18 11 13
221 23 2 27 7 19
221 27 4 21 8 15
221 22 4 20 6 14
221 24 7 4 8 3
221 13 2 25 9 18
221 26 1 18 0 13
221 15 7 25 11 18
221 18 1 24 4 17
221 3 4 18 9 13
221 12 1 24 5 17
221 14 5 8 8 6
221 6 11 21 10 15
221 29 2 12 7 9
221 28 5 28 7 20
221 17 1 18 5 13
221 2 7 15 10 11
221 5 1 21 7 15
221 8 2 14 11 10
221 4 14 12 14 9
221 9 14 18 15 13
221 19 15 27 10 19
221 10 11 22 8 16
241 10 11 20 9 14
241 19 15 28 11 20
241 9 14 20 16 14
241 8 2 20 11 14
241 5 1 15 7 11
241 2 7 14 10 10
241 17 1 18 5 13
241 28 5 15 8 11
241 29 2 5 8 4
241 6 11 27 11 19
241 14 5 11 8 8
241 12 1 18 5 13
241 3 4 12 9 9
241 18 1 25 4 18
241 15 7 21 11 15
241 26 1 20 0 14
241 13 2 24 9 17
241 22 4 21 7 15
241 27 4 27 9 19
241 23 2 21 7 15
241 1 5 18 12 13
241 11 12 18 9 13
241 16 10 21 9 15
241 25 12 24 10 17
241 30 11 24 11 17
241 21 8 12 16 9
241 20 7 4 10 3
241 7 8 15 12 11
241 24 4 18 8 13
241 4 12 17 15 12
261 20 4 10 10 7
261 10 11 10 10 7
261 19 15 21 12 15
261 9 14 17 17 12
261 8 2 15 12 11
261 5 1 22 7 16
261 2 7 27 10 19
261 17 1 27 5 19
261 28 5 10 9 7
261 29 2 27 8 19
261 6 11 20 12 14
261 14 5 21 8 15
261 12 1 28 5 20
261 3 4 22 10 16
261 18 1 22 4 16
261 15 7 12 12 9
261 26 1 17 0 12
261 13 2 14 9 10
261 22 4 12 7 9
261 27 4 28 9 20
261 23 2 27 7 19
261 1 5 12 12 9
261 11 12 18 10 13
261 16 10 24 10 17
261 25 12 15 11 11
261 30 11 11 12 8
261 21 8 22 16 16
261 7 8 10 13 7
261 24 4 27 8 19
261 4 12 11 16 8
281 4 11 10 17 7
281 10 10 17 10 12
281 30 11 27 12 19
281 20 4 10 11 7
281 19 15 28 13 20
281 9 14 28 18 20
281 8 2 24 12 17
281 5 1 28 7 20
281 2 7 27 11 19
281 17 1 24 5 17
281 28 5 12 9 9
281 29 2 24 8 17
281 6 11 28 12 20
281 14 5 10 8 7
281 12 1 15 5 11
281 3 4 18 10 13
281 18 1 11 4 8
281 15 7 7 12 5
281 26 1 21 0 15
281 13 2 17 10 12
281 22 4 21 7 15
281 27 4 15 9 11
281 23 2 11 8 8
281 1 5 22 12 16
281 11 12 25 10 18
281 16 10 14 10 10
281 25 12 12 12 9
281 21 8 22 17 16
281 7 8 7 14 5
281 24 4 18 9 13
301 24 4 27 9 19
301 21 8 17 17 12
301 16 10 8 11 6
301 11 12 24 11 17
301 1 5 7 13 5
301 23 2 12 8 9
301 27 4 24 9 17
301 22 4 12 7 9
301 13 2 10 10 7
301 26 1 28 0 20
301 18 1 24 4 17
301 3 4 15 10 11
301 12 1 21 5 15
301 14 5 15 9 11
301 6 11 14 12 10
301 29 2 17 8 12
301 28 5 5 10 4
301 17 1 24 5 17
301 2 7 17 11 12
301 5 1 15 7 11
301 8 2 15 12 11
301 9 14 15 19 11
301 19 15 12 14 9
301 20 4 25 11 18
301 30 11 12 12 9
301 10 10 21 11 15
301 15 7 5 12 4
301 25 12 25 13 18
301 4 10 25 18 18
301 7 7 25 14 18
321 15 5 25 12 18
321 19 12 17 15 12
321 16 8 21 11 15
321 28 5 20 10 14
321 24 4 11 9 8
321 21 8 28 17 20
321 11 12 15 11 11
321 1 5 18 13 13
321 23 2 20 8 14
321 27 4 15 9 11
321 22 4 5 8 4
321 13 2 28 10 20
321 26 1 15 0 11
321 18 1 17 4 12
321 3 4 12 11 9
321 12 1 21 5 15
321 14 5 24 9 17
321 6 11 14 13 10
321 29 2 24 8 17
321 17 1 18 5 13
321 2 7 24 12 17
321 5 1 10 7 7
321 8 2 15 12 11
321 9 14 14 20 10
321 20 4 27 11 19
321 30 11 24 13 17
321 10 10 21 12 15
321 25 12 25 14 18
321 4 10 21 19 15
321 7 7 14 14 10
341 9 14 18 21 13
341 15 5 25 13 18
341 19 12 25 16 18
341 16 8 14 12 10
341 28 5 14 10 10
341 24 4 20 9 14
341 21 8 28 18 20
341 11 12 22 12 16
341 1 5 27 13 19
341 23 2 21 8 15
341 27 4 20 10 14
341 22 4 28 8 20
341 13 2 25 10 18
341 26 1 25 0 18
341 18 1 24 4 17
341 3 4 28 11 20
341 12 1 25 5 18
341 14 5 11 9 8
341 6 11 28 13 20
341 29 2 18 9 13
341 17 1 28 5 20
341 2 7 18 12 13
341 5 1 27 7 19
341 8 2 21 12 15
341 20 4 4 12 3
341 30 11 22 13 16
341 10 10 18 12 13
341 25 12 25 14 18
341 4 10 10 20 7
341 7 7 15 15 11
361 7 7 21 16 15
361 25 12 14 14 10
361 10 10 28 12 20
361 30 11 21 14 15
361 8 2 25 12 18
361 5 1 28 7 20
361 2 7 18 12 13
361 17 1 20 5 14
361 29 2 25 9 18
361 6 11 24 13 17
361 14 5 7 10 5
361 12 1 8 5 6
361 3 4 8 11 6
361 18 1 15 4 11
361 26 1 20 0 14
361 13 2 28 10 20
361 22 4 22 8 16
361 27 4 11 10 8
361 23 2 11 8 8
361 1 5 22 13 16
361 11 12 24 12 17
361 21 8 27 18 19
361 24 4 11 9 8
361 28 5 17 10 12
361 16 8 22 13 16
361 19 12 11 17 8
361 15 5 5 13 4
361 9 14 14 21 10
361 20 4 20 12 14
361 4 10 14 20 10
381 19 11 28 18 20
381 9 14 11 22 8
381 15 5 10 13 7
381 7 7 25 16 18
381 25 12 14 15 10
381 10 10 15 13 11
381 30 11 17 15 12
381 8 2 10 13 7
381 5 1 25 7 18
381 2 7 10 13 7
381 17 1 22 5 16
381 29 2 24 9 17
381 6 11 22 14 16
381 14 5 24 10 17
381 12 1 11 5 8
381 3 4 8 11 6
381 18 1 12 4 9
381 26 1 25 0 18
381 13 2 17 10 12
381 22 4 22 8 16
381 27 4 15 10 11
381 23 2 24 8 17
381 1 5 24 14 17
381 11 12 10 13 7
381 21 8 20 18 14
381 24 4 20 10 14
381 28 5 27 10 19
381 16 8 14 14 10
381 20 4 15 12 11
381 4 10 11 20 8
401 11 10 14 14 10
401 9 11 21 22 15
401 19 11 25 18 18
401 15 5 2 14 2
401 7 7 27 16 19
401 25 12 17 15 12
401 10 10 18 13 13
401 30 11 27 15 19
401 8 2 12 13 9
401 5 1 27 7 19
401 2 7 28 13 20
401 17 1 20 5 14
401 29 2 17 9 12
401 6 11 11 14 8
401 14 5 22 10 16
401 12 1 10 5 7
401 3 4 17 11 12
401 18 1 28 4 20
401 26 1 15 0 11
401 13 2 15 10 11
401 22 4 18 8 13
401 27 4 27 11 19
401 23 2 11 9 8
401 1 5 25 14 18
401 21 8 18 19 13
401 24 4 2 10 2
401 28 5 20 11 14
401 16 8 27 14 19
401 20 4 15 12 11
401 4 10 17 21 12
421 4 10 14 21 10
421 20 4 28 12 20
421 16 8 15 14 11
421 28 5 21 11 15
421 21 8 22 19 16
421 1 5 27 14 19
421 27 4 11 11 8
421 22 4 14 8 10
421 13 2 22 11 16
421 26 1 28 0 20
421 18 1 11 4 8
421 3 4 15 11 11
421 12 1 22 5 16
421 14 5 20 10 14
421 29 2 22 9 16
421 17 1 25 5 18
421 2 7 4 14 3
421 5 1 15 7 11
421 8 2 25 13 18
421 30 11 15 15 11
421 10 10 25 14 18
421 25 12 28 16 20
421 7 7 12 16 9
421 19 11 8 19 6
421 9 11 25 22 18
421 11 10 10 15 7
421 6 11 18 15 13
421 15 2 25 14 18
421 24 2 25 10 18
421 23 2 21 9 15
441 19 8 10 20 7
441 2 4 24 14 17
441 11 10 15 15 11
441 4 10 12 22 9
441 20 4 18 12 13
441 16 8 18 15 13
441 28 5 4 12 3
441 21 8 11 20 8
441 1 5 11 15 8
441 27 4 12 11 9
441 22 4 5 9 4
441 13 2 11 11 8
441 26 1 22 0 16
441 18 1 24 4 17
441 3 4 8 12 6
441 12 1 18 5 13
441 14 5 12 11 9
441 29 2 14 9 10
