IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4111329.376460 2163932.650000 1947396.726460 0.000000 2163932.650000 -216535.923540 2163932.650000 0.000000
121 0.005000 -0.285783 9736.983632 0.000000 0.000000 4069645.622460 2163932.650000 1905712.972460 0.000000 2163932.650000 -258219.677540 2163932.650000 0.000000
181 0.005000 -0.309027 9528.564862 0.000000 0.000000 4027831.267696 2163932.650000 1863898.617696 0.000000 2163932.650000 -300034.032304 2163932.650000 0.000000
241 0.005000 -0.278230 9319.493088 0.000000 0.000000 3984872.356941 2163932.650000 1820939.706941 0.000000 2163932.650000 -342992.943059 2163932.650000 0.000000
301 0.005000 -0.253899 9104.698535 0.000000 0.000000 3944474.638612 2163932.650000 1780541.988612 0.000000 2163932.650000 -383390.661388 2163932.650000 0.000000
361 0.005000 0.015646 8902.709943 0.000000 0.000000 3908094.234560 2163932.650000 1744161.584560 0.000000 2163932.650000 -419771.065440 2163932.650000 0.000000
421 0.050000 0.295861 87208.079228 0.000000 0.000000 3949664.660837 2163932.650000 1785732.010837 0.000000 2163932.650000 -378200.639163 2163932.650000 0.000000
481 0.050000 0.401366 89286.600542 0.000000 0.000000 3976393.219386 2163932.650000 1812460.569386 0.000000 2163932.650000 -351472.080614 2163932.650000 0.000000
541 0.050000 0.512921 90623.028469 0.000000 0.000000 3985642.945527 2163932.650000 1821710.295527 0.000000 2163932.650000 -342222.354473 2163932.650000 0.000000
601 0.050000 0.943273 91085.514776 0.000000 0.000000 3986441.994069 2163932.650000 1822509.344069 0.000000 2163932.650000 -341423.305931 2163932.650000 0.000000
661 0.050000 0.758782 91125.467203 0.000000 0.000000 3987476.377621 2163932.650000 1823543.727621 0.000000 2163932.650000 -340388.922379 2163932.650000 0.000000
721 0.050000 0.534921 91177.186381 0.000000 0.000000 3988649.126416 2163932.650000 1824716.476416 0.000000 2163932.650000 -339216.173584 2163932.650000 0.000000
781 0.050000 0.369303 91235.823821 0.000000 0.000000 3989908.012650 2163932.650000 1825975.362650 0.000000 2163932.650000 -337957.287350 2163932.650000 0.000000
841 0.005000 0.000000 9129.876813 0.000000 0.000000 3909018.436877 2163932.650000 1745085.786877 0.000000 2163932.650000 -418846.863123 2163932.650000 0.000000
901 0.005000 -0.280457 8725.428934 0.000000 0.000000 3825786.051001 2163932.650000 1661853.401001 0.000000 2163932.650000 -502079.248999 2163932.650000 0.000000
961 0.005000 -0.280457 8309.267005 0.000000 0.000000 3742284.064398 2163932.650000 1578351.414398 0.000000 2163932.650000 -585581.235602 2163932.650000 0.000000
1021 0.005000 -0.280457 7891.757072 0.000000 0.000000 3658077.565961 2163932.650000 1494144.915961 0.000000 2163932.650000 -669787.734039 2163932.650000 0.000000
1081 0.005000 -0.280457 7470.724580 0.000000 0.000000 3573665.951284 2163932.650000 1409733.301284 0.000000 2163932.650000 -754199.348716 2163932.650000 0.000000
