IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22293.541000 0.000000 22293.541000 -22293.541000 0.000000 0.000000
1 156 0.000000 0.000000 20985.112000 0.000000 20985.112000 -20985.112000 0.000000 0.000000
61 157 11234.737507 11234.737507 42532.522399 37438.699444 5093.822955 -31297.784892 0.000000 0.000000
61 156 10595.972254 10595.972254 36388.271351 31593.054457 4795.216893 -25792.299097 0.000000 0.000000
121 157 6378.255457 6378.255457 190737.765530 185738.236664 4999.528866 -184359.510073 0.000000 0.000000
121 156 5925.402513 5925.402513 210673.558389 205934.857944 4738.700446 -204748.155877 0.000000 0.000000
181 157 5471.872732 5471.872732 161790.383168 156905.112123 4885.271045 -156318.510436 0.000000 0.000000
181 156 5082.166386 5082.166386 149409.517013 144777.977212 4631.539801 -144327.350627 0.000000 0.000000
241 157 4661.086902 4661.086902 107430.184371 102649.993208 4780.191163 -102769.097469 0.000000 0.000000
241 156 4310.533384 4310.533384 99122.423749 94576.013490 4546.410259 -94811.890365 0.000000 0.000000
301 157 4329.030872 4329.030872 37334.192615 32667.558425 4666.634190 -33005.161743 0.000000 0.000000
301 156 3999.135541 3999.135541 28878.453163 24440.113914 4438.339249 -24879.317622 0.000000 0.000000
361 157 4144.787831 4144.787831 36959.862989 32400.608820 4559.254169 -32815.075159 0.000000 0.000000
361 156 3855.166119 3855.166119 25105.461441 20769.932242 4335.529199 -21250.295322 0.000000 0.000000
421 157 3886.782058 3886.782058 134058.795443 89450.664956 44608.130487 -130172.013385 0.000000 0.000000
421 156 3671.398308 3671.398308 131153.647195 88722.959994 42430.687200 -127482.248887 0.000000 0.000000
481 157 8038.285268 8038.285268 278235.553682 232615.310496 45620.243187 -270197.268415 0.000000 0.000000
481 156 7608.741967 7608.741967 253907.402290 210445.508723 43461.893567 -246298.660323 0.000000 0.000000
541 157 4888.419419 4888.419419 251258.012177 204853.318981 46404.693196 -246369.592758 0.000000 0.000000
541 156 4650.219989 4650.219989 236780.683978 192617.694188 44162.989789 -232130.463988 0.000000 0.000000
601 157 1503.321932 1503.321932 64851.740918 18164.863699 46686.877219 -63348.418986 0.000000 0.000000
601 156 1467.938712 1467.938712 62883.416104 18339.037980 44544.378125 -61415.477392 0.000000 0.000000
661 157 1279.101421 1279.101421 47461.008839 803.484685 46657.524154 -46181.907418 0.000000 0.000000
661 156 1254.445162 1254.445162 44854.855783 289.888960 44564.966822 -43600.410621 0.000000 0.000000
721 157 1253.953440 1253.953440 47429.360732 785.408796 46643.951936 -46175.407291 0.000000 0.000000
721 156 1235.224830 1235.224830 45637.407910 1034.690083 44602.717827 -44402.183080 0.000000 0.000000
781 157 1215.054988 1215.054988 48911.825654 2280.736204 46631.089450 -47696.770666 0.000000 0.000000
781 156 1206.528410 1206.528410 47009.493641 2366.814991 44642.678650 -45802.965231 0.000000 0.000000
841 157 1193.978490 1193.978490 5013.074725 351.078193 4661.996532 -3819.096235 0.000000 0.000000
841 156 1165.996124 1165.996124 4908.157273 439.671052 4468.486220 -3742.161149 0.000000 0.000000
901 157 386.410724 386.410724 4863.229834 412.305834 4450.924000 -4476.819110 0.000000 0.000000
901 156 374.703434 374.703434 4679.142152 406.961751 4272.180401 -4304.438718 0.000000 0.000000
961 157 381.462896 381.462896 4758.905093 525.162690 4233.742402 -4377.442197 0.000000 0.000000
961 156 371.618247 371.618247 4070.362781 0.000000 4070.362781 -3698.744533 0.000000 0.000000
1021 157 377.015212 377.015212 4015.921345 0.000000 4015.921345 -3638.906132 0.000000 0.000000
1021 156 367.812795 367.812795 5029.182079 1161.750048 3867.432032 -4661.369284 0.000000 0.000000
