IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 178.318773 178.318773 0.000000 0.000000 3304.588185 184.080588
121 22.371863 22.371863 0.000000 0.000000 170.161660 28.133677
181 26.773053 26.773053 0.000000 0.000000 14.926752 32.534867
241 84.567127 84.567127 0.000000 0.000000 8.463593 90.328942
301 165.855642 165.855642 0.000000 0.000000 58.640325 171.617457
361 212.591302 212.591302 0.000000 0.000000 169.055592 215.153167
421 1165.259859 1165.259859 0.000000 0.000000 200.133403 1167.821723
481 1714.120552 1714.120552 0.000000 0.000000 1098.655100 1716.682417
541 2323.788733 2323.788733 0.000000 0.000000 1650.050042 2326.350597
601 2911.659745 2911.659745 0.000000 0.000000 2325.433403 2912.576939
661 2911.659745 2911.659745 0.000000 0.000000 2900.050042 2912.576939
721 2911.659745 2911.659745 0.000000 0.000000 2877.610472 2912.576939
781 2911.659745 2911.659745 0.000000 0.000000 2907.518750 2912.576939
841 998.758162 998.758162 0.000000 0.000000 2887.652153 999.675356
901 1039.539936 1039.539936 0.000000 0.000000 985.000000 1040.457131
961 1039.539936 1039.539936 0.000000 0.000000 1025.000000 1040.457131
1021 1039.539936 1039.539936 0.000000 0.000000 965.000000 1040.457131
1081 1019.416963 1019.416963 0.000000 0.000000 775.000000 1020.334158
1141 1039.539936 1039.539936 0.000000 0.000000 770.000000 1040.457131
1201 1039.539936 1039.539936 0.000000 0.000000 800.000000 1040.457131
1261 1039.539936 1039.539936 0.000000 0.000000 1022.518750 1040.457131
1321 1039.539936 1039.539936 0.000000 0.000000 420.000000 1040.457131
1381 1039.539936 1039.539936 0.000000 0.000000 331.258340 1040.457131
1441 1039.539936 1039.539936 0.000000 0.000000 452.516680 1040.457131
1501 1039.539936 1039.539936 0.000000 0.000000 331.258340 1040.457131
1561 1007.835910 1007.835910 0.000000 0.000000 483.775020 1008.753104
1621 1039.539936 1039.539936 0.000000 0.000000 362.516680 1040.457131
1681 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
1741 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
1801 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
1861 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
1921 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
1981 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2041 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2101 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2161 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2221 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2281 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2341 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2401 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2461 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2521 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2581 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2641 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2701 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2761 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2821 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
2881 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
2941 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
3001 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
3061 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
3121 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
3181 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
3241 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
3301 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
3361 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
3421 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
3481 1039.539936 1039.539936 0.000000 0.000000 515.033360 1040.457131
3541 1039.539936 1039.539936 0.000000 0.000000 393.775020 1040.457131
