IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 1 20 20 2 14
1 2 20 21 2 15
1 3 20 27 2 19
1 4 20 25 2 18
1 5 20 18 2 13
1 6 20 21 2 15
1 7 20 20 2 14
1 8 20 21 2 15
1 9 20 20 2 14
1 10 20 24 2 17
1 11 20 21 2 15
1 12 20 20 2 14
1 13 20 20 2 14
1 14 20 18 2 13
1 15 20 18 2 13
1 16 20 25 2 18
1 17 20 24 2 17
1 18 20 28 2 20
1 19 20 21 2 15
1 20 20 15 2 11
1 21 20 24 2 17
1 22 20 17 2 12
1 23 20 28 2 20
1 24 20 12 2 9
1 25 20 27 2 19
1 26 20 21 2 15
1 27 20 20 2 14
1 28 20 21 2 15
1 29 20 28 2 20
1 30 20 24 2 17
21 24 12 10 3 7
21 22 17 5 3 4
21 20 15 7 4 5
21 15 18 11 4 8
21 14 18 8 4 6
21 5 18 7 3 5
21 27 20 8 3 6
21 13 20 17 3 12
21 12 20 1 3 1
21 9 20 7 4 5
21 7 20 4 4 3
21 1 20 14 3 10
21 2 20 8 4 6
21 3 20 14 4 10
21 4 20 15 3 11
21 6 20 14 2 10
21 8 20 18 4 13
21 10 20 11 4 8
21 11 20 17 2 12
21 16 20 4 4 3
21 17 20 2 3 2
21 18 20 4 2 3
21 19 20 5 2 4
21 21 20 17 2 12
21 23 20 10 2 7
21 25 20 10 2 7
21 26 20 5 1 4
21 28 20 1 1 1
21 29 20 5 1 4
21 30 20 12 2 9
41 30 12 20 2 14
41 29 5 18 2 13
41 28 1 21 1 15
41 26 5 15 2 11
41 25 10 20 3 14
41 23 10 24 2 17
41 21 17 17 4 12
41 19 5 22 3 16
41 18 4 27 3 19
41 17 2 17 4 12
41 16 4 24 5 17
41 11 17 27 3 19
41 10 11 27 5 19
41 8 18 20 6 14
41 6 14 24 3 17
41 4 15 20 4 14
41 3 14 24 4 17
41 2 8 21 5 15
41 1 14 24 4 17
41 7 4 20 5 14
41 9 7 24 5 17
41 12 1 15 3 11
41 13 17 17 5 12
41 27 8 14 3 10
41 5 7 20 4 14
41 14 8 27 4 19
41 15 11 24 2 17
41 20 7 27 1 19
41 22 5 28 1 20
41 24 10 27 0 19
61 27 8 1 4 1
61 12 1 2 3 2
61 9 7 4 6 3
61 7 4 8 6 6
61 1 14 7 5 5
61 3 14 5 5 4
61 4 15 10 5 7
61 6 14 1 4 1
61 8 18 5 8 4
61 10 11 4 6 3
61 11 17 5 4 4
61 16 4 8 6 6
61 17 2 7 4 5
61 18 4 5 4 4
61 19 5 10 4 7
61 23 10 12 2 9
61 25 10 11 4 8
61 30 12 8 2 6
61 5 7 2 2 2
61 14 8 4 0 3
61 15 11 10 1 7
61 20 7 2 1 2
61 22 5 7 1 5
