IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
21 46 54 60 54058 59394
21 45 54 59 59555 58844
21 44 48 52 56174 51982
21 43 63 68 82181 67381
21 42 52 57 56896 56710
21 41 48 44 110229 43731
21 40 52 58 52000 57200
21 39 48 53 48000 52800
21 38 69 72 112526 71547
21 37 55 61 55304 60469
21 36 46 46 94176 45347
21 35 62 65 96573 64742
21 34 60 64 80321 63967
21 33 51 57 51000 56100
21 32 41 46 41000 45100
21 31 55 60 63115 59688
41 31 55 56 61474 55164
41 32 41 38 67008 37297
41 33 51 46 93317 45900
41 34 60 61 75843 60447
41 35 62 62 99601 61697
41 37 55 55 58648 54665
41 38 69 72 85859 71666
41 39 48 48 48000 48000
41 40 52 47 90712 46800
41 42 52 53 55834 52106
41 43 63 59 111783 58501
41 44 48 49 48000 48817
41 45 54 52 81961 51759
41 46 54 53 64972 52908
41 48 70 71 98150 70593
41 49 55 54 74035 53123
41 51 54 53 64832 52923
41 52 43 44 43000 43165
41 53 47 47 49144 46785
41 55 66 66 91949 65626
41 56 40 39 54439 38556
41 57 55 55 59065 54593
41 58 48 48 53348 47465
41 59 43 43 43000 43000
41 60 51 48 80006 47729
41 61 57 58 65417 57363
41 62 50 46 82763 45171
41 63 60 60 80676 59797
41 64 40 40 40811 39918
41 66 53 50 82567 49429
41 67 53 52 65707 51729
41 68 46 43 73239 42428
41 69 51 50 67035 49396
41 70 61 62 72824 61841
41 71 52 52 55274 51672
41 72 47 44 74983 43305
41 74 53 52 63519 51948
41 75 63 63 75676 62064
41 76 67 68 100885 67186
41 77 56 54 85374 53065
41 78 61 61 78420 60736
41 79 52 52 56882 51511
41 80 55 55 67701 54367
41 81 65 67 78982 66719
41 82 54 53 66683 52861
41 83 53 52 84379 51751
41 84 46 51 46000 50277
41 86 66 67 84409 66005
41 87 48 44 77443 43967
41 88 58 53 99916 52200
41 89 52 52 61848 51015
41 90 51 47 82233 46730
41 93 73 80 73000 79100
41 94 55 55 61325 54367
41 95 59 60 68878 59758
41 96 58 59 70140 58395
41 97 52 50 77799 49420
41 98 53 53 61923 52711
41 99 60 60 70856 59856
41 101 48 48 52927 47507
41 102 55 51 89618 50137
41 103 43 43 43000 43000
41 105 60 60 74185 59284
41 106 43 41 66304 40308
41 107 58 57 78413 56115
41 108 57 56 90326 55113
41 110 53 48 92596 47700
41 111 57 58 64756 57429
41 112 56 51 92338 50788
41 113 62 64 74018 63259
41 114 47 47 51820 46518
41 115 51 52 53195 51168
41 116 61 63 76522 62853
41 118 60 60 79071 59870
41 119 52 52 58538 51346
41 120 59 54 97595 53321
41 121 52 52 54952 51808
41 122 62 65 73427 64141
41 123 53 52 63005 51999
41 125 60 60 80240 59443
41 127 58 58 73321 57043
41 128 55 52 89786 51351
41 129 64 66 81300 65551
41 130 57 56 77353 55983
41 131 53 52 69642 51335
41 132 59 58 76515 57321
41 133 60 59 82091 58245
41 134 46 46 54742 45125
41 135 58 54 95075 53496
41 137 60 62 67245 61615
41 138 57 52 101155 51832
41 139 64 65 84678 64339
41 140 60 64 60000 63436
41 141 63 65 88611 64350
41 142 46 46 46000 46000
41 143 56 52 91891 51017
41 145 70 70 99662 69998
41 146 61 63 77007 62192
41 147 56 58 62521 57310
41 149 56 55 69979 54783
41 150 54 50 91396 49915
41 124 43 48 43000 47566
41 36 46 51 46000 50817
41 148 48 55 48000 54616
41 144 54 61 54000 60646
41 136 57 64 57000 63830
41 126 56 65 56000 64420
41 117 46 54 46000 53964
41 109 54 62 54000 61770
41 104 52 60 52000 59080
41 100 50 58 50000 57443
41 92 53 60 53000 59955
41 91 54 64 54000 63224
41 85 48 56 48000 55099
41 73 48 55 48000 54628
41 65 56 66 56000 65046
41 54 50 56 50000 55780
41 50 51 59 51000 58865
41 47 51 58 51000 57847
41 41 44 51 44000 50622
61 149 55 55 71506 54847
61 133 59 60 75075 59701
61 123 52 47 93423 46974
61 110 48 52 60707 51188
61 82 53 54 65194 53148
61 62 46 50 46000 49676
61 60 48 51 53804 50620
61 40 47 50 63920 49679
61 134 46 46 56356 45838
61 94 55 55 71025 54030
61 35 62 63 92381 62722
61 44 48 47 67648 46035
61 48 70 64 134657 63232
61 61 57 56 81050 55436
61 111 57 57 67783 56697
61 141 63 63 89198 62941
61 117 46 42 92000 41400
61 109 54 50 85341 49997
61 100 50 50 53852 49614
61 37 55 55 64483 54416
61 64 40 40 47991 39282
61 79 52 52 62006 51487
61 114 47 47 52924 46889
61 119 52 52 60458 51808
61 51 53 54 62091 53274
61 47 51 48 81086 47074
61 50 51 49 77663 48101
61 54 50 50 53133 49686
61 65 56 55 67584 54841
61 73 48 47 66676 46132
61 85 48 46 72380 45486
61 91 54 51 82490 50853
61 92 53 52 67178 51582
61 104 52 50 73192 49880
61 126 56 51 91696 50891
61 136 57 55 81634 54536
61 144 54 49 89287 48813
61 148 48 48 57444 47055
61 36 46 45 60770 44523
61 124 43 43 52591 42040
61 146 61 60 88742 59826
61 140 60 58 85021 57497
61 139 64 58 134069 57600
61 129 64 58 117730 57741
61 122 62 61 85881 60754
61 115 51 47 85647 46144
61 95 59 54 114111 53100
61 86 66 65 104352 64005
61 84 46 42 76447 41465
61 52 43 41 67297 40010
61 42 52 51 68464 50737
61 38 69 63 128842 62100
61 31 55 55 66531 54494
61 39 48 44 79441 43367
61 53 47 47 57216 46192
61 55 66 67 88658 66329
61 57 55 50 104675 49500
61 58 48 44 88668 43200
61 89 52 53 59931 52191
61 101 48 48 53103 47982
61 103 43 43 44896 42810
61 125 60 61 79756 60048
61 142 46 46 54807 45119
61 145 70 70 100306 69935
61 32 38 41 38000 40900
61 45 52 53 75052 52690
61 56 39 41 39000 40543
61 68 43 47 43000 46023
61 69 50 52 54837 51219
61 72 44 47 52417 46256
61 74 52 50 85812 49360
61 77 54 56 73172 55220
61 87 44 48 44000 47344
61 88 53 57 68709 56120
61 97 50 52 60907 51689
61 106 41 44 41000 43530
61 107 57 58 72653 57576
61 108 56 57 83972 56635
61 112 51 54 71903 53043
61 120 54 58 66163 57143
61 128 52 54 72098 53768
61 131 52 53 69355 52028
61 132 58 58 76522 57999
61 135 54 56 81571 55350
61 150 50 55 50000 54139
61 143 52 55 69612 54227
61 138 52 57 52000 56915
61 130 56 57 73574 56377
61 102 51 55 55591 54402
61 90 47 50 54618 49761
61 83 52 54 65616 53876
61 67 52 53 64711 52099
61 66 50 52 63956 51861
61 49 54 54 75309 53872
61 46 53 53 70530 52444
61 43 59 63 75321 62646
61 127 58 57 89860 56346
61 121 52 51 74047 50090
61 118 60 61 77320 60175
61 105 60 59 90814 58337
61 99 60 60 78571 59228
61 98 53 53 66956 52496
61 80 55 56 64188 55351
61 78 61 61 79784 60863
61 75 63 61 98945 60673
61 71 52 48 86134 47614
61 63 60 61 80549 60012
61 59 43 40 68065 39780
61 34 60 60 83763 59208
61 70 61 61 81538 60128
61 76 67 68 100048 67083
61 81 65 59 126107 58500
61 93 73 70 105704 69729
61 96 58 58 73219 57692
61 113 62 61 90263 60375
61 116 61 61 83054 60346
61 137 60 54 114952 54000
61 147 56 55 73004 54951
61 41 44 44 44468 43953
61 33 46 1 1000 45900
81 76 67 66 110598 65945
81 63 60 54 125579 54000
81 80 55 55 70457 54373
81 118 60 60 84482 59283
81 43 59 59 82166 58315
81 66 50 45 107760 45000
81 67 52 52 68916 51579
81 83 52 53 65368 52024
81 90 47 47 55354 46926
81 102 51 46 95979 45900
81 130 56 56 81652 55192
81 138 52 47 98663 46800
81 143 52 53 61781 52783
81 150 50 45 100000 45000
81 135 54 56 69089 55248
81 131 52 53 68799 52055
81 128 52 52 73863 51823
81 120 54 54 69280 53688
81 112 51 52 66729 51517
81 108 56 56 88879 55509
81 107 57 57 81721 56093
81 106 41 37 75256 36900
81 97 50 50 68284 49262
81 88 53 53 71994 52671
81 87 44 40 88000 39600
81 77 54 54 75839 53733
81 72 44 45 49641 44277
81 69 50 49 66128 48870
81 68 43 43 45470 42753
81 56 39 39 43736 38526
81 45 52 54 63979 53107
81 32 38 38 38000 38000
81 125 60 60 84381 59537
81 89 52 51 71852 50807
81 55 66 65 101236 64742
81 51 53 48 107061 47700
81 35 62 62 92775 61960
81 40 47 48 55494 47842
81 60 48 48 58458 47534
81 62 46 46 53662 45233
81 82 53 53 72004 52319
81 110 48 48 60719 47998
81 133 59 59 82095 58298
81 149 55 55 77101 54440
81 134 46 46 59238 45711
81 94 55 50 109628 49500
81 111 57 57 76966 56081
81 141 63 62 104731 61446
81 100 50 49 66897 48695
81 37 55 54 83318 53116
81 64 40 36 72802 36000
81 79 52 52 70397 51160
81 114 47 47 58509 46441
81 119 52 52 62779 51767
81 54 50 45 97622 45000
81 148 48 49 48292 48915
81 124 43 39 80635 38700
81 31 55 50 104954 49500
81 53 47 47 64101 46311
81 101 48 44 94402 43200
81 103 43 43 45174 42972
81 142 46 42 93091 41400
81 145 70 69 112917 68738
81 132 58 58 81404 57511
81 49 54 55 70684 54462
81 46 53 48 110032 47700
81 99 60 59 88798 58977
81 98 53 48 104506 47700
81 78 61 60 95690 59409
81 34 60 60 90085 59367
81 70 61 60 94518 59702
81 96 58 57 91350 56186
81 116 61 60 98703 59435
81 41 44 44 50270 43419
81 123 47 50 69087 49433
81 44 47 48 59766 47788
81 48 64 66 121584 65307
81 61 56 51 116211 50400
81 117 42 47 48573 46342
81 109 50 53 59759 52558
81 47 48 50 65441 49564
81 50 49 51 65942 50172
81 65 55 55 76514 54107
81 73 47 48 59999 47667
81 85 46 49 52285 48009
81 91 51 53 70080 52241
81 92 52 47 100895 46800
81 104 50 51 70022 50317
81 126 51 52 82271 51942
81 136 55 56 80721 55091
81 144 49 51 70754 50853
81 36 45 47 47804 46296
81 146 60 60 96849 59189
81 140 58 59 83784 58123
81 139 58 66 58000 65606
81 129 58 60 102817 59491
81 122 61 61 91024 60485
81 115 47 50 62076 49357
81 95 54 61 54000 60011
81 86 65 66 102165 65218
81 84 42 46 42000 45444
81 52 41 44 41000 43629
81 42 51 51 72658 50580
81 38 63 65 111710 64713
81 39 44 46 66159 45328
81 57 50 55 55330 54934
81 58 44 48 58326 47034
81 74 50 53 64232 52158
81 127 57 58 81846 57801
81 121 51 52 68554 51549
81 105 59 59 97710 58310
81 75 61 62 93931 61501
81 71 48 51 59021 50711
81 59 40 43 40000 42806
81 81 59 65 75602 64050
81 93 70 63 154871 63000
81 113 61 62 83895 61636
81 137 54 57 89522 56543
81 147 55 50 112488 49500
81 33 1 1 1000 1000
101 137 54 56 79033 55048
101 113 61 55 119772 54900
101 81 59 54 109278 53137
101 59 40 40 49188 39081
101 71 48 48 60339 47868
101 75 61 62 84171 61976
101 121 51 51 76809 50174
101 127 57 58 74437 57740
101 74 50 50 68934 49529
101 58 44 41 79256 40688
101 57 50 45 97213 45000
101 39 44 46 46571 45958
101 38 63 65 101424 64028
101 52 41 41 44420 40658
101 84 42 41 59463 40253
101 86 65 59 154001 58500
101 95 54 54 59525 53447
101 115 47 48 54753 47732
101 129 58 59 95094 58772
101 139 58 53 97273 52200
101 140 58 53 117309 52200
101 36 45 45 53563 44424
101 144 49 50 64625 49612
101 136 55 54 95211 53551
101 126 51 52 78795 51347
101 104 50 52 58618 51140
101 91 51 52 66729 51335
101 85 46 42 89764 41400
101 73 47 48 51599 47840
101 50 49 49 74689 48125
101 47 48 49 60201 48524
101 109 50 50 61723 49803
101 117 42 42 53215 41535
101 48 64 66 102348 65923
101 44 47 46 70444 45932
101 123 47 48 61686 47740
101 49 54 49 102219 48600
101 148 48 44 91307 43200
101 40 47 43 93102 42300
101 45 52 52 67558 51642
101 72 44 44 53219 43642
101 112 51 52 64130 51259
101 131 52 53 65040 52375
101 135 54 49 107225 48600
101 143 52 47 101144 46800
101 83 52 50 87726 49155
101 80 55 55 71800 54865
101 118 60 60 87709 59677
101 43 59 59 86285 58588
101 67 52 52 75337 51357
101 90 47 47 60032 46532
101 130 56 57 77981 56367
101 128 52 52 74083 51978
101 120 54 53 81496 52778
101 108 56 58 73419 57546
101 107 57 56 95789 55593
101 97 50 49 81416 48686
101 88 53 52 82565 51942
101 77 54 53 86431 52940
101 68 43 41 67454 40457
101 56 39 39 44186 38955
101 32 38 35 76000 34200
101 125 60 60 89026 59535
101 35 62 56 126640 55800
101 60 48 49 54921 48353
101 62 46 47 53269 46039
101 82 53 53 75250 52675
101 110 48 44 90279 43200
101 133 59 59 85990 58610
101 149 55 50 118190 49500
101 134 46 43 81154 42701
101 111 57 57 80087 56687
101 79 52 53 67056 52334
101 114 47 47 60501 46800
101 119 52 47 106733 46800
101 53 47 43 88668 42619
101 103 43 40 68869 39974
101 132 58 59 81139 58026
101 34 60 61 81970 60811
101 41 44 44 53711 43655
101 65 55 55 77736 54877
101 146 60 61 87993 60885
101 122 61 62 89383 61164
101 42 51 52 70164 51249
101 105 59 61 84083 60362
101 33 1 1 2000 900
101 76 66 67 106056 66454
101 63 54 59 76572 58900
101 66 45 52 45000 51276
101 102 46 50 64141 49183
101 138 47 50 71246 49741
101 150 45 51 49666 50033
101 106 37 41 37000 40825
101 87 40 45 40000 44800
101 69 49 48 82843 47172
101 89 51 47 97116 46435
101 55 65 65 110911 64032
101 51 48 53 66436 52062
101 94 50 54 70830 53879
101 141 62 59 122190 58689
101 100 49 50 60535 49636
101 37 54 55 80752 54256
101 64 36 40 36000 39680
101 54 45 50 53872 49375
101 124 39 44 39000 43163
101 31 50 55 62445 54250
101 101 44 48 57303 47709
101 142 42 46 53575 45951
101 145 69 70 111109 69180
101 46 48 55 48000 54203
101 99 59 59 96299 58249
101 98 48 53 60032 52447
101 78 60 62 83940 61175
101 70 60 62 82941 61157
101 96 57 58 81861 57948
101 116 60 61 93887 60481
101 61 51 56 68974 55723
101 92 47 51 66516 50437
101 93 63 73 63000 72187
101 147 50 57 50000 56248
121 52 41 37 75572 36900
121 64 36 33 66904 32400
121 37 54 50 105098 49421
121 100 49 49 62423 48811
121 79 52 51 80786 50627
121 62 46 45 70460 44280
121 60 48 44 86735 43200
121 123 47 48 60107 47157
121 48 64 62 119658 61372
121 109 50 45 104838 45000
121 117 42 39 75664 38343
121 56 39 40 39000 39518
121 82 53 54 73868 53138
121 133 59 58 96006 57998
121 111 57 56 97663 55118
121 114 47 45 81662 44001
121 33 1 2 1000 1100
121 103 40 43 42936 42593
121 69 48 51 58242 50460
121 32 35 40 35000 39100
121 68 41 44 41000 43645
121 77 53 54 79529 53690
121 88 52 54 66684 53588
121 97 49 51 68104 50331
121 107 56 57 88235 56755
121 120 53 54 81026 53047
121 83 50 53 63828 52389
121 143 47 52 57204 51394
121 135 49 53 71360 52586
121 148 44 48 53502 47780
121 49 49 55 49290 54292
121 44 46 49 46574 48387
121 85 42 47 42000 46776
121 136 54 56 82528 55268
121 140 53 57 84428 56288
121 139 53 56 74865 55240
121 86 59 69 59000 68500
