IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
61 146 21.350000 -149.114388
61 147 19.600000 -61.836109
61 124 15.050000 -101.403236
61 36 16.100000 -132.199771
61 148 17.850000 -121.480936
61 144 19.600000 -267.080195
61 136 20.650000 -205.907358
61 126 21.350000 -288.527792
61 117 17.850000 -353.735877
61 109 20.300000 -258.242724
61 104 19.250000 -193.874520
61 100 18.900000 -100.044876
61 92 19.600000 -148.434725
61 91 20.650000 -274.171248
61 85 18.200000 -211.131907
61 73 17.850000 -174.421192
61 65 21.700000 -159.615573
61 54 17.850000 -76.444131
61 50 19.600000 -230.937833
61 47 18.900000 -239.835197
61 41 16.800000 -68.992159
121 141 0.000000 -337.774648
121 89 6.376231 -243.687239
121 69 0.000000 -157.356552
121 103 72.133856 -64.326132
121 53 22.895448 -191.670140
121 119 0.000000 -271.062945
121 134 0.000000 -156.574858
121 149 0.000000 -248.586008
121 110 0.000000 -175.570978
121 35 0.000000 -328.441143
121 32 0.000000 -127.017354
121 68 0.000000 -51.636858
121 77 0.000000 -207.516490
121 88 0.000000 -152.063788
121 97 0.000000 -180.893470
121 107 0.000000 -257.974994
121 120 0.000000 -187.927744
121 83 0.000000 -171.657823
121 143 0.000000 -193.538575
121 135 0.000000 -227.311319
121 40 0.000000 -156.804659
121 148 0.000000 -161.202168
121 49 0.000000 -163.246730
121 44 0.000000 -56.996546
121 85 0.000000 -121.299836
121 136 0.000000 -228.468846
121 140 0.000000 -276.837978
121 139 0.000000 -125.963904
121 86 0.000000 -294.419890
121 84 0.000000 -128.220577
121 57 0.000000 -110.213949
121 58 0.000000 -96.400208
121 81 0.000000 -228.918508
121 113 0.000000 -194.525813
121 99 0.000000 -276.172710
121 55 0.000000 -287.321804
121 33 0.000000 -4.464858
121 65 0.000000 -132.734779
121 41 0.000000 -76.948946
121 114 0.000000 -182.201953
121 111 0.000000 -247.255724
121 133 0.000000 -243.789210
121 82 0.000000 -162.019642
121 125 0.000000 -202.861909
121 56 0.045996 22.371863
121 128 0.000000 -149.054084
121 90 0.000000 -56.654816
121 67 0.000000 -168.799913
121 43 0.000000 -215.503419
121 118 0.000000 -272.894674
121 80 0.000000 -289.239055
121 72 0.000000 -34.992005
121 45 0.000000 -77.704037
121 117 0.000000 -119.512352
121 109 0.000000 -223.244463
121 50 0.000000 -235.863244
121 36 0.000000 -47.769345
121 95 0.000000 -178.196701
121 52 0.000000 -110.248268
121 74 0.000000 -92.607046
121 121 0.000000 -130.401365
121 71 0.000000 -93.202465
121 59 0.000000 14.229804
121 137 0.000000 -130.174969
121 75 0.000000 -312.187661
121 127 0.000000 -206.172451
121 39 0.000000 -35.124102
121 38 0.000000 -232.822906
121 115 0.000000 -12.895191
121 129 0.000000 -224.797829
121 144 0.000000 -114.373234
121 126 0.000000 -155.848134
121 104 0.000000 -221.873013
121 91 0.000000 -98.829205
121 73 0.000000 -9.692192
121 47 0.000000 -157.080561
121 48 0.000000 -324.748201
121 123 0.000000 -63.273393
121 112 0.000000 -87.271621
121 131 0.000000 -187.288648
121 130 0.000000 -179.085345
121 108 0.000000 -301.542858
121 60 0.000000 -184.517969
121 62 0.000000 -109.205033
121 79 0.000000 -177.559290
121 132 0.000000 -182.004874
121 34 0.000000 -272.963441
121 146 0.000000 -250.112680
121 122 0.000000 -365.378722
121 42 0.000000 -146.318997
121 105 0.000000 -273.716917
121 76 0.000000 -326.435009
121 63 0.000000 -281.876005
121 66 0.000000 -233.072246
121 102 0.000000 -274.703113
121 138 0.000000 -278.539016
121 150 0.000000 -236.576857
121 106 0.000000 -97.131958
121 87 0.000000 -375.179000
121 51 0.000000 -344.743950
121 94 0.000000 -227.086134
121 100 0.000000 -97.901869
121 37 0.000000 -321.507872
121 64 0.000000 -236.607617
121 54 0.000000 -201.362239
121 124 0.000000 -92.911254
121 31 0.000000 -215.540949
121 101 38.235843 -317.553225
121 142 38.631399 -158.237944
121 145 0.000000 -456.494476
121 46 0.000000 -200.724860
121 98 0.000000 -206.362050
121 78 0.000000 -226.898612
121 70 0.000000 -220.685486
121 96 0.000000 -197.941442
121 116 0.000000 -294.711718
121 61 0.000000 -226.229343
121 92 0.000000 -157.897825
121 93 0.000000 -429.348630
121 147 0.000000 -366.602820
181 56 22.371863 -60.603623
181 92 0.000000 -164.080036
181 74 0.000000 -66.706961
181 45 0.000000 -121.976417
181 82 0.000000 -144.418654
181 123 0.000000 -90.405296
181 146 0.000000 -204.935493
181 76 0.000000 -181.733698
181 62 0.000000 -56.036730
181 109 0.000000 -30.218524
181 133 0.000000 -160.931192
181 80 0.000000 -44.815500
181 50 0.000000 -13.115028
181 95 0.000000 -22.306711
181 75 0.000000 -35.961123
181 104 0.000000 -56.962002
181 34 0.000000 -157.856504
181 105 0.000000 -160.038686
181 145 0.000000 -165.861711
181 141 0.000000 -4.268932
181 89 0.000000 2.438638
181 53 0.000000 2.179610
181 119 0.000000 2.438638
181 134 0.000000 2.127642
181 149 0.000000 2.645698
181 110 0.000000 2.490606
181 35 0.000000 -4.840772
181 40 0.000000 2.438638
181 51 0.000000 2.542574
181 94 0.000000 2.593730
181 101 0.000000 2.231578
181 142 0.000000 2.127642
181 61 0.000000 2.697666
181 100 0.000000 -104.646777
181 55 0.000000 -321.386810
181 65 0.000000 -143.232643
181 125 0.000000 -226.320367
181 121 0.000000 -111.820631
181 96 0.000000 -195.695051
181 78 0.000000 -158.683832
181 129 0.000000 -191.883914
181 137 0.000000 -149.433521
181 43 0.000000 -169.079253
181 128 0.000000 -125.676776
181 81 0.000000 -110.516899
181 140 0.000000 -89.930265
181 136 0.000000 -159.223898
181 148 0.000000 15.070072
181 135 0.000000 -79.675939
181 107 0.000000 -149.103090
181 97 0.000000 -119.196088
181 88 0.000000 -114.585967
181 41 0.000000 -125.857002
181 36 0.000000 -71.246710
181 39 0.000000 -47.062462
181 102 0.000000 -32.188703
181 150 0.000000 -47.423889
181 70 0.000000 -231.766355
181 52 0.000000 85.699963
181 64 0.000000 45.927946
181 79 0.000000 -103.692443
181 48 0.000000 -193.234959
181 117 0.000000 -59.704122
181 114 0.000000 30.094562
181 84 0.000000 35.735500
181 47 0.000000 -25.270368
181 131 0.000000 -78.019008
181 122 0.000000 -119.587986
181 66 0.000000 5.355145
181 87 0.000000 0.094500
181 147 0.000000 0.882784
181 93 0.000000 -114.073128
181 108 0.000000 -61.265298
181 127 0.000000 -143.935693
181 118 0.000000 -171.743162
181 111 0.000000 -113.789223
181 60 0.000000 -49.693977
181 37 0.000000 -65.816532
181 116 0.000000 -148.491808
181 31 0.000000 -84.565185
181 132 0.000000 -168.044327
181 91 0.000000 -89.787049
181 144 0.000000 -182.698946
181 71 0.000000 -54.552203
181 72 0.000000 -120.152392
181 69 0.000000 -67.655403
181 77 0.000000 -100.334268
181 120 0.000000 -86.964136
181 139 0.000000 -144.752726
181 58 0.000000 22.563298
181 99 0.000000 -161.805522
181 67 0.000000 -99.335786
181 126 0.000000 -109.626959
181 63 0.000000 -244.099442
181 138 0.000000 -83.981098
181 38 0.000000 -277.340796
181 59 0.000000 -56.880147
181 90 0.000000 -96.657333
181 57 0.000000 -43.788547
181 85 0.000000 -180.045422
181 33 0.000000 -1.352190
181 115 0.000000 -88.903442
181 73 0.000000 -79.120429
181 112 0.000000 -110.195493
181 106 0.000000 -78.848500
181 46 0.000000 -67.240889
181 98 0.000000 -113.445129
181 54 0.000000 -120.711632
181 130 0.000000 -176.328548
181 113 0.000000 -125.469316
181 86 0.000000 -246.055394
181 44 0.000000 -78.312297
181 49 0.000000 -192.112838
181 143 0.000000 -131.518185
181 83 0.000000 -177.704749
181 68 0.000000 -91.630000
181 32 0.000000 -34.096500
181 103 0.000000 -84.364882
181 42 0.000000 -205.133240
181 124 0.000000 -105.972095
241 49 0.000000 -102.351044
241 146 0.000000 -125.808471
241 132 0.000000 -124.970414
241 54 0.000000 -69.124422
241 44 0.000000 -111.367053
241 117 0.000000 -38.872000
241 144 0.000000 -95.442500
241 63 0.000000 -37.972011
241 106 0.000000 -39.776500
241 46 0.000000 -39.262675
241 45 0.000000 -126.642764
241 58 0.000000 2.772998
241 84 0.000000 2.669062
241 114 0.000000 2.721030
241 64 0.000000 2.358878
241 32 0.000000 23.742000
241 113 0.000000 -147.720225
241 71 0.000000 -121.179914
241 148 0.000000 -62.332671
241 89 2.438638 6.246213
241 119 2.438638 6.246213
241 134 2.127642 5.699289
241 149 2.645698 6.610353
241 110 2.490606 6.337605
241 40 2.438638 6.246213
241 51 2.542574 6.428997
241 94 2.593730 6.518961
241 101 2.231578 5.882073
241 142 2.127642 5.699289
241 61 2.697666 6.701745
241 53 0.000000 5.790681
241 33 0.000000 6.156494
241 52 0.000000 -3.084246
