IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4110948.074281 2163932.650000 1947015.424281 0.000000 2163932.650000 -216917.225719 2163932.650000 0.000000
121 0.005000 -0.280305 9735.077121 0.000000 0.000000 4067189.558252 2163932.650000 1903256.908252 0.000000 2163932.650000 -260675.741748 2163932.650000 0.000000
181 0.005000 -0.328556 9516.284541 0.000000 0.000000 4027629.025596 2163932.650000 1863696.375596 0.000000 2163932.650000 -300236.274404 2163932.650000 0.000000
241 0.005000 -0.271031 9318.481878 0.000000 0.000000 3983840.975831 2163932.650000 1819908.325831 0.000000 2163932.650000 -344024.324169 2163932.650000 0.000000
301 0.005000 -0.256296 9099.541629 0.000000 0.000000 3941549.889971 2163932.650000 1777617.239971 0.000000 2163932.650000 -386315.410029 2163932.650000 0.000000
361 0.005000 0.015637 8888.086200 0.000000 0.000000 3903333.015859 2163932.650000 1739400.365859 0.000000 2163932.650000 -424532.284141 2163932.650000 0.000000
421 0.050000 0.347009 86970.018293 0.000000 0.000000 3941469.126419 2163932.650000 1777536.476419 0.000000 2163932.650000 -386396.173581 2163932.650000 0.000000
481 0.050000 0.393230 88876.823821 0.000000 0.000000 3962423.082202 2163932.650000 1798490.432202 0.000000 2163932.650000 -365442.217798 2163932.650000 0.000000
541 0.050000 0.541789 89924.521610 0.000000 0.000000 3966509.045971 2163932.650000 1802576.395971 0.000000 2163932.650000 -361356.254029 2163932.650000 0.000000
601 0.050000 1.673842 90128.819799 0.000000 0.000000 3964358.078495 2163932.650000 1800425.428495 0.000000 2163932.650000 -363507.221505 2163932.650000 0.000000
661 0.050000 1.403017 90021.271425 0.000000 0.000000 3962354.134594 2163932.650000 1798421.484594 0.000000 2163932.650000 -365511.165406 2163932.650000 0.000000
721 0.050000 1.076941 89921.074230 0.000000 0.000000 3960289.744865 2163932.650000 1796357.094865 0.000000 2163932.650000 -367575.555135 2163932.650000 0.000000
781 0.050000 0.851953 89817.854743 0.000000 0.000000 3958147.650651 2163932.650000 1794215.000651 0.000000 2163932.650000 -369717.649349 2163932.650000 0.000000
841 0.005000 -0.000000 8971.075003 0.000000 0.000000 3875164.761696 2163932.650000 1711232.111696 0.000000 2163932.650000 -452700.538304 2163932.650000 0.000000
901 0.005000 -0.409081 8556.160558 0.000000 0.000000 3789865.859655 2163932.650000 1625933.209655 0.000000 2163932.650000 -537999.440345 2163932.650000 0.000000
961 0.005000 -0.409081 8129.666048 0.000000 0.000000 3704255.132501 2163932.650000 1540322.482501 0.000000 2163932.650000 -623610.167499 2163932.650000 0.000000
1021 0.005000 -0.409081 7701.612413 0.000000 0.000000 3618339.257260 2163932.650000 1454406.607260 0.000000 2163932.650000 -709526.042740 2163932.650000 0.000000
1081 0.005000 -0.409081 7272.033036 0.000000 0.000000 3532003.299307 2163932.650000 1368070.649307 0.000000 2163932.650000 -795862.000693 2163932.650000 0.000000
1141 0.005000 0.000000 6840.353247 0.000000 0.000000 3445229.635130 2163932.650000 1281296.985130 0.000000 2163932.650000 -882635.664870 2163932.650000 0.000000
1201 0.005000 0.000000 6406.484926 0.000000 0.000000 3358030.650213 2163932.650000 1194098.000213 0.000000 2163932.650000 -969834.649787 2163932.650000 0.000000
1261 0.005000 -0.000000 5970.490001 0.000000 0.000000 3270389.649225 2163932.650000 1106456.999225 0.000000 2163932.650000 -1057475.650775 2163932.650000 0.000000
1321 0.005000 -0.000000 5532.284996 0.000000 0.000000 3182306.443232 2163932.650000 1018373.793232 0.000000 2163932.650000 -1145558.856768 2163932.650000 0.000000
1381 0.005000 -0.000000 5091.868966 0.000000 0.000000 3094118.378549 2163932.650000 930185.728549 0.000000 2163932.650000 -1233746.921451 2163932.650000 0.000000
1441 0.005000 0.000000 4650.928643 0.000000 0.000000 3004988.557862 2163932.650000 841055.907862 0.000000 2163932.650000 -1322876.742138 2163932.650000 0.000000
