IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 150 52 52 104000 52000
1 149 49 49 98000 49000
1 148 62 62 124000 62000
1 147 62 62 124000 62000
1 146 43 43 86000 43000
1 145 59 59 118000 59000
1 144 63 63 126000 63000
1 143 62 62 124000 62000
1 142 46 46 92000 46000
1 141 61 61 122000 61000
1 140 51 51 102000 51000
1 139 42 42 84000 42000
1 138 49 49 98000 49000
1 137 52 52 104000 52000
1 136 60 60 120000 60000
1 135 58 58 116000 58000
1 134 64 64 128000 64000
1 133 59 59 118000 59000
1 132 58 58 116000 58000
1 131 52 52 104000 52000
1 130 46 46 92000 46000
1 129 53 53 106000 53000
1 128 64 64 128000 64000
1 127 51 51 102000 51000
1 126 62 62 124000 62000
1 125 66 66 132000 66000
1 124 58 58 116000 58000
1 123 58 58 116000 58000
1 122 53 53 106000 53000
1 121 61 61 122000 61000
1 120 58 58 116000 58000
1 119 53 53 106000 53000
1 118 44 44 88000 44000
1 117 74 74 148000 74000
1 116 67 67 134000 67000
1 115 46 46 92000 46000
1 114 52 52 104000 52000
1 113 62 62 124000 62000
1 112 56 56 112000 56000
1 111 57 57 114000 57000
1 110 52 52 104000 52000
1 109 49 49 98000 49000
1 108 62 62 124000 62000
1 107 58 58 116000 58000
1 106 52 52 104000 52000
1 105 66 66 132000 66000
1 104 60 60 120000 60000
1 103 57 57 114000 57000
1 102 54 54 108000 54000
1 101 69 69 138000 69000
1 100 62 62 124000 62000
1 99 43 43 86000 43000
1 98 61 61 122000 61000
1 97 57 57 114000 57000
1 96 47 47 94000 47000
1 95 57 57 114000 57000
1 94 53 53 106000 53000
1 93 57 57 114000 57000
1 92 54 54 108000 54000
1 91 50 50 100000 50000
1 90 70 70 140000 70000
1 89 46 46 92000 46000
1 88 51 51 102000 51000
1 87 52 52 104000 52000
1 86 44 44 88000 44000
1 85 70 70 140000 70000
1 84 48 48 96000 48000
1 83 54 54 108000 54000
1 82 47 47 94000 47000
1 81 56 56 112000 56000
1 80 56 56 112000 56000
1 79 46 46 92000 46000
1 78 52 52 104000 52000
1 77 63 63 126000 63000
1 76 49 49 98000 49000
1 75 50 50 100000 50000
1 74 55 55 110000 55000
1 73 74 74 148000 74000
1 72 52 52 104000 52000
1 71 59 59 118000 59000
1 70 42 42 84000 42000
1 69 54 54 108000 54000
1 68 42 42 84000 42000
1 67 52 52 104000 52000
1 66 52 52 104000 52000
1 65 53 53 106000 53000
1 64 47 47 94000 47000
1 63 51 51 102000 51000
1 62 49 49 98000 49000
1 61 56 56 112000 56000
1 60 48 48 96000 48000
1 59 54 54 108000 54000
1 58 63 63 126000 63000
1 57 53 53 106000 53000
1 56 58 58 116000 58000
1 55 69 69 138000 69000
1 54 47 47 94000 47000
1 53 48 48 96000 48000
1 52 57 57 114000 57000
1 51 57 57 114000 57000
1 50 52 52 104000 52000
1 49 64 64 128000 64000
1 48 57 57 114000 57000
1 47 43 43 86000 43000
1 46 49 49 98000 49000
1 45 59 59 118000 59000
1 44 60 60 120000 60000
1 43 53 53 106000 53000
1 42 51 51 102000 51000
1 41 50 50 100000 50000
1 40 55 55 110000 55000
1 39 53 53 106000 53000
1 38 63 63 126000 63000
1 37 38 38 76000 38000
1 36 52 52 104000 52000
1 35 53 53 106000 53000
1 34 49 49 98000 49000
1 33 65 65 130000 65000
1 32 67 67 134000 67000
1 31 57 57 114000 57000
21 150 52 58 52000 57200
21 149 49 54 49000 53900
21 148 62 66 84199 65980
21 147 62 68 72252 67174
21 146 43 48 43000 47300
21 145 59 64 69569 63843
21 144 63 68 80095 67590
21 143 62 66 85202 65879
21 142 46 51 46000 50600
21 141 61 65 82915 64908
21 140 51 47 117207 46437
21 139 42 47 42000 46200
21 138 49 54 49000 53900
21 137 52 58 52000 57200
21 136 60 64 89114 63088
21 135 58 63 66135 62986
21 134 64 68 94722 67327
21 133 59 64 68158 63984
21 132 58 64 58000 63800
21 131 52 58 52000 57200
21 130 46 44 101848 43045
21 129 53 59 54482 58151
21 128 64 70 75725 69227
21 127 51 57 51000 56100
21 126 62 67 80962 66303
21 125 66 71 84870 70713
21 124 58 62 79662 61633
21 123 58 64 64888 63111
21 122 53 48 123673 47700
21 121 61 67 65963 66603
21 120 58 63 66676 62932
21 119 53 59 53000 58300
21 118 44 49 44000 48400
21 117 74 78 115515 77248
21 116 67 71 94953 70904
21 115 46 51 46000 50600
21 114 52 58 52000 57200
21 113 62 66 90469 65353
21 112 56 51 133201 50400
21 111 57 63 63223 62077
21 110 52 58 52000 57200
21 109 49 54 49000 53900
21 108 62 56 147743 55800
21 107 58 63 69995 62600
21 106 52 57 56567 56743
21 105 66 71 90074 70192
21 104 60 66 60421 65957
21 103 57 52 140054 51300
21 102 54 60 54000 59400
21 101 69 73 100547 72745
21 100 62 68 66811 67718
21 99 43 48 43000 47300
21 98 61 65 84429 64757
21 97 57 63 62455 62154
21 96 47 43 113484 42300
21 95 57 62 69723 61427
21 94 53 58 58079 57792
21 93 57 63 60881 62311
21 92 54 60 54000 59400
21 91 50 55 50000 55000
21 90 70 63 175120 63000
21 89 46 42 106143 41757
21 88 51 57 51000 56100
21 87 52 58 52000 57200
21 86 44 49 44000 48400
21 85 70 74 104158 73584
21 84 48 44 110812 43556
21 83 54 60 54000 59400
21 82 47 51 61456 50254
21 81 56 62 56511 61548
21 80 56 62 56000 61600
21 79 46 51 46000 50600
21 78 52 48 117872 47838
21 77 63 68 77957 67804
21 76 49 54 49000 53900
21 75 50 45 120565 45000
21 74 55 61 55000 60500
21 73 74 78 110421 77757
21 72 52 48 119573 47328
21 71 59 64 68467 63953
21 70 42 47 42000 46200
21 69 54 59 59026 58897
21 68 42 47 42000 46200
21 67 52 57 57239 56676
21 66 52 47 126716 46800
21 65 53 48 124088 47700
21 64 47 52 47000 51700
21 63 51 57 51000 56100
21 62 49 54 49000 53900
21 61 56 61 69170 60283
21 60 48 44 121624 43200
21 59 54 59 60571 58742
21 58 63 68 80608 67539
21 57 53 59 53000 58300
21 56 58 63 67744 62825
21 55 69 73 103005 72499
21 54 47 44 105532 43540
21 53 48 53 48000 52800
21 52 57 63 57088 62691
21 51 57 61 76120 60788
21 50 52 57 56558 56744
21 49 64 70 77502 69049
21 48 57 52 139881 51300
21 47 43 48 43000 47300
21 46 49 54 49000 53900
21 45 59 65 59000 64900
21 44 60 65 71644 64835
21 43 53 58 58021 57797
21 42 51 57 51000 56100
21 41 50 55 50000 55000
21 40 55 50 131873 49500
21 39 53 59 55104 58089
21 38 63 68 79179 67682
21 37 38 42 38000 41800
21 36 52 47 122066 46800
21 35 53 59 53000 58300
21 34 49 54 49000 53900
21 33 65 70 83569 69643
21 32 67 72 87164 71683
21 31 57 62 67581 61641
41 31 57 57 76002 56157
41 32 67 66 101742 65542
41 33 65 66 83367 65020
41 34 49 49 51324 48767
41 35 53 51 76493 50650
41 37 38 38 46198 37180
41 38 63 63 84845 62433
41 39 53 50 85325 49023
41 41 50 48 74984 47501
41 42 51 51 60219 50078
41 43 53 53 60764 52725
41 44 60 61 64564 60708
41 45 59 58 76743 57225
41 46 49 49 51397 48760
41 47 43 43 43000 43000
41 49 64 63 92159 62534
41 50 52 52 58529 51802
41 51 57 58 71820 57430
41 52 57 56 70541 55654
41 53 48 48 53453 47454
41 55 69 71 91706 70129
41 56 58 58 70659 57708
41 57 53 52 68391 51460
41 58 63 64 79294 63131
41 59 54 51 86983 50819
41 61 56 57 64398 56477
41 62 49 49 55938 48306
41 63 51 51 51000 51000
41 64 47 45 72204 44138
41 67 52 50 80737 49626
41 68 42 42 42000 42000
41 69 54 52 81128 51789
41 70 42 41 55330 40667
41 71 59 59 73981 58448
41 73 74 75 100724 74969
41 74 55 50 90126 49962
41 76 49 49 50454 48854
41 77 63 59 107456 58954
41 79 46 46 52078 45392
41 80 56 54 82273 53372
41 81 56 54 83794 53271
41 82 47 49 47000 48445
41 83 54 53 66673 52732
41 85 70 71 96072 70808
41 86 44 44 49049 43495
41 87 52 49 79976 48807
41 88 51 50 69057 49194
41 91 50 48 76585 47024
41 92 54 50 87057 49482
41 93 57 57 63132 56774
41 94 53 53 66087 52199
41 95 57 58 68360 57136
41 97 57 57 66300 56615
41 98 61 64 61000 63342
41 99 43 43 43000 43000
41 100 62 61 85829 60098
41 101 69 69 104631 68591
41 102 54 54 60512 53348
41 104 60 59 71938 58848
41 105 66 68 76491 67358
41 106 52 52 58467 51810
41 107 58 55 98520 54043
41 109 49 49 52866 48613
41 110 52 47 88873 46800
41 111 57 56 73281 55994
41 113 62 61 107550 60228
41 114 52 49 80310 48707
41 115 46 46 51114 45488
41 116 67 68 85794 67915
41 117 74 78 85250 77026
41 118 44 43 58578 42542
41 119 53 52 67762 51523
41 120 58 58 74976 57170
41 121 61 58 96542 57430
41 123 58 57 81107 56378
41 124 58 60 64100 59556
41 125 66 65 102198 64267
41 126 62 63 80186 62077
41 127 51 47 81623 46913
41 128 64 65 74064 64166
41 129 53 52 64666 51981
41 131 52 47 86139 46958
41 132 58 54 91184 53844
