IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1167 100.000000
21 1050 99.995238
41 820 99.976946
61 0 99.976946
81 0 99.976946
101 0 99.976946
121 0 99.976946
141 0 99.976946
161 0 99.976946
181 0 99.976946
201 0 99.976946
221 0 99.976946
241 0 99.976946
261 0 99.976946
281 0 99.976946
301 0 99.976946
321 0 99.976946
341 0 99.976946
361 0 99.976946
381 0 99.976946
401 0 99.976946
421 0 99.976946
441 0 99.976946
461 0 99.976946
481 0 99.976946
501 0 99.976946
521 0 99.976946
541 0 99.976946
561 0 99.976946
581 0 99.976946
601 0 99.976946
621 0 99.976946
641 0 99.976946
661 0 99.976946
681 0 99.976946
701 0 99.976946
721 0 99.976946
741 0 99.976946
761 0 99.976946
781 0 99.976946
801 0 99.976946
821 0 99.976946
841 0 99.976946
861 0 99.976946
881 0 99.976946
901 0 99.976946
921 1 94.978099
941 16 90.229194
961 20 85.717734
981 24 81.431848
1001 13 77.360255
1021 19 73.492242
1041 15 69.817630
1061 10 66.326749
1081 16 63.010411
1101 19 59.859891
1121 21 56.866896
1141 14 54.023551
1161 15 51.322374
1181 8 48.756255
1201 19 46.318442
1221 19 44.002520
1241 22 41.802394
1261 20 39.712275
1281 26 37.726661
1301 24 35.840328
1321 24 34.048311
1341 24 32.345896
1361 27 30.728601
1381 18 29.192171
1401 29 27.732562
1421 21 26.345934
1441 29 25.028638
1461 19 23.777206
1481 22 22.588345
1501 26 21.458928
1521 25 20.385982
1541 36 19.366683
1561 24 18.398349
1581 28 17.478431
1601 24 16.604510
1621 26 15.774284
1641 29 14.985570
1661 32 14.236291
1681 35 13.524477
1701 31 12.848253
1721 25 12.205840
1741 13 11.595548
1761 27 11.015771
1781 27 10.464982
1801 27 9.941733
1821 32 9.444647
1841 22 8.972414
1861 22 8.523794
1881 24 8.097604
1901 33 7.692724
1921 25 7.308087
1941 19 6.942683
1961 38 6.595549
1981 28 6.265772
2001 18 5.952483
2021 20 5.654859
2041 20 5.372116
2061 29 5.103510
2081 22 4.848335
2101 19 4.605918
2121 14 4.375622
2141 13 4.156841
2161 22 3.948999
2181 28 3.751549
2201 23 3.563971
2221 31 3.385773
2241 28 3.216484
2261 22 3.055660
2281 24 2.902877
2301 16 2.757733
2321 22 2.619846
2341 19 2.488854
2361 18 2.364411
2381 15 2.246191
2401 12 2.133881
2421 20 2.027187
2441 11 1.925828
2461 12 1.829537
2481 20 1.738060
2501 8 1.651157
2521 11 1.568599
2541 8 1.490169
2561 11 1.415660
2581 9 1.344877
2601 6 1.277634
2621 10 1.213752
2641 15 1.153064
2661 9 1.095411
2681 7 1.040641
2701 10 0.988609
2721 6 0.939178
2741 4 0.892219
2761 6 0.847608
2781 4 0.805228
2801 7 0.764966
2821 5 0.726718
2841 7 0.690382
2861 9 0.655863
2881 6 0.623070
2901 5 0.591916
2921 3 0.562321
2941 4 0.534205
2961 7 0.507494
2981 4 0.482120
3001 4 0.458014
3021 3 0.435113
3041 5 0.413357
3061 2 0.392689
3081 1 0.373055
3101 1 0.373055
3121 1 0.373055
3141 2 0.354402
3161 2 0.354402
3181 2 0.336682
3201 1 0.319848
3221 1 0.319848
3241 1 0.319848
3261 1 0.303856
3281 1 0.303856
3301 1 0.288663
3321 1 0.288663
3341 1 0.288663
3361 2 0.274230
3381 2 0.274230
3401 2 0.274230
3421 1 0.260518
3441 1 0.260518
3461 1 0.260518
3481 1 0.260518
3501 1 0.247492
3521 1 0.247492
3541 1 0.247492
3561 1 0.247492
3581 1 0.247492
