IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 227.669267 227.669267 0.000000 0.000000 3297.358685 240.660582
121 0.000000 0.000000 0.000000 0.000000 217.018176 12.991315
181 72.771538 72.771538 0.000000 0.000000 11.879550 73.883304
241 73.945134 73.945134 0.000000 0.000000 56.042188 75.056900
301 79.667658 79.667658 0.000000 0.000000 37.650676 80.779424
361 176.796530 176.796530 0.000000 0.000000 78.547616 177.908295
421 1026.196620 1026.196620 0.000000 0.000000 141.424917 1027.308386
481 1604.082043 1604.082043 0.000000 0.000000 1010.014231 1605.193808
541 2323.992232 2323.992232 0.000000 0.000000 1590.854170 2325.103998
601 2709.696356 2709.696356 0.000000 0.000000 2257.518750 2710.808122
661 2709.696356 2709.696356 0.000000 0.000000 2692.518750 2710.808122
721 2709.696356 2709.696356 0.000000 0.000000 2690.000000 2710.808122
781 2709.696356 2709.696356 0.000000 0.000000 2692.518750 2710.808122
841 825.820138 825.820138 0.000000 0.000000 2655.000000 826.931904
901 893.424089 893.424089 0.000000 0.000000 825.000000 894.535855
961 893.424089 893.424089 0.000000 0.000000 865.000000 894.535855
1021 893.424089 893.424089 0.000000 0.000000 885.000000 894.535855
1081 893.424089 893.424089 0.000000 0.000000 870.000000 894.535855
1141 893.424089 893.424089 0.000000 0.000000 500.000000 894.535855
1201 893.424089 893.424089 0.000000 0.000000 360.000000 894.535855
1261 893.424089 893.424089 0.000000 0.000000 300.000000 894.535855
1321 877.458410 877.458410 0.000000 0.000000 422.516680 878.570176
1381 893.424089 893.424089 0.000000 0.000000 865.000000 894.535855
1441 893.424089 893.424089 0.000000 0.000000 874.404190 894.535855
1501 893.424089 893.424089 0.000000 0.000000 136.258340 894.535855
1561 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
1621 893.424089 893.424089 0.000000 0.000000 152.516680 894.535855
1681 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
1741 893.424089 893.424089 0.000000 0.000000 152.516680 894.535855
1801 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
1861 893.424089 893.424089 0.000000 0.000000 152.516680 894.535855
1921 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
1981 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2041 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2101 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2161 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2221 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2281 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2341 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2401 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2461 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2521 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2581 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2641 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2701 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2761 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2821 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
2881 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
2941 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
3001 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
3061 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
3121 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
3181 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
3241 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
3301 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
3361 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
3421 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
3481 893.424089 893.424089 0.000000 0.000000 723.775020 894.535855
3541 893.424089 893.424089 0.000000 0.000000 183.775020 894.535855
