IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1183626.666667 0.000000 120266.666667 1063360.000000 55578.800000 1020173.165333 107874.701333
1 156 1110406.666667 0.000000 119766.666667 990640.000000 51581.550000 957634.804333 101190.312333
61 157 1163001.034189 0.000000 121168.666667 1041832.367523 87438.034050 995997.750839 79565.249300
61 156 1105088.170429 0.000000 120664.916667 984423.253762 79468.697231 951173.058362 74446.414835
121 157 969354.816166 0.000000 94486.208957 874868.607210 105086.876061 974064.792642 -109796.852537
121 156 915805.807166 0.000000 91480.862004 824324.945163 96326.100022 929755.342978 -110275.635833
181 157 810426.727226 0.000000 22052.671349 788374.055877 123634.772166 953389.922732 -266597.967672
181 156 749985.004900 0.000000 16310.736219 733674.268681 114044.968398 911681.270234 -275741.233732
241 157 716274.924378 0.000000 7522.201218 708752.723161 144184.072575 930370.594093 -358279.742289
241 156 669533.520878 0.000000 5074.060573 664459.460304 133694.198499 889591.017753 -353751.695374
301 157 689995.816251 0.000000 5205.299555 684790.516695 163729.131716 908765.176817 -382498.492283
301 156 648162.248791 0.000000 5081.371499 643080.877292 152148.629912 869584.881472 -373571.262592
361 157 657325.107784 0.000000 5411.960034 651913.147750 182062.810862 889477.446270 -414215.149348
361 156 614072.423633 0.000000 5763.570478 608308.853155 169516.538941 851495.905507 -406940.020815
421 157 560901.129907 0.000000 10018.898142 550882.231764 204359.362738 910173.505802 -553631.738634
421 156 526835.905824 0.000000 12331.526872 514504.378952 190666.148337 873340.274958 -537170.517471
481 157 307401.629180 0.000000 14789.313196 292612.315984 225910.197640 924351.341737 -842859.910198
481 156 298197.456281 0.000000 18778.357581 279419.098700 210900.392077 889633.348154 -802336.283949
541 157 96741.254619 0.000000 23609.411294 73131.843325 255223.076235 931280.887709 -1089762.709325
541 156 98251.158009 0.000000 23874.830980 74376.327029 239139.643247 895052.410972 -1035940.896210
601 157 60044.886826 0.000000 23609.411294 36435.475532 285190.865992 930139.667568 -1155285.646733
601 156 64900.079412 0.000000 23874.830980 41025.248433 267193.902371 895317.705981 -1097611.528939
661 157 59491.433122 0.000000 23609.411294 35882.021828 331243.178850 929110.584482 -1200862.330210
661 156 63375.719227 0.000000 23874.830980 39500.888247 309448.789223 895788.175314 -1141861.245311
721 157 59218.741527 0.000000 23609.411294 35609.330233 377681.578561 928093.606316 -1246556.443350
721 156 62227.283338 0.000000 23874.830980 38352.452358 352583.909795 896283.545741 -1186640.172199
781 157 58615.249692 0.000000 23609.411294 35005.838398 424086.386535 927035.351635 -1292506.488478
781 156 61519.236763 0.000000 23874.830980 37644.405783 395640.333484 896817.597296 -1230938.694018
841 157 58139.998190 0.000000 23609.411294 34530.586896 470491.162529 884161.687301 -1296512.851639
841 156 60420.773282 0.000000 23874.830980 36545.942302 438424.748468 857100.980646 -1235104.955833
901 157 56684.096974 0.000000 23609.411294 33074.685680 518203.522942 840260.285958 -1301779.711926
901 156 58886.862830 0.000000 23874.830980 35012.031850 483075.165619 816263.758383 -1240452.061172
961 157 52157.847387 0.000000 23609.411294 28548.436093 565647.765751 796290.965312 -1309780.883676
961 156 56104.265395 0.000000 23874.830980 32229.434415 527447.113015 775212.967229 -1246555.814849
1021 157 50467.101510 0.000000 23609.411294 26857.690216 613323.698292 752126.584305 -1314983.181087
1021 156 52270.601049 0.000000 23874.830980 28395.770070 571488.737717 733979.052715 -1253197.189383
1081 157 49860.489158 0.000000 23609.411294 26251.077864 660685.902695 707662.687440 -1318488.100977
1081 156 51238.291062 0.000000 23874.830980 27363.460082 615541.057539 692638.162584 -1256940.929061
1141 157 49419.915315 0.000000 23609.411294 25810.504021 708552.410956 662642.671064 -1321775.166705
1141 156 50779.244256 0.000000 23874.830980 26904.413276 659670.227403 651415.368027 -1260306.351174
