IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1205 100.000000
21 1054 99.985769
41 857 99.974102
61 0 99.974102
81 0 99.974102
101 0 99.974102
121 0 99.974102
141 0 99.974102
161 0 99.974102
181 0 99.974102
201 0 99.974102
221 0 99.974102
241 0 99.974102
261 0 99.974102
281 0 99.974102
301 0 99.974102
321 0 99.974102
341 0 99.974102
361 0 99.974102
381 0 99.974102
401 0 99.974102
421 0 99.974102
441 0 99.974102
461 0 99.974102
481 0 99.974102
501 0 99.974102
521 0 99.974102
541 0 99.974102
561 0 99.974102
581 0 99.974102
601 0 99.974102
621 0 99.974102
641 0 99.974102
661 0 99.974102
681 0 99.974102
701 0 99.974102
721 0 99.974102
741 0 99.974102
761 0 99.974102
781 0 99.974102
801 0 99.974102
821 1 94.975396
841 0 94.975396
861 0 94.975396
881 0 94.975396
901 0 94.975396
921 1 90.226627
941 19 85.715295
961 17 81.429531
981 17 77.358054
1001 26 73.490151
1021 23 69.815644
1041 27 66.324862
1061 17 63.008618
1081 18 59.858188
1101 24 56.865278
1121 15 54.022014
1141 31 51.320914
1161 22 48.754868
1181 20 46.317124
1201 26 44.001268
1221 13 41.801205
1241 28 39.711145
1261 30 37.725587
1281 31 35.839308
1301 22 34.047343
1321 26 32.344975
1341 41 30.727727
1361 42 29.191340
1381 29 27.731773
1401 33 26.345185
1421 28 25.027925
1441 30 23.776529
1461 31 22.587703
1481 36 21.458318
1501 30 20.385402
1521 38 19.366132
1541 26 18.397825
1561 34 17.477934
1581 34 16.604037
1601 39 15.773835
1621 39 14.985143
1641 38 14.235886
1661 35 13.524092
1681 35 12.847887
1701 34 12.205493
1721 30 11.595218
1741 34 11.015457
1761 41 10.464685
1781 28 9.941450
1801 34 9.444378
1821 44 8.972159
1841 34 8.523551
1861 36 8.097373
1881 34 7.692505
1901 28 7.307880
1921 35 6.942486
1941 45 6.595361
1961 45 6.265593
1981 35 5.952314
2001 26 5.654698
2021 33 5.371963
2041 33 5.103365
2061 32 4.848197
2081 33 4.605787
2101 28 4.375497
2121 30 4.156723
2141 27 3.948886
2161 29 3.751442
2181 19 3.563870
2201 24 3.385676
2221 21 3.216393
2241 21 3.055573
2261 23 2.902794
2281 32 2.757655
2301 28 2.619772
2321 24 2.488783
2341 22 2.364344
2361 22 2.246127
2381 19 2.133821
2401 30 2.027130
2421 12 1.925773
2441 14 1.829484
2461 15 1.738010
2481 17 1.651110
2501 15 1.568554
2521 21 1.490127
2541 11 1.415620
2561 13 1.344839
2581 18 1.277597
2601 12 1.213717
2621 12 1.153031
2641 12 1.095380
2661 11 1.040611
2681 8 0.988580
2701 11 0.939151
2721 3 0.892194
2741 10 0.847584
2761 9 0.805205
2781 11 0.764945
2801 13 0.726697
2821 7 0.690363
2841 7 0.655844
2861 6 0.623052
2881 5 0.591900
2901 4 0.562305
2921 12 0.534189
2941 5 0.507480
2961 8 0.482106
2981 3 0.458001
3001 6 0.435101
3021 4 0.413346
3041 5 0.392678
3061 4 0.373044
3081 6 0.354392
3101 4 0.336673
3121 4 0.336673
3141 4 0.336673
3161 2 0.319839
3181 3 0.303847
3201 2 0.288655
3221 1 0.274222
3241 1 0.260511
3261 2 0.247485
3281 1 0.235111
3301 2 0.223355
3321 1 0.212188
3341 2 0.201578
3361 3 0.191499
3381 1 0.181924
3401 1 0.181924
3421 1 0.172828
3441 2 0.164187
3461 2 0.164187
3481 2 0.164187
3501 2 0.164187
3521 2 0.164187
3541 2 0.164187
3561 1 0.155977
3581 1 0.155977
