IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 1 20 27 2 19
1 2 20 28 2 20
1 3 20 20 2 14
1 4 20 20 2 14
1 5 20 11 2 8
1 6 20 24 2 17
1 7 20 28 2 20
1 8 20 21 2 15
1 9 20 22 2 16
1 10 20 24 2 17
1 11 20 21 2 15
1 12 20 7 2 5
1 13 20 18 2 13
1 14 20 28 2 20
1 15 20 21 2 15
1 16 20 27 2 19
1 17 20 24 2 17
1 18 20 25 2 18
1 19 20 28 2 20
1 20 20 17 2 12
1 21 20 21 2 15
1 22 20 14 2 10
1 23 20 17 2 12
1 24 20 14 2 10
1 25 20 25 2 18
1 26 20 25 2 18
1 27 20 27 2 19
1 28 20 21 2 15
1 29 20 14 2 10
1 30 20 15 2 11
21 30 15 14 4 10
21 29 14 20 3 14
21 24 14 27 3 19
21 23 17 17 4 12
21 22 14 24 3 17
21 20 17 28 4 20
21 13 18 17 3 12
21 12 7 17 2 12
21 5 11 20 3 14
21 4 20 22 3 16
21 3 20 17 4 12
21 1 20 25 3 18
21 2 20 21 4 15
21 6 20 28 2 20
21 7 20 20 4 14
21 8 20 28 4 20
21 9 20 21 4 15
21 10 20 21 4 15
21 11 20 27 2 19
21 14 20 11 4 8
21 15 20 20 4 14
21 16 20 18 4 13
21 17 20 17 3 12
21 18 20 18 2 13
21 19 20 21 3 15
21 21 20 22 2 16
21 25 20 22 2 16
21 26 20 22 1 16
21 27 20 24 1 17
21 28 20 18 1 13
41 28 18 12 2 9
41 18 18 2 4 2
41 17 17 2 5 2
41 16 18 5 6 4
41 14 11 7 5 5
41 3 17 8 5 6
41 13 17 11 5 8
41 30 14 11 4 8
41 15 20 10 6 7
41 7 20 2 6 2
41 23 17 8 4 6
41 29 14 10 4 7
41 24 14 5 3 4
41 22 14 7 4 5
41 20 17 1 6 1
41 12 7 2 3 2
41 5 11 4 3 3
41 4 20 5 5 4
41 1 20 7 5 5
41 2 20 10 6 7
41 6 20 8 4 6
41 8 20 17 6 12
41 9 20 10 6 7
41 10 20 14 4 10
41 11 20 1 2 1
41 19 20 10 2 7
41 21 20 14 2 10
41 25 20 2 2 2
41 26 20 15 1 11
41 27 20 12 1 9
61 17 2 5 4 4
61 16 5 4 7 3
61 14 7 7 5 5
61 13 11 1 6 1
61 30 11 11 4 8
61 15 10 7 7 5
61 7 2 7 7 5
61 29 10 8 5 6
61 24 5 10 4 7
61 22 7 2 5 2
61 20 1 7 6 5
61 12 2 2 3 2
61 4 5 2 6 2
