IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4111103.459202 2163932.650000 1947170.809202 0.000000 2163932.650000 -216761.840798 2163932.650000 0.000000
121 0.005000 -0.282060 9735.854046 0.000000 0.000000 4067752.785620 2163932.650000 1903820.135620 0.000000 2163932.650000 -260112.514380 2163932.650000 0.000000
181 0.005000 -0.329335 9519.100678 0.000000 0.000000 4029003.842966 2163932.650000 1865071.192966 0.000000 2163932.650000 -298861.457034 2163932.650000 0.000000
241 0.005000 -0.255506 9325.355965 0.000000 0.000000 3983894.261845 2163932.650000 1819961.611845 0.000000 2163932.650000 -343971.038155 2163932.650000 0.000000
301 0.005000 -0.267239 9099.808059 0.000000 0.000000 3942282.708289 2163932.650000 1778350.058289 0.000000 2163932.650000 -385582.591711 2163932.650000 0.000000
361 0.005000 0.007125 8891.750291 0.000000 0.000000 3904906.001777 2163932.650000 1740973.351777 0.000000 2163932.650000 -422959.298223 2163932.650000 0.000000
421 0.050000 0.309032 87048.667589 0.000000 0.000000 3947446.430759 2163932.650000 1783513.780759 0.000000 2163932.650000 -380418.869241 2163932.650000 0.000000
481 0.050000 0.355615 89175.689038 0.000000 0.000000 3977917.339891 2163932.650000 1813984.689891 0.000000 2163932.650000 -349947.960109 2163932.650000 0.000000
541 0.050000 0.528384 90699.234495 0.000000 0.000000 3990265.948680 2163932.650000 1826333.298680 0.000000 2163932.650000 -337599.351320 2163932.650000 0.000000
601 0.050000 1.447140 91316.664934 0.000000 0.000000 3989390.023548 2163932.650000 1825457.373548 0.000000 2163932.650000 -338475.276452 2163932.650000 0.000000
661 0.050000 1.220042 91272.868677 0.000000 0.000000 3988831.409796 2163932.650000 1824898.759796 0.000000 2163932.650000 -339033.890204 2163932.650000 0.000000
721 0.050000 0.920512 91244.937990 0.000000 0.000000 3988309.802057 2163932.650000 1824377.152057 0.000000 2163932.650000 -339555.497943 2163932.650000 0.000000
781 0.050000 0.724265 91218.857603 0.000000 0.000000 3987785.598931 2163932.650000 1823852.948931 0.000000 2163932.650000 -340079.701069 2163932.650000 0.000000
841 0.005000 -0.000000 9119.264745 0.000000 0.000000 3905195.317947 2163932.650000 1741262.667947 0.000000 2163932.650000 -422669.982053 2163932.650000 0.000000
901 0.005000 -0.372974 8706.313340 0.000000 0.000000 3820456.694340 2163932.650000 1656524.044340 0.000000 2163932.650000 -507408.605660 2163932.650000 0.000000
961 0.005000 -0.372974 8282.620222 0.000000 0.000000 3735436.582540 2163932.650000 1571503.932540 0.000000 2163932.650000 -592428.717460 2163932.650000 0.000000
1021 0.005000 -0.372974 7857.519663 0.000000 0.000000 3650038.287021 2163932.650000 1486105.637021 0.000000 2163932.650000 -677827.012979 2163932.650000 0.000000
1081 0.005000 -0.372974 7430.528185 0.000000 0.000000 3564233.500024 2163932.650000 1400300.850024 0.000000 2163932.650000 -763631.799976 2163932.650000 0.000000
1141 0.005000 0.000000 7001.504250 0.000000 0.000000 3477990.689092 2163932.650000 1314058.039092 0.000000 2163932.650000 -849874.610908 2163932.650000 0.000000
1201 0.005000 0.000000 6570.290195 0.000000 0.000000 3391020.664105 2163932.650000 1227088.014105 0.000000 2163932.650000 -936844.635895 2163932.650000 0.000000
1261 0.005000 -0.000000 6135.440071 0.000000 0.000000 3303839.346334 2163932.650000 1139906.696334 0.000000 2163932.650000 -1024025.953666 2163932.650000 0.000000
1321 0.005000 -0.000000 5699.533482 0.000000 0.000000 3216005.084963 2163932.650000 1052072.434963 0.000000 2163932.650000 -1111860.215037 2163932.650000 0.000000
1381 0.005000 -0.000000 5260.362175 0.000000 0.000000 3127813.070781 2163932.650000 963880.420781 0.000000 2163932.650000 -1200052.229219 2163932.650000 0.000000
1441 0.005000 -0.000000 4819.402104 0.000000 0.000000 3039562.821406 2163932.650000 875630.171406 0.000000 2163932.650000 -1288302.478594 2163932.650000 0.000000
1501 0.005000 0.000000 4378.150857 0.000000 0.000000 2950697.663753 2163932.650000 786765.013753 0.000000 2163932.650000 -1377167.636247 2163932.650000 0.000000
1561 0.005000 0.000000 3933.825069 0.000000 0.000000 2860965.442302 2163932.650000 697032.792302 0.000000 2163932.650000 -1466899.857698 2163932.650000 0.000000
1621 0.005000 0.000000 3485.163962 0.000000 0.000000 2771086.165247 2163932.650000 607153.515247 0.000000 2163932.650000 -1556779.134753 2163932.650000 0.000000
