IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
161 13 5.066352 62 62 61000 0 62000 63020 0.005624
161 10 5.066352 43 43 42000 0 43000 43640 0.005611
181 9 5.069491 65 65 64000 0 65000 66080 0.005618
181 6 5.069491 64 64 62000 0 64000 64840 0.005618
181 8 5.069491 54 54 53000 0 54000 54860 0.005615
181 14 5.069491 60 60 59000 0 60000 60980 0.005618
181 4 5.069491 65 65 64000 0 65000 66080 0.005616
181 12 5.069491 61 61 60000 0 61000 62000 0.005626
181 5 5.069491 58 58 57000 0 58000 58940 0.005615
181 13 5.069491 64 64 62000 0 64000 64840 0.005626
181 10 5.069491 44 44 43000 0 44000 44660 0.005613
181 11 5.069491 55 55 54000 0 55000 55880 0.005625
181 7 5.069491 68 68 67000 0 68000 69140 0.005624
181 15 5.069491 55 55 54000 0 55000 55880 0.005615
201 9 5.070541 67 67 65000 0 67000 67900 0.005618
201 6 5.070541 65 65 64000 0 65000 66080 0.005618
201 8 5.070541 55 55 54000 0 55000 55880 0.005615
201 14 5.070541 61 61 60000 0 61000 62000 0.005618
201 12 5.070541 62 62 61000 0 62000 63020 0.005626
201 5 5.070541 59 59 58000 0 59000 59960 0.005616
201 13 5.070541 65 65 64000 0 65000 66080 0.005626
201 10 5.070541 45 45 44000 0 45000 45680 0.005614
201 7 5.070541 70 70 68000 0 70000 70960 0.005624
201 15 5.070541 56 56 55000 0 56000 56900 0.005616
201 11 5.070541 56 56 55000 0 56000 56900 0.005625
201 4 5.070541 67 67 65000 0 67000 67900 0.005616
221 9 5.072234 68 68 67000 0 68000 69140 0.005619
221 6 5.072234 67 67 65000 0 67000 67900 0.005619
221 8 5.072234 56 56 55000 0 56000 56900 0.005617
221 14 5.072234 62 62 61000 0 62000 63020 0.005620
221 12 5.072234 64 64 62000 0 64000 64840 0.005626
221 13 5.072234 67 67 65000 0 67000 67900 0.005626
221 10 5.072234 46 46 45000 0 46000 46700 0.005615
221 15 5.072234 55 57 56000 0 55000 56320 0.005618
221 11 5.072234 53 57 56000 0 53000 54720 0.005630
221 4 5.072234 64 68 67000 0 64000 65940 0.005620
221 7 5.072234 71 71 70000 0 71000 72200 0.005625
221 5 5.072234 60 60 59000 0 60000 60980 0.005617
241 9 5.075305 70 70 68000 0 70000 70960 0.005635
241 6 5.075305 67 68 67000 0 67000 68340 0.005636
241 8 5.075305 54 57 56000 0 54000 55520 0.005635
241 4 5.075305 65 66 64000 0 65000 66080 0.005637
241 7 5.075305 71 73 71000 0 71000 72420 0.005644
241 14 5.075305 61 64 62000 0 61000 62440 0.005638
241 12 5.075305 63 65 64000 0 63000 64480 0.005647
241 13 5.075305 63 68 67000 0 63000 65140 0.005650
241 10 5.075305 46 47 46000 0 46000 46920 0.005630
241 15 5.075305 55 57 55000 0 55000 56100 0.005635
241 11 5.075305 53 55 53000 0 53000 54060 0.005651
241 5 5.075305 59 61 60000 0 59000 60400 0.005635
261 9 5.077494 71 71 70000 0 71000 72200 0.005636
261 6 5.077494 69 69 67000 0 69000 69940 0.005637
261 8 5.077494 56 56 54000 0 56000 56680 0.005635
261 4 5.077494 67 67 65000 0 67000 67900 0.005637
261 14 5.077494 63 63 61000 0 63000 63820 0.005639
261 12 5.077494 65 65 63000 0 65000 65860 0.005648
261 13 5.077494 66 66 63000 0 66000 66660 0.005650
261 15 5.077494 57 57 55000 0 57000 57700 0.005636
261 11 5.077494 55 55 53000 0 55000 55660 0.005651
261 5 5.077494 61 61 59000 0 61000 61780 0.005635
261 10 5.077494 47 47 46000 0 47000 47720 0.005632
261 7 5.077494 73 73 71000 0 73000 74020 0.005645
281 9 5.078678 73 73 71000 0 73000 74020 0.005636
281 6 5.078678 70 70 69000 0 70000 71180 0.005637
281 8 5.078678 57 57 56000 0 57000 57920 0.005636
281 4 5.078678 68 68 67000 0 68000 69140 0.005638
281 14 5.078678 58 64 63000 0 58000 60260 0.005645
281 12 5.078678 63 66 65000 0 63000 64700 0.005651
281 13 5.078678 65 67 66000 0 65000 66520 0.005652
281 15 5.078678 56 58 57000 0 56000 57340 0.005638
281 11 5.078678 55 56 55000 0 55000 56100 0.005652
281 5 5.078678 59 62 61000 0 59000 60620 0.005638
281 7 5.078678 75 75 73000 0 75000 76060 0.005645
281 10 5.078678 48 48 47000 0 48000 48740 0.005632
301 9 5.080688 75 75 73000 0 75000 76060 0.005624
301 8 5.080688 57 58 57000 0 57000 58140 0.005625
301 4 5.080688 67 70 68000 0 67000 68560 0.005627
301 12 5.080688 62 65 63000 0 62000 63460 0.005637
301 15 5.080688 56 58 56000 0 56000 57120 0.005627
301 7 5.080688 72 77 75000 0 72000 74100 0.005634
301 13 5.080688 62 67 65000 0 62000 63900 0.005639
301 11 5.080688 54 57 55000 0 54000 55300 0.005638
301 5 5.080688 60 61 59000 0 60000 60980 0.005626
301 10 5.080688 46 49 48000 0 46000 47360 0.005624
301 14 5.080688 61 61 58000 0 61000 61560 0.005630
301 6 5.080688 72 72 70000 0 72000 73000 0.005625
321 9 5.082000 76 77 75000 0 76000 77300 0.005625
321 8 5.082000 57 59 57000 0 57000 58140 0.005627
321 4 5.082000 65 69 67000 0 65000 66740 0.005630
321 12 5.082000 62 64 62000 0 62000 63240 0.005639
321 15 5.082000 56 58 56000 0 56000 57120 0.005628
321 7 5.082000 70 75 72000 0 70000 71840 0.005636
321 13 5.082000 61 64 62000 0 61000 62440 0.005642
321 11 5.082000 52 56 54000 0 52000 53480 0.005642
321 5 5.082000 57 61 60000 0 57000 58800 0.005630
321 10 5.082000 47 48 46000 0 47000 47720 0.005625
321 14 5.082000 60 62 61000 0 60000 61420 0.005632
321 6 5.082000 73 73 72000 0 73000 74240 0.005626
341 9 5.083680 77 78 76000 0 77000 78320 0.005627
341 8 5.083680 57 59 57000 0 57000 58140 0.005629
341 12 5.083680 63 64 62000 0 63000 64040 0.005640
341 7 5.083680 71 72 70000 0 71000 72200 0.005638
341 13 5.083680 60 63 61000 0 60000 61420 0.005644
341 11 5.083680 53 54 52000 0 53000 53840 0.005643
341 5 5.083680 57 59 57000 0 57000 58140 0.005632
341 10 5.083680 46 48 47000 0 46000 47140 0.005627
341 14 5.083680 59 62 60000 0 59000 60400 0.005634
341 6 5.083680 73 75 73000 0 73000 74460 0.005628
341 15 5.083680 58 58 56000 0 58000 58720 0.005629
341 4 5.083680 67 67 65000 0 67000 67900 0.005631
361 9 5.084880 77 79 77000 0 77000 78540 0.005628
361 8 5.084880 58 59 57000 0 58000 58940 0.005629
361 12 5.084880 64 65 63000 0 64000 65060 0.005640
361 7 5.084880 70 73 71000 0 70000 71620 0.005640
361 13 5.084880 58 62 60000 0 58000 59600 0.005648
361 11 5.084880 50 54 53000 0 50000 51660 0.005647
361 5 5.084880 57 59 57000 0 57000 58140 0.005633
361 10 5.084880 47 48 46000 0 47000 47720 0.005628
361 14 5.084880 56 61 59000 0 56000 57780 0.005638
361 6 5.084880 74 75 73000 0 74000 75260 0.005629
361 15 5.084880 57 59 58000 0 57000 58360 0.005631
361 4 5.084880 64 68 67000 0 64000 65940 0.005634
381 9 5.086021 79 79 77000 0 79000 80140 0.005629
381 12 5.086021 66 66 64000 0 66000 66880 0.005640
381 7 5.086021 72 72 70000 0 72000 73000 0.005640
381 11 5.086021 52 52 50000 0 52000 52600 0.005646
381 5 5.086021 59 59 57000 0 59000 59740 0.005633
381 10 5.086021 48 48 47000 0 48000 48740 0.005628
381 6 5.086021 76 76 74000 0 76000 77080 0.005629
381 15 5.086021 59 59 57000 0 59000 59740 0.005631
381 4 5.086021 66 66 64000 0 66000 66880 0.005634
381 14 5.086021 58 58 56000 0 58000 58720 0.005638
381 13 5.086021 60 60 58000 0 60000 60760 0.005647
381 8 5.086021 59 59 58000 0 59000 59960 0.005630
401 9 5.086642 80 81 79000 0 80000 81380 0.005629
401 12 5.086642 67 67 66000 0 67000 68120 0.005640
401 7 5.086642 73 73 72000 0 73000 74240 0.005640
401 11 5.086642 48 53 52000 0 48000 49840 0.005651
401 5 5.086642 55 60 59000 0 55000 56980 0.005636
401 10 5.086642 45 49 48000 0 45000 46560 0.005631
401 6 5.086642 74 78 76000 0 74000 75920 0.005631
401 15 5.086642 58 60 59000 0 58000 59380 0.005632
401 4 5.086642 58 67 66000 0 58000 60920 0.005640
401 14 5.086642 56 59 58000 0 56000 57560 0.005640
401 13 5.086642 56 61 60000 0 56000 58000 0.005651
401 8 5.086642 54 60 59000 0 54000 56180 0.005634
421 12 5.091717 69 69 67000 0 69000 69940 0.005644
421 15 5.091717 59 60 58000 0 59000 59960 0.005637
421 9 5.091717 82 82 80000 0 82000 83200 0.005634
421 7 5.091717 75 75 73000 0 75000 76060 0.005644
421 11 5.091717 50 50 48000 0 50000 50560 0.005654
421 5 5.091717 57 57 55000 0 57000 57700 0.005641
421 6 5.091717 76 76 74000 0 76000 77080 0.005636
421 14 5.091717 57 58 56000 0 57000 57920 0.005645
421 13 5.091717 56 58 56000 0 56000 57120 0.005657
421 8 5.091717 57 57 54000 0 57000 57480 0.005637
421 4 5.091717 61 61 58000 0 61000 61560 0.005643
421 10 5.091717 47 47 45000 0 47000 47500 0.005635
441 12 5.093824 70 70 69000 0 70000 71180 0.005646
441 15 5.093824 60 60 59000 0 60000 60980 0.005639
441 9 5.093824 84 84 82000 0 84000 85240 0.005635
441 7 5.093824 72 77 75000 0 72000 74100 0.005648
441 11 5.093824 50 51 50000 0 50000 51000 0.005657
441 5 5.093824 56 58 57000 0 56000 57340 0.005644
441 6 5.093824 77 78 76000 0 77000 78320 0.005637
441 14 5.093824 56 58 57000 0 56000 57340 0.005648
441 8 5.093824 55 58 57000 0 55000 56540 0.005641
441 4 5.093824 60 62 61000 0 60000 61420 0.005646
441 10 5.093824 48 48 47000 0 48000 48740 0.005637
441 13 5.093824 58 58 56000 0 58000 58720 0.005657
461 12 5.094960 68 72 70000 0 68000 69800 0.005649
461 9 5.094960 83 86 84000 0 83000 84880 0.005637
461 11 5.094960 48 51 50000 0 48000 49400 0.005660
461 6 5.094960 76 79 77000 0 76000 77740 0.005639
461 8 5.094960 56 57 55000 0 56000 56900 0.005642
461 4 5.094960 59 62 60000 0 59000 60400 0.005648
461 13 5.094960 56 59 58000 0 56000 57560 0.005661
461 10 5.094960 49 49 48000 0 49000 49760 0.005637
461 14 5.094960 58 58 56000 0 58000 58720 0.005647
461 5 5.094960 58 58 56000 0 58000 58720 0.005643
461 7 5.094960 75 75 72000 0 75000 75840 0.005648
461 15 5.094960 61 61 60000 0 61000 62000 0.005639
481 12 5.095921 69 70 68000 0 69000 70160 0.005649
481 15 5.095921 59 62 61000 0 59000 60620 0.005642
481 9 5.095921 84 85 83000 0 84000 85460 0.005637
481 11 5.095921 46 50 48000 0 46000 47360 0.005664
481 6 5.095921 77 78 76000 0 77000 78320 0.005640
481 8 5.095921 56 57 56000 0 56000 57120 0.005643
481 4 5.095921 59 61 59000 0 59000 60180 0.005649
481 13 5.095921 54 58 56000 0 54000 55520 0.005664
481 10 5.095921 47 50 49000 0 47000 48380 0.005640
481 14 5.095921 57 59 58000 0 57000 58360 0.005649
481 7 5.095921 72 76 75000 0 72000 74100 0.005650
481 5 5.095921 59 59 58000 0 59000 59960 0.005644
501 12 5.097295 69 71 69000 0 69000 70380 0.005651
501 15 5.097295 59 61 59000 0 59000 60180 0.005643
501 9 5.097295 79 86 84000 0 79000 81680 0.005641
501 11 5.097295 44 48 46000 0 44000 45320 0.005668
501 6 5.097295 76 79 77000 0 76000 77740 0.005642
501 8 5.097295 56 58 56000 0 56000 57120 0.005644
