IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
781 22 34826.436476 0.000000 4703.688271 30122.748206 42570.674788 70033.435839 -77777.674151
781 21 32281.605895 0.000000 3694.166667 28587.439228 37520.523197 58965.346130 -64204.263432
841 22 34547.222192 0.000000 4703.688271 29843.533921 44851.488448 67618.148182 -77922.414438
841 21 32004.124575 0.000000 3694.166667 28309.957909 39459.018312 56852.329660 -64307.223397
901 22 34344.725904 0.000000 4703.688271 29641.037633 47035.920014 65365.466488 -78056.660597
901 21 31883.780772 0.000000 3694.166667 28189.614105 41405.709747 54878.765708 -64400.694683
961 22 34217.359245 0.000000 4703.688271 29513.670975 49049.689005 63348.262854 -78180.592614
961 21 31762.684820 0.000000 3694.166667 28068.518153 43187.342651 53060.392467 -64485.050298
1021 22 34089.196546 0.000000 4703.688271 29385.508275 50861.967289 61522.463910 -78295.234653
1021 21 31554.096409 0.000000 3694.166667 27859.929742 44687.093520 51428.436652 -64561.433763
1081 22 33960.232829 0.000000 4703.688271 29256.544558 52049.679892 60312.101651 -78401.548715
1081 21 31245.376952 0.000000 3694.166667 27551.210285 46332.309988 49544.055377 -64630.988413
1141 22 33419.499817 0.000000 4703.688271 28715.811546 53440.823203 58482.680633 -78504.004019
1141 21 30712.208734 0.000000 3694.166667 27018.042068 46371.479433 49034.776833 -64694.047531
1201 22 32366.715990 0.000000 4871.466941 27495.249050 53508.705708 57462.077516 -78604.067234
1201 21 29250.128215 0.000000 3694.166667 25555.961548 46025.859231 47986.083435 -64761.814452
1261 22 31183.221333 0.000000 4871.466941 26311.754392 53638.231936 56248.989488 -78704.000091
1261 21 27939.899845 0.000000 3694.166667 24245.733179 45439.100806 47332.953882 -64832.154843
1321 22 30500.234976 0.000000 4871.466941 25628.768035 52352.408059 56952.526379 -78804.699462
1321 21 26615.285397 0.000000 3694.166667 22921.118730 45873.187059 45649.627505 -64907.529166
1381 22 28404.665566 0.000000 5039.245611 23365.419954 50964.161318 56359.560846 -78919.056598
1381 21 25638.043787 0.000000 3861.945337 21776.098450 44919.710597 45700.836731 -64982.503541
1441 22 26869.903206 0.000000 5039.245611 21830.657595 50027.269389 55883.242408 -79040.608591
1441 21 24635.899673 0.000000 3861.945337 20773.954336 43969.671310 45729.956671 -65063.728309
1501 22 25902.988455 0.000000 5039.245611 20863.742844 49712.499373 55358.814199 -79168.325116
1501 21 23107.503147 0.000000 3861.945337 19245.557810 42231.752667 46028.038034 -65152.287555
1561 22 24623.085736 0.000000 5039.245611 19583.840124 48934.094895 54989.937010 -79300.946170
1561 21 22387.871502 0.000000 3861.945337 18525.926165 41379.830417 46258.143750 -65250.102665
1621 22 23594.275253 0.000000 5039.245611 18555.029642 48272.952338 54758.734369 -79437.411453
1621 21 21683.452732 0.000000 3861.945337 17821.507396 41156.171495 45880.013090 -65352.731853
1681 22 22968.841176 0.000000 5039.245611 17929.595565 47316.048009 55231.370812 -79578.577646
1681 21 21191.829635 0.000000 3861.945337 17329.884298 41694.813650 44955.318343 -65458.302358
1741 22 22348.351790 0.000000 5039.245611 17309.106179 46563.249752 55510.787093 -79725.685055
1741 21 20499.040411 0.000000 3861.945337 16637.095074 41919.313455 44142.235930 -65562.508973
1801 22 21808.764233 0.000000 5039.245611 16769.518622 46120.192847 55566.153986 -79877.582599
1801 21 19960.934565 0.000000 3861.945337 16098.989228 41984.789999 43642.331043 -65666.186476
1861 22 21498.568057 0.000000 5039.245611 16459.322446 46297.520855 55233.697621 -80032.650419
1861 21 19653.350834 0.000000 3861.945337 15791.405497 41824.868664 43598.252760 -65769.770590
1921 22 21264.880141 0.000000 5039.245611 16225.634530 46324.618082 55127.782496 -80187.520437
1921 21 19186.755481 0.000000 3861.945337 15324.810144 41866.771265 43196.045312 -65876.061096
1981 22 20881.538255 0.000000 5039.245611 15842.292643 46492.823215 54732.353776 -80343.638737
1981 21 18876.310069 0.000000 3861.945337 15014.364732 41721.540014 43137.672637 -65982.902582
2041 22 20798.601803 0.000000 5039.245611 15759.356192 46887.195562 54410.795247 -80499.389006
2041 21 18723.719455 0.000000 3861.945337 14861.774118 41835.989114 42978.154092 -66090.423751
2101 22 19828.598957 0.000000 5039.245611 14789.353346 46552.232308 53933.659971 -80657.293323
2101 21 18350.738954 0.000000 3861.945337 14488.793617 41561.838347 42987.771157 -66198.870550
2161 22 19749.372472 0.000000 5039.245611 14710.126861 46434.016930 54130.986535 -80815.630993
2161 21 17907.256153 0.000000 3861.945337 14045.310816 41937.761123 42279.952949 -66310.457920
2221 22 19669.650822 0.000000 5039.245611 14630.405211 46832.543839 53812.557444 -80975.450462
2221 21 17826.956011 0.000000 3861.945337 13965.010674 42312.337075 41934.237201 -66419.618265
2281 22 19443.909366 0.000000 5039.245611 14404.663755 47707.692863 52871.153905 -81134.937401
2281 21 17750.351002 0.000000 3861.945337 13888.405665 42660.822585 41617.054256 -66527.525839
