IT_NO ID MORTGAGES LOANS DEPOSITS INTERESTS_ACCRUED TOTAL_WRITEOFFS
48 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
49 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
49 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
50 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
50 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
51 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
51 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
52 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
52 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
53 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
53 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
54 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
54 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
55 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
55 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
56 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
56 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
57 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
57 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
58 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
58 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
59 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
59 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
60 21 1169251.417290 9913.583333 1100500.266272 875.307739 2379.492242
60 22 1078127.894646 14480.250000 1002902.529531 1020.462656 3605.092409
61 21 1158896.739301 9913.583333 1100500.266272 203.142927 10170.700096
61 22 1169244.832603 14480.250000 1002902.529531 239.826406 8515.276195
62 21 1158896.739301 9913.583333 1100500.266272 203.142927 10170.700096
62 22 1169244.832603 14480.250000 1002902.529531 239.826406 8515.276195
63 21 1158896.739301 9913.583333 1100500.266272 203.142927 10170.700096
63 22 1169244.832603 14480.250000 1002902.529531 239.826406 8515.276195
64 21 1158896.739301 9913.583333 1100500.266272 203.142927 10170.700096
64 22 1169244.832603 14480.250000 1002902.529531 239.826406 8515.276195
