IT_NO ID ISCONSTRUCTOR NO_EMPLOYEES REVENUES TOTAL_ASSETS LIQUIDITY DEBT INVENTORY
7 10 0 35 49.133275 1449.583333 52.633275 1166.666667 61291
7 11 0 58 35.660975 2402.166667 41.460975 1933.333333 109679
7 12 0 65 34.566492 2692.083333 41.066492 2166.666667 123873
7 13 0 68 70.272600 2816.333333 77.072600 2266.666667 123544
7 14 0 54 37.471950 2236.500000 42.871950 1800.000000 101358
7 15 0 46 40.117892 1905.166667 44.717892 1533.333333 84889
7 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
7 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
7 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
8 4 0 56 37.093958 2319.333333 42.693958 1866.666667 105425
8 5 0 49 31.249192 2029.416667 36.149192 1633.333333 92461
8 6 0 57 36.343617 2360.750000 42.043617 1900.000000 107558
8 7 0 70 43.621367 2899.166667 50.621367 2333.333333 132268
8 8 0 45 31.960042 1863.750000 36.460042 1500.000000 84335
8 9 0 58 34.910633 2402.166667 40.710633 1933.333333 109812
8 10 0 35 49.133275 1449.583333 52.633275 1166.666667 61291
8 11 0 58 35.660975 2402.166667 41.460975 1933.333333 109679
8 12 0 65 34.566492 2692.083333 41.066492 2166.666667 123873
8 13 0 68 70.272600 2816.333333 77.072600 2266.666667 123544
8 14 0 54 37.471950 2236.500000 42.871950 1800.000000 101358
8 15 0 46 40.117892 1905.166667 44.717892 1533.333333 84889
8 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
8 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
8 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
9 4 0 56 37.093958 2319.333333 42.693958 1866.666667 105425
9 5 0 49 31.249192 2029.416667 36.149192 1633.333333 92461
9 6 0 57 36.343617 2360.750000 42.043617 1900.000000 107558
9 7 0 70 43.621367 2899.166667 50.621367 2333.333333 132268
9 8 0 45 31.960042 1863.750000 36.460042 1500.000000 84335
9 9 0 58 34.910633 2402.166667 40.710633 1933.333333 109812
9 10 0 35 49.133275 1449.583333 52.633275 1166.666667 61291
9 11 0 58 35.660975 2402.166667 41.460975 1933.333333 109679
9 12 0 65 34.566492 2692.083333 41.066492 2166.666667 123873
9 13 0 68 70.272600 2816.333333 77.072600 2266.666667 123544
9 14 0 54 37.471950 2236.500000 42.871950 1800.000000 101358
9 15 0 46 40.117892 1905.166667 44.717892 1533.333333 84889
9 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
9 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
9 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
10 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
10 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
10 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
10 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
10 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
10 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
10 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
10 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
10 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
10 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
10 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
10 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
11 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
11 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
11 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
11 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
11 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
11 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
11 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
11 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
11 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
11 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
11 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
11 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
12 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
12 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
12 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
12 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
12 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
12 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
12 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
12 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
12 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
