IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
241 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.005945 0.560000 3931 3931 1813.500000 387.860000
241 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.005941 0.560000 4222 4222 1947.833333 416.486667
241 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.005901 0.560000 2548 2548 1175.416667 251.463333
241 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.005938 0.560000 4950 4950 2283.666667 488.333333
241 6 0 0 0 0.000000 0 0 2323.440000 0.000000 0 0.005945 0.560000 4149 4149 1914.250000 409.190000
241 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.005907 0.560000 3567 3567 1645.583333 351.936667
241 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.005906 0.560000 3348 3348 1544.833333 330.046667
241 7 0 0 0 0.000000 0 0 2853.200000 -0.000000 0 0.005919 0.560000 5095 5095 2350.833333 502.366667
241 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.005906 0.560000 3276 3276 1511.250000 323.310000
301 11 1 1 0 0.000000 0 0 2493.785132 0.000000 21436 0.006040 0.560000 4222 4222 1965.792754 527.992379
301 12 1 1 0 0.000000 0 0 2912.177611 -0.000000 43503 0.006041 0.560000 4731 4731 2278.701652 633.475959
301 13 1 1 0 0.000000 0 0 3057.784904 -0.000000 47299 0.006042 0.560000 4950 4950 2394.089484 663.695420
301 9 0 0 0 0.000000 0 0 2428.160818 0.000000 10568 0.006041 0.560000 4222 4222 1947.833333 480.327484
301 6 0 0 0 0.000000 0 0 2422.423281 0.000000 16368 0.006047 0.560000 4149 4149 1914.250000 508.173281
301 5 0 0 0 0.000000 0 0 2100.580258 -0.000000 16965 0.006075 0.560000 3567 3567 1645.583333 454.996924
301 14 0 0 0 0.000000 0 0 2229.829718 -0.000000 4708 0.006047 0.560000 3931 3931 1813.500000 416.329718
301 7 0 0 0 0.000000 0 0 3008.570794 0.000000 25761 0.006031 0.560000 5095 5095 2350.833333 657.737460
301 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006072 0.560000 2548 2548 1175.416667 251.463333
301 15 0 0 0 0.000000 0 0 1935.304121 -0.000000 9938 0.006080 0.560000 3348 3348 1544.833333 390.470788
301 8 0 0 0 0.000000 0 0 1836.572403 0.000000 331 0.006080 0.560000 3276 3276 1511.250000 325.322403
301 4 0 0 0 0.000000 0 0 2351.025418 0.000000 11322 0.006047 0.560000 4076 4076 1880.666667 470.358751
361 7 0 0 0 0.000000 0 0 2969.108902 0.000000 18968 0.006111 0.560000 5095 5095 2350.833333 618.275568
361 14 0 0 0 0.000000 0 0 2266.708382 0.000000 10614 0.006157 0.560000 3931 3931 1813.500000 453.208382
361 11 0 0 0 0.000000 0 0 2582.343214 0.000000 35755 0.006098 0.560000 4222 4222 1965.792754 616.550460
361 13 0 0 0 0.000000 0 0 3206.177079 0.000000 71057 0.006110 0.560000 4950 4950 2394.089484 812.087595
361 6 0 0 0 0.000000 0 0 2389.774589 0.000000 10851 0.006113 0.560000 4149 4149 1914.250000 475.524589
361 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006089 0.560000 2548 2548 1175.416667 251.463333
