IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
3321 1 5.250239 26 29 0 73 1 20 138.409038
3321 3 5.255432 16 16 0 79 2 11 138.409038
3341 1 5.250425 29 16 0 75 2 11 138.409038
3341 2 5.250425 29 28 0 83 2 19 138.409038
3341 3 5.255432 16 19 0 80 1 13 138.409038
3361 3 5.253474 19 29 0 81 1 20 138.409038
3361 1 5.250425 16 28 0 76 1 19 138.409038
3361 2 5.250425 28 29 0 84 1 20 138.409038
3381 3 5.251386 29 19 0 83 2 13 138.409038
3381 2 5.251386 29 25 0 85 1 17 138.409038
3381 1 5.251386 28 16 0 77 1 11 138.409038
3401 3 5.251386 19 10 0 84 1 7 138.409038
3401 2 5.251386 25 23 0 86 1 16 138.409038
3401 1 5.251386 16 25 0 78 1 17 138.409038
3421 3 5.251386 10 23 0 84 0 16 138.409038
3421 1 5.254631 25 18 0 79 1 12 138.409038
3421 2 5.251386 23 19 0 88 2 13 138.409038
3441 3 5.257583 23 16 0 86 2 11 138.409038
3441 1 5.254631 18 26 0 80 1 18 138.409038
3441 2 5.251386 19 25 0 90 2 17 138.409038
3461 2 5.261011 25 16 0 92 2 11 138.409038
3461 1 5.261011 26 18 0 81 1 12 138.409038
3461 3 5.257583 16 16 0 87 1 11 138.409038
3481 3 5.257583 16 12 0 88 1 8 138.409038
3481 2 5.261011 16 20 0 93 1 14 138.409038
3481 1 5.261011 18 12 0 83 2 8 138.409038
3501 1 5.261011 12 29 0 84 1 20 138.409038
3501 3 5.257583 12 25 0 88 0 17 138.409038
3501 2 5.264113 20 28 0 93 0 19 138.409038
3521 2 5.264523 28 25 0 95 2 17 138.409038
3521 3 5.264523 25 20 0 89 1 14 138.409038
3521 1 5.264523 29 12 0 85 1 8 138.409038
3541 1 5.264523 12 12 0 86 1 8 138.409038
3541 3 5.264523 20 23 0 90 1 16 138.409038
3541 2 5.264523 25 16 0 96 1 11 138.409038
3561 1 5.264523 12 26 0 87 1 18 138.409038
3561 3 5.267418 23 16 0 91 1 11 138.409038
3561 2 5.264523 16 23 0 97 1 16 138.409038
3581 2 5.265683 23 28 0 98 1 19 138.409038
3581 1 5.265683 26 23 0 89 2 16 138.409038
3581 3 5.267418 16 23 0 93 2 16 138.409038
