IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
801 1 5.105083 28 28 0 4 2 19 131.428498
821 3 5.103351 23 18 1 4 2 12 132.026346
821 2 5.103351 16 23 2 1 1 16 132.026346
821 1 5.105083 28 13 2 3 1 9 132.026346
841 1 5.105083 13 20 2 2 1 14 132.570955
841 3 5.103351 18 26 2 2 0 18 132.570955
841 2 5.097930 23 28 1 2 2 19 132.570955
861 1 5.094803 20 26 2 1 1 18 133.547088
861 3 5.094803 26 13 1 2 1 9 133.547088
861 2 5.094803 28 20 1 2 1 14 133.547088
881 3 5.094803 13 2 0 3 1 1 133.535241
881 1 5.099376 26 2 0 2 1 1 133.535241
881 2 5.094803 20 6 1 1 0 4 133.535241
901 3 5.094803 2 26 2 2 1 18 133.980192
901 2 5.094803 6 25 1 1 1 17 133.980192
901 1 5.099376 2 13 0 3 1 9 133.980192
921 3 5.102278 26 23 2 1 1 16 134.506890
921 2 5.102278 25 13 1 1 1 9 134.506890
921 1 5.102278 13 15 2 1 0 10 134.506890
941 3 5.102278 23 29 1 1 1 20 135.058736
941 1 5.113533 15 16 1 1 1 11 135.058736
941 2 5.102278 13 13 0 2 1 9 135.058736
961 3 5.114087 29 12 0 3 2 8 135.532627
961 1 5.114087 16 13 1 1 1 9 135.532627
961 2 5.102278 13 26 2 1 1 18 135.532627
981 3 5.114087 12 2 0 4 1 1 134.963101
981 2 5.116070 26 13 0 1 0 9 134.963101
981 1 5.114087 13 2 1 1 1 1 134.963101
1001 1 5.114087 2 10 1 0 0 7 134.591953
1001 2 5.116070 13 12 0 2 1 8 134.591953
1001 3 5.114087 2 9 2 2 0 6 134.591953
1021 3 5.112104 9 9 1 2 1 6 134.802048
1021 1 5.112104 10 26 0 1 1 18 134.802048
1021 2 5.116070 12 12 1 2 1 8 134.802048
1041 2 5.116070 12 15 1 1 0 10 135.147111
1041 3 5.112104 9 10 0 2 0 7 135.147111
1041 1 5.110557 26 28 1 1 1 19 135.147111
1061 3 5.108594 10 18 0 3 1 12 135.231122
1061 1 5.108594 28 23 0 3 2 16 135.231122
1061 2 5.108594 15 16 0 3 2 11 135.231122
1081 1 5.108594 23 5 1 3 1 3 134.860444
1081 3 5.107442 18 3 0 4 1 2 134.860444
1081 2 5.107442 16 10 0 4 1 7 134.860444
