IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
4561 1339.131344 1339.131344 0.000000 0.000000 630.000000 1339.713142
4621 530.974120 530.974120 0.000000 0.000000 732.949843 531.555918
4681 1356.532555 1356.532555 0.000000 0.000000 518.817714 1357.114353
4741 861.559860 861.559860 0.000000 0.000000 975.489653 862.141658
4801 1156.109228 1156.109228 0.000000 0.000000 505.275903 1156.691026
4861 1023.157226 1023.157226 0.000000 0.000000 1141.774572 1023.739024
4921 1826.470899 1826.470899 0.000000 0.000000 689.500000 1827.052697
4981 977.285894 977.285894 0.000000 0.000000 0.000000 977.867692
5041 1231.437522 1231.437522 0.000000 0.000000 897.177416 1232.019320
5101 1575.359052 1575.359052 0.000000 0.000000 905.430975 1575.940850
5161 833.631703 833.631703 0.000000 0.000000 1181.891252 834.213501
5221 848.000537 848.000537 0.000000 0.000000 765.200000 848.582335
5281 1566.955621 1566.955621 0.000000 0.000000 660.570816 1567.537419
5341 1388.460866 1388.460866 0.000000 0.000000 0.000000 1389.042664
5401 1432.613197 1432.613197 0.000000 0.000000 0.000000 1433.194995
5461 3587.615346 1954.258332 1633.357014 0.000000 0.000000 3588.197145
5521 2032.632474 1430.052467 602.580007 0.000000 0.000000 2033.214272
5581 5790.902596 2090.954995 3699.947601 0.000000 0.000000 5791.484394
5641 1328.657095 1328.657095 0.000000 0.000000 1334.614139 1329.238893
5701 2020.305226 2020.305226 0.000000 0.000000 1281.194181 2020.887024
5761 1441.387969 1441.387969 0.000000 0.000000 893.389254 1441.969767
5821 856.887418 856.887418 0.000000 0.000000 1384.368033 857.469216
5881 521.465282 521.465282 0.000000 0.000000 793.629794 522.047080
5941 931.057651 931.057651 0.000000 0.000000 438.038988 931.639449
6001 1776.367540 1776.367540 0.000000 0.000000 852.545005 1776.949338
6061 1099.663134 1099.663134 0.000000 0.000000 970.915643 1100.244932
6121 1345.272959 1345.272959 0.000000 0.000000 1046.447278 1345.854757
6181 2178.212174 2178.212174 0.000000 0.000000 851.204061 2178.793972
6241 645.721394 645.721394 0.000000 0.000000 1180.466691 646.303192
6301 1203.973645 1203.973645 0.000000 0.000000 538.905883 1204.555443
6361 1058.991650 1058.991650 0.000000 0.000000 1039.600994 1059.573448
6421 1685.632660 1685.632660 0.000000 0.000000 630.702971 1686.214458
6481 922.946353 922.946353 0.000000 0.000000 1086.450574 923.528151
6541 1434.298885 1434.298885 0.000000 0.000000 913.914391 1434.880683
6601 1475.565781 1475.565781 0.000000 0.000000 951.728787 1476.147580
6661 926.222555 926.222555 0.000000 0.000000 1100.905597 926.804353
6721 1807.599503 1807.599503 0.000000 0.000000 897.405883 1808.181301
6781 305.532124 305.532124 0.000000 0.000000 1001.185346 306.113922
6841 1286.940395 1286.940395 0.000000 0.000000 298.944149 1287.522193
6901 1064.918774 1064.918774 0.000000 0.000000 1174.184412 1065.500572
6961 1181.469812 1181.469812 0.000000 0.000000 655.000000 1182.051610
7021 1526.622067 1526.622067 0.000000 0.000000 870.389125 1527.203865
7081 1081.481982 1081.481982 0.000000 0.000000 795.762092 1082.063780
7141 1660.492699 1660.492699 0.000000 0.000000 950.670867 1661.074497
