IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1741 2 365.536216 268.696997 267.018729 1.678268 98.517487 96.839219
1801 3 184.522698 257.908308 256.803799 1.104509 -72.281101 -73.385610
1801 1 553.767811 309.426975 308.149814 1.277161 245.617997 244.340836
1801 2 737.963606 304.666418 302.988150 1.678268 434.975456 433.297188
1861 1 372.102121 181.080050 179.802889 1.277161 192.299232 191.022071
1861 3 558.394938 355.846221 354.466516 1.379705 203.928422 202.548717
1861 2 558.813651 309.893740 308.215472 1.678268 250.598179 248.919911
1921 2 186.592387 304.818185 303.139917 1.678268 -116.547530 -118.225798
1921 1 373.726266 289.010818 287.733657 1.277161 85.992609 84.715448
1921 3 373.126648 325.070963 323.691258 1.379705 49.435390 48.055685
1981 1 562.311045 278.799521 277.522360 1.277161 284.788685 283.511524
1981 2 375.592379 382.451515 380.329900 2.121615 -4.737521 -6.859136
1981 3 750.917998 227.517250 226.137545 1.379705 524.780453 523.400748
2041 1 0.000000 340.526358 339.249197 1.277161 -339.249197 -340.526358
2041 3 0.000000 227.542658 226.162953 1.379705 -226.162953 -227.542658
2041 2 565.111022 356.821173 354.673836 2.147337 210.437186 208.289849
2101 2 567.390615 336.301132 334.153795 2.147337 233.236820 231.089484
2101 1 1137.216016 259.590507 257.036371 2.554135 880.179644 877.625509
2101 3 379.367584 259.274965 257.041975 2.232990 122.325609 120.092619
2161 3 1141.593194 264.434468 262.201478 2.232990 879.391716 877.158726
2161 1 761.329424 264.754222 262.200087 2.554135 499.129337 496.575202
2161 2 762.281967 218.064599 215.917262 2.147337 546.364704 544.217368
2221 1 382.194635 285.343196 282.789060 2.554135 99.405574 96.851439
2221 3 191.176139 279.886419 277.653429 2.232990 -86.477290 -88.710280
2221 2 0.000000 346.635749 344.488413 2.147337 -344.488413 -346.635749
2281 1 578.121185 295.658136 293.104001 2.554135 285.017184 282.463049
2281 2 1151.998980 389.130097 385.682876 3.447221 766.316103 762.868883
2281 3 385.273552 290.540408 287.974755 2.565653 97.298798 94.733144
2341 1 773.828272 316.277382 313.723247 2.554135 460.105025 457.550889
2341 2 1354.259380 337.736425 334.289204 3.447221 1019.970176 1016.522956
2341 3 772.537956 275.140176 272.574523 2.565653 499.963433 497.397779
2401 3 388.604878 177.438158 174.872504 2.565653 213.732374 211.166721
2401 1 194.505618 311.153816 308.599681 2.554135 -114.094063 -116.648198
2401 2 972.294431 296.612373 293.165152 3.447221 679.129279 675.682058
2461 3 391.086461 239.227584 236.661930 2.565653 154.424530 151.858877
2461 2 194.913562 358.387789 354.940569 3.447221 -160.027007 -163.474227
2461 1 585.899135 321.948579 318.957013 2.991566 266.942122 263.950556
2521 3 589.068425 213.521594 210.955940 2.565653 378.112485 375.546831
2521 1 589.332818 296.266039 293.274473 2.991566 296.058345 293.066779
2521 2 392.778664 240.735238 236.674989 4.060249 156.103675 152.043426
2581 3 197.130029 290.742170 288.176517 2.565653 -91.046488 -93.612142
2581 2 196.982366 328.258242 324.197993 4.060249 -127.215627 -131.275876
2581 1 197.228470 383.794400 380.802834 2.991566 -183.574364 -186.565930
2641 3 988.560340 291.135564 288.218865 2.916699 700.341476 697.424777
2641 2 395.814031 416.296882 411.744348 4.552534 -15.930318 -20.482851
2641 1 593.010646 358.810484 355.119296 3.691188 237.891350 234.200162
2701 3 198.563571 337.479881 334.563182 2.916699 -135.999612 -138.916311
2701 1 594.366814 333.107792 329.416604 3.691188 264.950210 261.259022
2701 2 396.680881 370.072778 365.443434 4.629344 31.237448 26.608103
2761 1 0.000000 199.286059 195.594871 3.691188 -195.594871 -199.286059
2761 3 596.223338 286.542556 283.104921 3.437635 313.118417 309.680782
2761 2 994.043250 277.438309 272.808965 4.629344 721.234286 716.604942
2821 2 597.628500 354.681944 350.052600 4.629344 247.575900 242.946556
2821 1 597.479251 308.140055 303.701544 4.438511 293.777707 289.339196
2821 3 398.551333 348.346034 344.908399 3.437635 53.642934 50.205299
2881 2 199.459085 385.596454 380.967109 4.629344 -181.508025 -186.137369
2881 1 0.000000 277.285252 272.846741 4.438511 -272.846741 -277.285252
2881 3 598.402318 229.957260 226.519625 3.437635 371.882693 368.445057
2941 3 399.606066 415.316382 411.878747 3.437635 -12.272681 -15.710316
2941 2 599.352018 278.199747 272.872388 5.327359 326.479630 321.152271
2941 1 399.456289 329.833915 324.355584 5.478331 75.100705 69.622374
3001 3 400.077425 286.676411 283.179863 3.496549 116.897562 113.401013
3001 1 200.053717 340.160858 334.682527 5.478331 -134.628810 -140.107141
3001 2 399.947454 406.945147 401.617788 5.327359 -1.670334 -6.997693
3061 3 0.000000 322.743658 319.247110 3.496549 -319.247110 -322.743658
3061 1 400.281373 284.060592 278.056860 6.003732 122.224513 116.220781
3061 2 0.000000 314.305518 308.951917 5.353601 -308.951917 -314.305518
3121 3 0.000000 293.071047 288.364209 4.706837 -288.364209 -293.071047
3121 1 0.000000 381.909829 375.906096 6.003732 -375.906096 -381.909829
3121 2 400.566608 305.195552 298.663306 6.532246 101.903302 95.371056
3181 2 601.501040 351.569887 345.037641 6.532246 256.463399 249.931153
3181 3 200.542100 330.237911 324.432057 5.805854 -123.889957 -129.695810
3181 1 200.466944 275.223832 267.787938 7.435894 -67.320994 -74.756889
3241 2 200.542100 258.876920 252.344674 6.532246 -51.802574 -58.334820
