IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
2041 22 1076.663793 1076.663793 117.259314 0.000000 117.259314 959.404479 0.000000 953.406658
2041 21 960.643162 960.643162 107.882195 0.000000 107.882195 852.760967 0.000000 850.255565
2101 22 1078.385285 1078.385285 117.152398 0.000000 117.152398 961.232887 0.000000 959.404479
2101 21 961.468843 961.468843 106.809760 0.000000 106.809760 854.659084 0.000000 852.760967
2161 22 1077.396471 1077.396471 118.004152 0.000000 118.004152 959.392319 0.000000 961.232887
2161 21 961.804458 961.804458 106.485080 0.000000 106.485080 855.319379 0.000000 854.659084
2221 22 1078.206185 1078.206185 116.145310 0.000000 116.145310 962.060874 0.000000 959.392319
2221 21 963.854304 963.854304 107.090478 0.000000 107.090478 856.763826 0.000000 855.319379
2281 22 1080.870155 1080.870155 116.269865 0.000000 116.269865 964.600290 0.000000 962.060874
2281 21 964.262810 964.262810 105.560260 0.000000 105.560260 858.702550 856.763826 0.000000
2341 22 1079.352058 1079.352058 117.029154 0.000000 117.029154 962.322905 0.000000 964.600290
2341 21 963.306770 963.306770 105.437405 0.000000 105.437405 857.869365 0.000000 858.702550
2401 22 1077.456247 1077.456247 116.955521 0.000000 116.955521 960.500726 0.000000 962.322905
2401 21 964.940165 964.940165 105.152872 0.000000 105.152872 859.787292 0.000000 857.869365
2461 22 1075.584043 1075.584043 117.152241 0.000000 117.152241 958.431802 0.000000 960.500726
2461 21 966.477320 966.477320 104.941371 0.000000 104.941371 861.535950 0.000000 859.787292
2521 22 1073.945548 1073.945548 115.664006 0.000000 115.664006 958.281542 0.000000 958.431802
2521 21 972.123755 972.123755 106.010366 0.000000 106.010366 866.113389 0.000000 861.535950
2581 22 1079.132965 1079.132965 115.757377 0.000000 115.757377 963.375588 0.000000 958.281542
2581 21 966.448329 966.448329 106.019978 0.000000 106.019978 860.428351 0.000000 866.113389
2641 22 1079.756195 1079.756195 117.060134 0.000000 117.060134 962.696062 0.000000 963.375588
2641 21 961.982172 961.982172 104.910147 0.000000 104.910147 857.072025 0.000000 860.428351
2701 22 1075.043419 1075.043419 116.488888 0.000000 116.488888 958.554530 0.000000 962.696062
2701 21 964.270523 964.270523 104.290940 0.000000 104.290940 859.979583 0.000000 857.072025
2761 22 1070.268575 1070.268575 115.354123 0.000000 115.354123 954.914452 0.000000 958.554530
2761 21 965.631914 965.631914 104.897021 0.000000 104.897021 860.734893 0.000000 859.979583
2821 22 1070.005504 1070.005504 115.211524 0.000000 115.211524 954.793979 0.000000 954.914452
2821 21 963.455397 963.455397 105.091224 0.000000 105.091224 858.364173 0.000000 860.734893
2881 22 1063.358009 1063.358009 114.888198 0.000000 114.888198 948.469812 0.000000 954.793979
2881 21 962.622108 962.622108 104.578671 0.000000 104.578671 858.043437 0.000000 858.364173
2941 22 1059.910502 1059.910502 114.083883 0.000000 114.083883 945.826619 0.000000 948.469812
2941 21 961.501586 961.501586 104.961973 0.000000 104.961973 856.539613 0.000000 858.043437
3001 22 1059.809472 1059.809472 114.232626 0.000000 114.232626 945.576846 0.000000 945.826619
3001 21 956.231176 956.231176 104.578118 0.000000 104.578118 851.653058 0.000000 856.539613
3061 22 1055.637596 1055.637596 114.092096 0.000000 114.092096 941.545500 0.000000 945.576846
3061 21 953.293449 953.293449 104.178941 0.000000 104.178941 849.114508 0.000000 851.653058
3121 22 1051.866242 1051.866242 113.847285 0.000000 113.847285 938.018957 0.000000 941.545500
3121 21 948.994500 948.994500 103.677817 0.000000 103.677817 845.316682 0.000000 849.114508
3181 22 1047.981873 1047.981873 113.624713 0.000000 113.624713 934.357160 0.000000 938.018957
3181 21 946.309327 946.309327 103.460907 0.000000 103.460907 842.848420 0.000000 845.316682
3241 22 1045.752504 1045.752504 113.414073 0.000000 113.414073 932.338432 0.000000 934.357160
3241 21 942.729084 942.729084 103.330223 0.000000 103.330223 839.398861 0.000000 842.848420
3301 22 1042.020415 1042.020415 113.303296 0.000000 113.303296 928.717119 0.000000 932.338432
3301 21 939.852819 939.852819 102.720007 0.000000 102.720007 837.132812 0.000000 839.398861
3361 22 1039.392639 1039.392639 113.352683 0.000000 113.352683 926.039957 0.000000 928.717119
3361 21 936.307714 936.307714 102.591983 0.000000 102.591983 833.715731 0.000000 837.132812
3421 22 1037.876048 1037.876048 113.373018 0.000000 113.373018 924.503031 0.000000 926.039957
3421 21 931.999559 931.999559 101.860690 0.000000 101.860690 830.138869 0.000000 833.715731
3481 22 1036.425102 1036.425102 113.870919 0.000000 113.870919 922.554183 0.000000 924.503031
3481 21 927.296813 927.296813 101.204009 0.000000 101.204009 826.092804 0.000000 830.138869
3541 22 1031.601253 1031.601253 113.192501 0.000000 113.192501 918.408752 0.000000 922.554183
3541 21 923.375592 923.375592 100.358096 0.000000 100.358096 823.017496 0.000000 826.092804
