IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1081 4 0.000000 0.000000
1081 12 0.000000 0.000000
1141 5 234.900335 234.900335
1141 14 358.947598 358.947598
1141 6 89.000000 89.000000
1141 11 230.730438 230.730438
1141 4 409.233394 409.233394
1141 12 152.368724 152.368724
1141 15 114.160156 114.160156
1141 13 0.000000 0.000000
1141 9 10.305261 10.305261
1141 7 76.956408 76.956408
1141 8 0.000000 0.000000
1141 10 0.000000 0.000000
1201 9 256.305261 256.305261
1201 5 60.400335 60.400335
1201 14 103.074435 103.074435
1201 15 0.000000 0.000000
1201 13 117.705272 117.705272
1201 7 62.956408 62.956408
1201 8 0.000000 0.000000
1201 10 0.000000 0.000000
1201 12 0.000000 0.000000
1201 4 0.000000 0.000000
1201 11 0.000000 0.000000
1201 6 0.000000 0.000000
1261 15 151.660156 151.660156
1261 13 73.205272 73.205272
1261 12 207.868724 207.868724
1261 4 456.308813 456.308813
1261 11 307.278693 307.278693
1261 9 104.305261 104.305261
1261 5 2.400335 2.400335
1261 8 0.000000 0.000000
1261 10 0.000000 0.000000
1261 14 239.761017 239.761017
1261 7 31.639360 31.639360
1261 6 0.000000 0.000000
1321 5 35.400335 35.400335
1321 8 768.072552 768.072552
1321 10 684.432124 684.432124
1321 14 144.761017 144.761017
1321 7 402.710151 402.710151
1321 13 0.000000 0.000000
1321 6 0.000000 0.000000
1321 9 0.000000 0.000000
1321 11 0.000000 0.000000
1321 4 0.000000 0.000000
1321 12 0.000000 0.000000
1321 15 0.000000 0.000000
1381 13 104.205272 104.205272
1381 6 174.000000 174.000000
1381 9 136.805261 136.805261
1381 11 456.230438 456.230438
1381 12 239.438693 239.438693
1381 15 206.160156 206.160156
1381 5 0.000000 0.000000
1381 8 45.257393 45.257393
1381 10 0.000000 0.000000
1381 7 0.000000 0.000000
1381 4 220.705250 220.705250
1381 14 0.000000 0.000000
1441 8 376.145378 376.145378
1441 10 385.639305 385.639305
1441 7 410.670560 410.670560
1441 5 52.900335 52.900335
1441 4 0.000000 0.000000
1441 14 0.000000 0.000000
1441 15 0.000000 0.000000
1441 12 0.000000 0.000000
1441 11 0.000000 0.000000
1441 9 0.000000 0.000000
1441 6 0.000000 0.000000
1441 13 0.000000 0.000000
1501 5 33.400335 33.400335
1501 6 231.000000 231.000000
1501 13 144.205272 144.205272
1501 8 24.675421 24.675421
1501 10 0.000000 0.000000
1501 4 0.000000 0.000000
1501 14 0.000000 0.000000
1501 15 0.000000 0.000000
1501 12 0.000000 0.000000
1501 11 0.000000 0.000000
1501 9 0.000000 0.000000
1501 7 0.000000 0.000000
1561 8 326.733529 326.733529
1561 10 280.969824 280.969824
1561 4 298.746670 298.746670
1561 14 263.761017 263.761017
1561 7 354.584421 354.584421
1561 5 0.000000 0.000000
1561 15 14.737803 14.737803
1561 12 0.000000 0.000000
1561 11 0.000000 0.000000
1561 9 0.000000 0.000000
1621 8 65.284654 65.284654
1621 5 50.400335 50.400335
1621 15 278.660156 278.660156
1621 11 264.622690 264.622690
1621 9 249.217015 249.217015
1621 10 67.625823 67.625823
1621 4 22.663830 22.663830
1621 12 169.368724 169.368724
1621 13 0.000000 0.000000
1621 6 176.500000 176.500000
1621 7 0.000000 0.000000
1621 14 0.000000 0.000000
1681 10 223.183584 223.183584
1681 4 243.984372 243.984372
1681 12 230.868724 230.868724
1681 14 197.634267 197.634267
1681 8 212.182404 212.182404
1681 15 0.000000 0.000000
1681 11 0.000000 0.000000
1681 6 0.000000 0.000000
1681 7 0.000000 0.000000
1681 13 0.000000 0.000000
1681 9 0.000000 0.000000
1681 5 0.000000 0.000000
1741 15 294.160156 294.160156
1741 11 216.730438 216.730438
1741 9 248.805261 248.805261
1741 5 73.400335 73.400335
1741 10 0.000000 0.000000
1741 4 0.000000 0.000000
1741 12 0.000000 0.000000
1741 8 0.000000 0.000000
1741 7 0.000000 0.000000
1741 13 0.000000 0.000000
1741 6 0.000000 0.000000
1741 14 0.000000 0.000000
1801 10 283.617038 283.617038
1801 4 313.205250 313.205250
1801 12 345.615591 345.615591
1801 8 182.401047 182.401047
1801 14 229.703189 229.703189
1801 11 0.000000 0.000000
1801 13 0.000000 0.000000
1801 7 194.981796 194.981796
1801 6 0.000000 0.000000
1801 5 0.000000 0.000000
1801 9 0.000000 0.000000
1801 15 0.000000 0.000000
1861 11 293.079735 293.079735
1861 13 286.000000 286.000000
1861 7 241.931020 241.931020
1861 8 0.000000 0.000000
1861 6 0.000000 0.000000
1861 5 0.000000 0.000000
1861 9 0.000000 0.000000
1861 15 0.000000 0.000000
1861 14 0.000000 0.000000
1861 12 0.000000 0.000000
1861 4 0.000000 0.000000
1861 10 0.000000 0.000000
1921 8 142.883794 142.883794
1921 6 178.262000 178.262000
1921 4 298.105424 298.105424
1921 10 208.653606 208.653606
1921 11 0.000000 0.000000
1921 13 0.000000 0.000000
1921 7 0.000000 0.000000
1921 5 0.000000 0.000000
1921 9 0.000000 0.000000
1921 15 0.000000 0.000000
1921 14 0.000000 0.000000
1921 12 0.000000 0.000000
1981 13 328.771000 328.771000
1981 5 144.400335 144.400335
1981 9 266.805261 266.805261
1981 15 313.994838 313.994838
1981 8 207.583263 207.583263
1981 11 128.730438 128.730438
1981 6 37.238000 37.238000
1981 10 1.809614 1.809614
1981 14 0.000000 0.000000
1981 7 161.956408 161.956408
1981 12 45.031837 45.031837
1981 4 0.000000 0.000000
2041 11 230.730438 230.730438
2041 6 228.050500 228.050500
2041 10 223.731610 223.731610
2041 14 239.261017 239.261017
2041 7 223.956408 223.956408
2041 4 216.705250 216.705250
2041 9 0.000000 0.000000
2041 15 0.000000 0.000000
2041 8 0.000000 0.000000
2041 12 40.868724 40.868724
2041 5 0.000000 0.000000
2041 13 0.000000 0.000000
2101 9 314.123756 314.123756
2101 15 219.781906 219.781906
2101 8 193.294952 193.294952
2101 12 117.142937 117.142937
2101 6 14.949500 14.949500
2101 14 0.000000 0.000000
2101 5 0.000000 0.000000
2101 13 0.000000 0.000000
2101 4 0.000000 0.000000
2101 7 0.000000 0.000000
2101 10 0.000000 0.000000
2101 11 0.000000 0.000000
2161 12 240.387044 240.387044
2161 6 187.133000 187.133000
2161 4 195.641982 195.641982
2161 11 254.230438 254.230438
2161 15 209.038405 209.038405
2161 13 214.667500 214.667500
2161 8 7.172106 7.172106
2161 5 0.000000 0.000000
2161 14 44.322773 44.322773
2161 7 0.000000 0.000000
2161 10 0.000000 0.000000
2161 9 0.000000 0.000000
2221 8 248.233529 248.233529
2221 5 223.900335 223.900335
2221 14 250.261017 250.261017
2221 12 0.000000 0.000000
2221 6 0.000000 0.000000
2221 13 0.000000 0.000000
2221 7 0.000000 0.000000
2221 10 0.000000 0.000000
2221 9 0.000000 0.000000
2221 15 0.000000 0.000000
2221 11 0.000000 0.000000
2221 4 0.000000 0.000000
2281 12 215.868724 215.868724
2281 6 238.109500 238.109500
2281 13 187.728000 187.728000
2281 7 203.618798 203.618798
2281 15 200.540667 200.540667
2281 10 0.000000 0.000000
2281 9 0.000000 0.000000
2281 11 0.000000 0.000000
2281 4 0.000000 0.000000
2281 14 0.000000 0.000000
2281 5 0.000000 0.000000
2281 8 0.000000 0.000000
2341 12 149.368724 149.368724
2341 10 238.731610 238.731610
2341 14 404.261017 404.261017
2341 5 352.400335 352.400335
2341 9 356.305261 356.305261
2341 6 0.000000 0.000000
