IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22302.683000 0.000000 22302.683000 -22302.683000 0.000000 0.000000
1 156 0.000000 0.000000 20975.970000 0.000000 20975.970000 -20975.970000 0.000000 0.000000
61 157 11255.183270 11255.183270 38153.398171 33057.477339 5095.920832 -26898.214901 0.000000 0.000000
61 156 10573.195130 10573.195130 36072.116970 31278.997953 4793.119017 -25498.921839 0.000000 0.000000
121 157 6504.718454 6504.718454 192290.703768 187275.218644 5015.485124 -185785.985314 0.000000 0.000000
121 156 6024.248399 6024.248399 207088.044153 202357.266083 4730.778070 -201063.795755 0.000000 0.000000
181 157 5502.974815 5502.974815 153186.009279 148281.896529 4904.112750 -147683.034464 0.000000 0.000000
181 156 5055.002409 5055.002409 151415.169059 146790.038553 4625.130505 -146360.166650 0.000000 0.000000
241 157 4769.244468 4769.244468 105876.133362 101073.425733 4802.707629 -101106.888895 0.000000 0.000000
241 156 4284.605179 4284.605179 104162.695742 99627.231871 4535.463871 -99878.090562 0.000000 0.000000
301 157 4448.953061 4448.953061 34815.137908 30126.766551 4688.371357 -30366.184847 0.000000 0.000000
301 156 3953.318354 3953.318354 32146.391749 27719.767890 4426.623859 -28193.073395 0.000000 0.000000
361 157 4273.422839 4273.422839 39031.399070 34453.081981 4578.317089 -34757.976231 0.000000 0.000000
361 156 3809.896730 3809.896730 36351.807242 32030.005567 4321.801676 -32541.910512 0.000000 0.000000
421 157 3922.474960 3922.474960 194121.303934 149277.444111 44843.859824 -190198.828974 0.000000 0.000000
421 156 3476.830957 3476.830957 173922.064761 131590.026627 42332.038134 -170445.233804 0.000000 0.000000
481 157 6753.031733 6753.031733 346780.994688 301042.576347 45738.418341 -340027.962956 0.000000 0.000000
481 156 6038.062299 6038.062299 297936.448259 254680.204611 43256.243648 -291898.385960 0.000000 0.000000
541 157 3082.667514 3082.667514 156496.261121 110270.946099 46225.315021 -153413.593607 0.000000 0.000000
541 156 3024.275455 3024.275455 146854.946248 103185.097338 43669.848909 -143830.670792 0.000000 0.000000
601 157 1322.416908 1322.416908 57345.139380 11049.259324 46295.880056 -56022.722473 0.000000 0.000000
601 156 1374.748186 1374.748186 52907.846783 9053.254564 43854.592220 -51533.098598 0.000000 0.000000
661 157 1149.740633 1149.740633 50485.607477 4245.732974 46239.874503 -49335.866843 0.000000 0.000000
661 156 1225.951449 1225.951449 47153.987002 3310.110743 43843.876258 -45928.035552 0.000000 0.000000
721 157 1105.021217 1105.021217 46196.054701 0.000000 46196.054701 -45091.033485 0.000000 0.000000
721 156 1197.626700 1197.626700 43836.741151 0.000000 43836.741151 -42639.114451 0.000000 0.000000
781 157 1093.838989 1093.838989 47374.847807 1223.984959 46150.862848 -46281.008818 0.000000 0.000000
781 156 1193.039505 1193.039505 44493.200201 663.723437 43829.476764 -43300.160696 0.000000 0.000000
