IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1164 100.000000
21 1106 99.990958
41 819 99.990958
61 0 99.990958
81 0 99.990958
101 0 99.990958
121 0 99.990958
141 0 99.990958
161 0 99.990958
181 0 99.990958
201 0 99.990958
221 0 99.990958
241 0 99.990958
261 0 99.990958
281 0 99.990958
301 0 99.990958
321 0 99.990958
341 0 99.990958
361 0 99.990958
381 0 99.990958
401 0 99.990958
421 0 99.990958
441 0 99.990958
461 0 99.990958
481 0 99.990958
501 0 99.990958
521 0 99.990958
541 0 99.990958
561 0 99.990958
581 0 99.990958
601 0 99.990958
621 0 99.990958
641 0 99.990958
661 0 99.990958
681 0 99.990958
701 0 99.990958
721 0 99.990958
741 0 99.990958
761 0 99.990958
781 0 99.990958
801 1 94.991410
821 0 94.991410
841 0 94.991410
861 1 90.241840
881 6 85.729748
901 14 81.443261
921 26 77.371098
941 22 73.502543
961 39 69.827416
981 28 66.336045
1001 29 63.019243
1021 17 59.868280
1041 19 56.874866
1061 30 54.031123
1081 36 51.329567
1101 34 48.763089
1121 26 46.324934
1141 27 44.008687
1161 26 41.808253
1181 35 39.717840
1201 39 37.731948
1221 36 35.845351
1241 35 34.053083
1261 38 32.350429
1281 29 30.732908
1301 46 29.196262
1321 35 27.736449
1341 48 26.349627
1361 42 25.032145
1381 45 23.780538
1401 38 22.591511
1421 32 21.461936
1441 36 20.388839
1461 44 19.369397
1481 38 18.400927
1501 30 17.480881
1521 53 16.606837
1541 34 15.776495
1561 53 14.987670
1581 45 14.238287
1601 52 13.526372
1621 36 12.850054
1641 47 12.207551
1661 50 11.597173
1681 54 11.017315
1701 41 10.466449
1721 35 9.943127
1741 47 9.445970
1761 32 8.973672
1781 35 8.524988
1801 40 8.098739
1821 44 7.693802
1841 35 7.309112
1861 36 6.943656
1881 35 6.596473
1901 38 6.266650
1921 38 5.953317
1941 38 5.655651
1961 44 5.372869
1981 34 5.104225
2001 39 4.849014
2021 43 4.606563
2041 39 4.376235
2061 37 4.157423
2081 29 3.949552
2101 48 3.752075
2121 43 3.564471
2141 39 3.386247
2161 42 3.216935
2181 33 3.056088
2201 31 2.903284
2221 36 2.758120
2241 20 2.620214
2261 30 2.489203
2281 29 2.364743
2301 21 2.246506
2321 30 2.134180
2341 30 2.027471
2361 32 1.926098
2381 21 1.829793
2401 24 1.738303
2421 22 1.651388
2441 24 1.568819
2461 19 1.490378
2481 30 1.415859
2501 26 1.345066
2521 22 1.277813
2541 20 1.213922
2561 19 1.153226
2581 25 1.095565
2601 15 1.040786
2621 17 0.988747
2641 16 0.939310
2661 15 0.892344
2681 13 0.847727
2701 18 0.805341
2721 15 0.765074
2741 14 0.726820
2761 15 0.690479
2781 10 0.655955
2801 10 0.623157
2821 8 0.591999
2841 12 0.562399
2861 14 0.534279
2881 6 0.507565
2901 5 0.482187
2921 7 0.458078
2941 5 0.435174
2961 5 0.413415
2981 3 0.392744
3001 2 0.373107
3021 2 0.354452
3041 2 0.354452
3061 2 0.354452
3081 2 0.336729
3101 3 0.319893
3121 3 0.319893
3141 1 0.303898
3161 2 0.288703
3181 2 0.288703
3201 1 0.274268
3221 1 0.274268
3241 1 0.274268
3261 1 0.260555
3281 1 0.260555
3301 1 0.247527
3321 1 0.235151
3341 1 0.235151
3361 1 0.235151
3381 1 0.223393
3401 1 0.223393
3421 1 0.223393
3441 1 0.223393
3461 1 0.212223
3481 1 0.212223
3501 1 0.212223
3521 1 0.201612
3541 1 0.201612
3561 1 0.201612
3581 1 0.191532
