IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 1 20 22 2 16
1 2 20 21 2 15
1 3 20 15 2 11
1 4 20 20 2 14
1 5 20 12 2 9
1 6 20 17 2 12
1 7 20 20 2 14
1 8 20 28 2 20
1 9 20 24 2 17
1 10 20 28 2 20
1 11 20 28 2 20
1 12 20 25 2 18
1 13 20 17 2 12
1 14 20 27 2 19
1 15 20 28 2 20
1 16 20 24 2 17
1 17 20 22 2 16
1 18 20 24 2 17
1 19 20 21 2 15
1 20 20 17 2 12
1 21 20 20 2 14
1 22 20 17 2 12
1 23 20 21 2 15
1 24 20 21 2 15
1 25 20 20 2 14
1 26 20 24 2 17
1 27 20 25 2 18
1 28 20 12 2 9
1 29 20 18 2 13
1 30 20 25 2 18
21 29 18 10 3 7
21 28 12 21 3 15
21 22 17 27 3 19
21 20 17 28 4 20
21 13 17 17 3 12
21 6 17 28 2 20
21 5 12 15 3 11
21 3 15 17 4 12
21 25 20 27 4 19
21 21 20 28 4 20
21 7 20 12 4 9
21 4 20 27 3 19
21 1 20 27 3 19
21 2 20 20 4 14
21 8 20 27 4 19
21 9 20 28 4 20
21 10 20 24 4 17
21 11 20 18 2 13
21 12 20 20 3 14
21 14 20 14 4 10
21 15 20 24 4 17
21 16 20 27 3 19
21 17 20 15 1 11
21 18 20 21 0 15
21 19 20 21 1 15
21 23 20 27 2 19
21 24 20 17 1 12
21 26 20 25 1 18
21 27 20 14 2 10
21 30 20 12 2 9
41 30 12 7 2 5
41 27 14 8 2 6
41 24 17 11 2 8
41 17 15 11 2 8
41 14 14 10 5 7
41 11 18 4 4 3
41 7 12 1 5 1
41 29 10 2 4 2
41 12 20 4 5 3
41 2 20 5 6 4
41 13 17 1 5 1
41 28 12 1 3 1
41 22 17 10 5 7
41 20 17 8 6 6
41 6 17 8 4 6
41 5 12 1 4 1
41 3 15 14 5 10
41 25 20 14 6 10
41 21 20 5 6 4
41 4 20 5 5 4
41 1 20 14 5 10
41 8 20 12 3 9
41 9 20 5 2 4
41 10 20 7 2 5
41 15 20 8 2 6
41 16 20 10 2 7
41 18 20 8 2 6
41 19 20 1 2 1
41 23 20 11 0 8
41 26 20 10 1 7
61 7 1 24 5 17
61 29 2 12 5 9
61 2 5 21 6 15
61 13 1 25 5 18
61 22 10 17 5 12
61 6 8 25 4 18
61 5 1 22 4 16
61 21 5 17 7 12
61 4 5 20 6 14
61 1 14 15 6 11
61 23 11 27 1 19
61 16 10 21 3 15
61 15 8 10 3 7
61 10 7 25 3 18
61 9 5 22 3 16
61 14 10 14 0 10
61 17 11 17 1 12
61 24 11 15 1 11
61 30 7 20 0 14
61 11 4 25 1 18
61 12 4 8 5 6
61 28 1 15 3 11
61 20 8 8 7 6
61 3 14 24 5 17
61 25 14 25 7 18
61 18 8 21 3 15
61 19 1 25 2 18
61 26 10 28 2 20
61 8 12 1 0 9
61 27 8 1 0 6
81 27 1 17 0 12
81 8 1 21 0 15
81 20 8 20 8 14
81 7 1 21 5 15
81 29 2 15 5 11
81 2 5 21 7 15
81 13 1 21 5 15
81 22 10 14 5 10
81 6 8 25 5 18
81 5 1 21 4 15
81 21 5 20 8 14
81 4 5 28 7 20
81 1 14 18 7 13
81 23 11 24 2 17
81 16 10 25 4 18
81 15 8 18 4 13
81 10 7 17 4 12
81 9 5 24 4 17
81 14 10 17 1 12
81 17 11 15 2 11
81 24 11 27 1 19
81 30 7 15 0 11
81 11 4 17 2 12
81 12 4 17 5 12
81 28 1 27 3 19
81 3 14 24 5 17
81 25 14 25 8 18
81 18 8 12 4 9
81 19 1 27 2 19
81 26 10 27 3 19
101 27 1 14 0 10
