IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4113185.288762 2163932.650000 1949252.638762 0.000000 2163932.650000 -214680.011238 2163932.650000 0.000000
121 0.005000 -0.281715 9746.263194 0.000000 0.000000 4069781.301151 2163932.650000 1905848.651151 0.000000 2163932.650000 -258083.998849 2163932.650000 0.000000
181 0.005000 -0.324449 9529.243256 0.000000 0.000000 4031566.950021 2163932.650000 1867634.300021 0.000000 2163932.650000 -296298.349979 2163932.650000 0.000000
241 0.005000 -0.241829 9338.171500 0.000000 0.000000 3986931.693245 2163932.650000 1822999.043245 0.000000 2163932.650000 -340933.606755 2163932.650000 0.000000
301 0.005000 -0.254038 9114.995216 0.000000 0.000000 3943956.402949 2163932.650000 1780023.752949 0.000000 2163932.650000 -383908.897051 2163932.650000 0.000000
361 0.005000 0.013945 8900.118765 0.000000 0.000000 3907450.609168 2163932.650000 1743517.959168 0.000000 2163932.650000 -420414.690832 2163932.650000 0.000000
421 0.050000 0.383473 87175.897958 0.000000 0.000000 3943825.889791 2163932.650000 1779893.239791 0.000000 2163932.650000 -384039.410209 2163932.650000 0.000000
481 0.050000 0.365526 88994.661990 0.000000 0.000000 3961835.928616 2163932.650000 1797903.278616 0.000000 2163932.650000 -366029.371384 2163932.650000 0.000000
541 0.050000 0.529388 89895.163931 0.000000 0.000000 3966942.095518 2163932.650000 1803009.445518 0.000000 2163932.650000 -360923.204482 2163932.650000 0.000000
601 0.050000 1.201600 90150.472276 0.000000 0.000000 3965607.665225 2163932.650000 1801675.015225 0.000000 2163932.650000 -362257.634775 2163932.650000 0.000000
661 0.050000 0.935025 90083.750761 0.000000 0.000000 3964588.567045 2163932.650000 1800655.917045 0.000000 2163932.650000 -363276.732955 2163932.650000 0.000000
721 0.050000 0.693325 90032.795852 0.000000 0.000000 3963539.442236 2163932.650000 1799606.792236 0.000000 2163932.650000 -364325.857764 2163932.650000 0.000000
781 0.050000 0.520731 89980.339612 0.000000 0.000000 3962478.307034 2163932.650000 1798545.657034 0.000000 2163932.650000 -365386.992966 2163932.650000 0.000000
841 0.005000 -0.000000 8992.728285 0.000000 0.000000 3880506.885357 2163932.650000 1716574.235357 0.000000 2163932.650000 -447358.414643 2163932.650000 0.000000
901 0.005000 -0.334180 8582.871177 0.000000 0.000000 3796334.485526 2163932.650000 1632401.835526 0.000000 2163932.650000 -531530.814474 2163932.650000 0.000000
961 0.005000 -0.334180 8162.009178 0.000000 0.000000 3711941.902260 2163932.650000 1548009.252260 0.000000 2163932.650000 -615923.397740 2163932.650000 0.000000
1021 0.005000 -0.334180 7740.046261 0.000000 0.000000 3627137.574781 2163932.650000 1463204.924781 0.000000 2163932.650000 -700727.725219 2163932.650000 0.000000
1081 0.005000 -0.334180 7316.024624 0.000000 0.000000 3541822.725664 2163932.650000 1377890.075664 0.000000 2163932.650000 -786042.574336 2163932.650000 0.000000
1141 0.005000 0.000000 6889.450378 0.000000 0.000000 3455601.302302 2163932.650000 1291668.652302 0.000000 2163932.650000 -872263.997698 2163932.650000 0.000000
1201 0.005000 0.000000 6458.343262 0.000000 0.000000 3369356.329163 2163932.650000 1205423.679163 0.000000 2163932.650000 -958508.970837 2163932.650000 0.000000
1261 0.005000 -0.000000 6027.118396 0.000000 0.000000 3282606.872819 2163932.650000 1118674.222819 0.000000 2163932.650000 -1045258.427181 2163932.650000 0.000000
1321 0.005000 -0.000000 5593.371114 0.000000 0.000000 3195376.645526 2163932.650000 1031443.995526 0.000000 2163932.650000 -1132488.654474 2163932.650000 0.000000
1381 0.005000 0.000000 5157.219978 0.000000 0.000000 3107469.859257 2163932.650000 943537.209257 0.000000 2163932.650000 -1220395.440743 2163932.650000 0.000000
1441 0.005000 -0.000000 4717.686046 0.000000 0.000000 3019723.881739 2163932.650000 855791.231739 0.000000 2163932.650000 -1308141.418261 2163932.650000 0.000000
1501 0.005000 -0.000000 4278.956159 0.000000 0.000000 2930930.965814 2163932.650000 766998.315814 0.000000 2163932.650000 -1396934.334186 2163932.650000 0.000000
1561 0.005000 -0.000000 3834.991579 0.000000 0.000000 2842044.651656 2163932.650000 678112.001656 0.000000 2163932.650000 -1485820.648344 2163932.650000 0.000000
1621 0.005000 -0.000000 3390.560008 0.000000 0.000000 2752368.688738 2163932.650000 588436.038738 0.000000 2163932.650000 -1575496.611262 2163932.650000 0.000000
1681 0.005000 -0.000000 2942.180194 0.000000 0.000000 2662441.379365 2163932.650000 498508.729365 0.000000 2163932.650000 -1665423.920635 2163932.650000 0.000000
1741 0.005000 -0.000000 2492.543647 0.000000 0.000000 2571867.400085 2163932.650000 407934.750085 0.000000 2163932.650000 -1755997.899915 2163932.650000 0.000000
