IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 150 45 45 90000 45000
1 149 50 50 100000 50000
1 148 52 52 104000 52000
1 147 47 47 94000 47000
1 146 59 59 118000 59000
1 145 51 51 102000 51000
1 144 52 52 104000 52000
1 143 48 48 96000 48000
1 142 50 50 100000 50000
1 141 66 66 132000 66000
1 140 55 55 110000 55000
1 139 55 55 110000 55000
1 138 56 56 112000 56000
1 137 50 50 100000 50000
1 136 48 48 96000 48000
1 135 55 55 110000 55000
1 134 56 56 112000 56000
1 133 58 58 116000 58000
1 132 58 58 116000 58000
1 131 47 47 94000 47000
1 130 47 47 94000 47000
1 129 45 45 90000 45000
1 128 60 60 120000 60000
1 127 48 48 96000 48000
1 126 71 71 142000 71000
1 125 57 57 114000 57000
1 124 64 64 128000 64000
1 123 58 58 116000 58000
1 122 76 76 152000 76000
1 121 48 48 96000 48000
1 120 50 50 100000 50000
1 119 44 44 88000 44000
1 118 51 51 102000 51000
1 117 47 47 94000 47000
1 116 58 58 116000 58000
1 115 57 57 114000 57000
1 114 59 59 118000 59000
1 113 55 55 110000 55000
1 112 60 60 120000 60000
1 111 45 45 90000 45000
1 110 48 48 96000 48000
1 109 58 58 116000 58000
1 108 48 48 96000 48000
1 107 56 56 112000 56000
1 106 47 47 94000 47000
1 105 64 64 128000 64000
1 104 55 55 110000 55000
1 103 58 58 116000 58000
1 102 49 49 98000 49000
1 101 50 50 100000 50000
1 100 53 53 106000 53000
1 99 59 59 118000 59000
1 98 51 51 102000 51000
1 97 58 58 116000 58000
1 96 59 59 118000 59000
1 95 58 58 116000 58000
1 94 48 48 96000 48000
1 93 48 48 96000 48000
1 92 54 54 108000 54000
1 91 39 39 78000 39000
1 90 68 68 136000 68000
1 89 67 67 134000 67000
1 88 51 51 102000 51000
1 87 55 55 110000 55000
1 86 47 47 94000 47000
1 85 54 54 108000 54000
1 84 64 64 128000 64000
1 83 51 51 102000 51000
1 82 53 53 106000 53000
1 81 60 60 120000 60000
1 80 46 46 92000 46000
1 79 49 49 98000 49000
