IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 349.699048 349.699048 0.000000 0.000000 3293.682435 366.366613
121 0.000000 0.000000 0.000000 0.000000 362.630160 3.736454
181 18.849152 18.849152 0.000000 0.000000 0.000000 22.585606
241 79.300005 79.300005 0.000000 0.000000 10.431415 83.036458
301 90.025244 90.025244 0.000000 0.000000 62.990835 93.761698
361 137.680100 137.680100 0.000000 0.000000 84.122828 141.416554
421 1136.872676 1136.872676 0.000000 0.000000 122.518750 1140.609130
481 2150.801313 2150.801313 0.000000 0.000000 1122.416543 2154.537767
541 2670.220145 2670.220145 0.000000 0.000000 2053.147920 2673.956599
601 2945.651059 2945.651059 0.000000 0.000000 2672.574333 2947.033324
661 2966.525186 2966.525186 0.000000 0.000000 2932.593750 2967.907452
721 2966.525186 2966.525186 0.000000 0.000000 2967.574333 2966.858305
781 2966.525186 2966.525186 0.000000 0.000000 2922.556250 2966.858305
841 918.404675 918.404675 0.000000 0.000000 2955.055583 918.737793
901 1020.631297 1020.631297 0.000000 0.000000 895.000000 1020.964415
961 1020.631297 1020.631297 0.000000 0.000000 980.000000 1020.964415
1021 1020.631297 1020.631297 0.000000 0.000000 870.000000 1020.964415
1081 1020.631297 1020.631297 0.000000 0.000000 270.000000 1020.964415
1141 1020.631297 1020.631297 0.000000 0.000000 360.000000 1020.964415
1201 1020.631297 1020.631297 0.000000 0.000000 270.000000 1020.964415
1261 1020.631297 1020.631297 0.000000 0.000000 422.516680 1020.964415
1321 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
1381 1020.631297 1020.631297 0.000000 0.000000 453.775020 1020.964415
1441 1014.652969 1014.652969 0.000000 0.000000 332.516680 1014.986088
1501 1020.631297 1020.631297 0.000000 0.000000 547.550040 1020.964415
1561 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
1621 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
1681 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
1741 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
1801 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
1861 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
1921 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
1981 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2041 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2101 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2161 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2221 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2281 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2341 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2401 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2461 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2521 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2581 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2641 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2701 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2761 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2821 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
2881 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
2941 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
3001 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
3061 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
3121 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
3181 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
3241 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
3301 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
3361 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
3421 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
3481 1020.631297 1020.631297 0.000000 0.000000 332.516680 1020.964415
3541 1020.631297 1020.631297 0.000000 0.000000 578.808380 1020.964415
