IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 124.338158 124.338158 0.000000 0.000000 3304.068996 130.619162
121 0.000000 0.000000 0.000000 0.000000 107.178617 6.281004
181 9.803830 9.803830 0.000000 0.000000 3.576701 12.508133
241 98.079527 98.079527 0.000000 0.000000 6.202463 100.783830
301 101.696789 101.696789 0.000000 0.000000 67.464917 104.401092
361 139.969045 139.969045 0.000000 0.000000 84.387364 142.673348
421 985.173162 985.173162 0.000000 0.000000 120.629170 987.877465
481 1706.664223 1706.664223 0.000000 0.000000 954.229610 1709.368526
541 2769.929831 2769.929831 0.000000 0.000000 1555.629170 2772.634134
601 3160.898108 3160.898108 0.000000 0.000000 2685.037500 3163.602411
661 3160.898108 3160.898108 0.000000 0.000000 2830.037500 3163.602411
721 3160.898108 3160.898108 0.000000 0.000000 2958.081250 3163.602411
781 3160.898108 3160.898108 0.000000 0.000000 3105.000000 3163.602411
841 1031.883896 1031.883896 0.000000 0.000000 2742.593750 1034.588199
901 1143.474527 1143.474527 0.000000 0.000000 437.518750 1146.178830
961 1143.474527 1143.474527 0.000000 0.000000 1085.037500 1146.178830
1021 1143.474527 1143.474527 0.000000 0.000000 340.037500 1146.178830
1081 1136.953544 1136.953544 0.000000 0.000000 317.518750 1139.657847
1141 1143.474527 1143.474527 0.000000 0.000000 300.000000 1146.178830
1201 1143.474527 1143.474527 0.000000 0.000000 335.037500 1146.178830
1261 1143.474527 1143.474527 0.000000 0.000000 380.035430 1146.178830
1321 1143.474527 1143.474527 0.000000 0.000000 362.516680 1146.178830
1381 1143.474527 1143.474527 0.000000 0.000000 491.329200 1146.178830
1441 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
1501 1143.474527 1143.474527 0.000000 0.000000 456.291700 1146.178830
1561 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
1621 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
1681 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
1741 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
1801 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
1861 1143.474527 1143.474527 0.000000 0.000000 487.550040 1146.178830
1921 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
1981 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
2041 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
2101 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
2161 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
2221 1143.474527 1143.474527 0.000000 0.000000 487.550040 1146.178830
2281 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
2341 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
2401 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
2461 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
2521 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
2581 1143.474527 1143.474527 0.000000 0.000000 487.550040 1146.178830
2641 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
2701 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
2761 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
2821 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
2881 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
2941 1143.474527 1143.474527 0.000000 0.000000 487.550040 1146.178830
3001 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
3061 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
3121 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
3181 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
3241 1143.474527 1143.474527 0.000000 0.000000 411.293770 1146.178830
3301 1143.474527 1143.474527 0.000000 0.000000 487.550040 1146.178830
3361 1143.474527 1143.474527 0.000000 0.000000 428.812520 1146.178830
3421 1143.474527 1143.474527 0.000000 0.000000 505.068790 1146.178830
3481 1143.474527 1143.474527 0.000000 0.000000 393.775020 1146.178830
3541 1143.474527 1143.474527 0.000000 0.000000 522.587540 1146.178830
