IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1861 156 62388.751501 0.000000 25030.668206 37358.083294 1174440.420487 143918.735302 -1255970.404289
1921 157 61645.370249 0.000000 24262.178675 37383.191574 1311328.799324 84534.251150 -1334217.680224
1921 156 61893.167052 0.000000 25030.668206 36862.498846 1218160.551992 100095.578868 -1256362.963808
1981 157 60694.591937 0.000000 24262.178675 36432.413262 1357691.635489 37320.583226 -1334317.626778
1981 156 60793.607629 0.000000 25030.668206 35762.939423 1261376.737541 55957.959583 -1256541.089495
2041 157 70055.164502 10153.929718 24262.178675 35639.056109 1404241.339628 0.000000 -1334186.175126
2041 156 59853.074127 0.000000 25030.668206 34822.405921 1304672.398513 11685.433898 -1256504.758284
2101 157 116429.592113 58065.971651 24262.178675 34101.441787 1450305.807226 0.000000 -1333876.215113
2101 156 91640.869377 32646.563358 25030.668206 33963.637813 1347894.433417 0.000000 -1256253.564040
2161 157 162722.428397 105808.587208 24262.178675 32651.662515 1496297.024520 0.000000 -1333574.596122
2161 156 134412.444733 77103.364144 25030.668206 32278.412383 1390364.581432 0.000000 -1255952.136700
2221 157 208121.431616 153534.430762 24262.178675 30324.822179 1541404.388267 0.000000 -1333282.956651
2221 156 177453.378844 121665.971948 25030.668206 30756.738690 1433113.663593 0.000000 -1255660.284748
2281 157 254213.285878 201193.302032 24262.178675 28757.805171 1587219.281729 0.000000 -1333005.995851
2281 156 220083.898749 166234.547021 25030.668206 28818.683522 1475461.795840 0.000000 -1255377.897091
2341 157 300565.817226 249037.373716 24262.178675 27266.264835 1633305.241068 0.000000 -1332739.423842
2341 156 262435.796951 210664.911695 25030.668206 26740.217050 1517542.042303 0.000000 -1255106.245352
2401 157 346795.623659 296817.560360 24262.178675 25715.884625 1679275.941514 0.000000 -1332480.317854
2401 156 304519.698373 255098.156394 25030.668206 24390.873773 1559370.476908 0.000000 -1254850.778535
