IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22330.109000 0.000000 22330.109000 -22330.109000 0.000000 0.000000
1 156 0.000000 0.000000 20948.544000 0.000000 20948.544000 -20948.544000 0.000000 0.000000
61 157 11238.248689 11238.248689 37654.615150 32552.400688 5102.214462 -26416.366461 0.000000 0.000000
61 156 10571.175000 10571.175000 38467.835974 33681.010587 4786.825387 -27896.660974 0.000000 0.000000
121 157 6448.178426 6448.178426 193994.025173 188984.556169 5009.469004 -187545.846748 0.000000 0.000000
121 156 6017.633004 6017.633004 186140.285994 181408.773261 4731.512733 -180122.652990 0.000000 0.000000
181 157 5423.016841 5423.016841 163011.234691 158110.986424 4900.248267 -157588.217850 0.000000 0.000000
181 156 5106.616248 5106.616248 137048.766165 132418.709711 4630.056453 -131942.149917 0.000000 0.000000
241 157 4884.904659 4884.904659 66130.508390 61339.234937 4791.273453 -61245.603731 0.000000 0.000000
241 156 4619.454362 4619.454362 67393.667563 62864.626209 4529.041354 -62774.213202 0.000000 0.000000
301 157 4651.895037 4651.895037 33136.979008 28458.392623 4678.586385 -28485.083971 0.000000 0.000000
301 156 4400.821441 4400.821441 35015.223111 30589.379253 4425.843859 -30614.401670 0.000000 0.000000
361 157 4426.262856 4426.262856 48912.317210 44338.293916 4574.023294 -44486.054354 0.000000 0.000000
361 156 4174.246107 4174.246107 46251.440126 41917.919799 4333.520327 -42077.194019 0.000000 0.000000
421 157 4082.011624 4082.011624 156045.863290 111233.963143 44811.900146 -151963.851666 0.000000 0.000000
421 156 3846.405800 3846.405800 151306.236591 108830.656806 42475.579785 -147459.830790 0.000000 0.000000
481 157 8058.700231 8058.700231 330889.828231 284987.923980 45901.904251 -322831.128000 0.000000 0.000000
481 156 7695.574661 7695.574661 298303.077596 254772.093434 43530.984162 -290607.502935 0.000000 0.000000
541 157 4191.924251 4191.924251 214859.512326 168273.761200 46585.751127 -210667.588075 0.000000 0.000000
541 156 4187.037744 4187.037744 204310.075410 160051.951289 44258.124122 -200123.037666 0.000000 0.000000
601 157 1504.566787 1504.566787 62715.117523 15800.150101 46914.967422 -61210.550736 0.000000 0.000000
601 156 1586.745936 1586.745936 58962.413290 14476.256834 44486.156456 -57375.667355 0.000000 0.000000
661 157 1324.019438 1324.019438 47136.598138 221.093975 46915.504163 -45812.578700 0.000000 0.000000
661 156 1413.806775 1413.806775 45613.860138 1090.729140 44523.130998 -44200.053364 0.000000 0.000000
721 157 1304.686235 1304.686235 48460.071055 1528.059122 46932.011933 -47155.384820 0.000000 0.000000
721 156 1385.431937 1385.431937 45366.903625 798.020051 44568.883574 -43981.471687 0.000000 0.000000
781 157 1274.749043 1274.749043 48152.025072 1208.712809 46943.312263 -46877.276029 0.000000 0.000000
781 156 1365.154140 1365.154140 44972.628919 357.769169 44614.859750 -43607.474779 0.000000 0.000000
841 157 1248.231027 1248.231027 5047.127261 351.013742 4696.113519 -3798.896235 0.000000 0.000000
841 156 1360.420931 1360.420931 5021.462569 555.075179 4466.387390 -3661.041638 0.000000 0.000000
901 157 406.188795 406.188795 6325.846613 1839.415504 4486.431109 -5919.657818 0.000000 0.000000
901 156 441.715651 441.715651 7304.867912 3033.407584 4271.460328 -6863.152260 0.000000 0.000000
961 157 383.523783 383.523783 7327.639124 3056.738803 4270.900321 -6944.115341 0.000000 0.000000
961 156 403.063650 403.063650 10570.826689 6501.415008 4069.411681 -10167.763039 0.000000 0.000000
1021 157 368.328964 368.328964 4544.022396 490.734026 4053.288370 -4175.693432 0.000000 0.000000
1021 156 370.550792 370.550792 5125.843542 1258.213531 3867.630011 -4755.292750 0.000000 0.000000
1081 157 364.543717 364.543717 4088.689160 256.243961 3832.445199 -3724.145443 0.000000 0.000000
1081 156 360.840326 360.840326 4669.564551 1000.288246 3669.276305 -4308.724225 0.000000 0.000000
1141 157 356.972404 356.972404 3613.454236 0.000000 3613.454236 -3256.481831 0.000000 0.000000
1141 156 349.716479 349.716479 3705.921846 241.852440 3464.069406 -3356.205367 0.000000 0.000000
1201 157 352.398723 352.398723 3393.732112 0.000000 3393.732112 -3041.333389 0.000000 0.000000
1201 156 344.170733 344.170733 3257.357499 0.000000 3257.357499 -2913.186766 0.000000 0.000000
1261 157 352.471413 352.471413 3172.930684 0.000000 3172.930684 -2820.459271 0.000000 0.000000
1261 156 343.037749 343.037749 3051.259126 0.000000 3051.259126 -2708.221377 0.000000 0.000000
1321 157 351.907523 351.907523 2949.678120 0.000000 2949.678120 -2597.770597 0.000000 0.000000
1321 156 342.526854 342.526854 2845.585165 0.000000 2845.585165 -2503.058311 0.000000 0.000000
1381 157 351.965346 351.965346 2724.905629 0.000000 2724.905629 -2372.940282 0.000000 0.000000
1381 156 342.008833 342.008833 2640.299092 0.000000 2640.299092 -2298.290259 0.000000 0.000000
1441 157 350.425749 350.425749 2498.889696 0.000000 2498.889696 -2148.463947 0.000000 0.000000
1441 156 341.483643 341.483643 2432.348869 0.000000 2432.348869 -2090.865226 0.000000 0.000000
1501 157 347.561614 347.561614 2274.148835 0.000000 2274.148835 -1926.587221 0.000000 0.000000
1501 156 339.331996 339.331996 2220.626953 0.000000 2220.626953 -1881.294957 0.000000 0.000000
1561 157 346.347830 346.347830 2046.222346 0.000000 2046.222346 -1699.874516 0.000000 0.000000
1561 156 338.167852 338.167852 2009.588210 0.000000 2009.588210 -1671.420358 0.000000 0.000000
1621 157 345.126459 345.126459 1816.842036 0.000000 1816.842036 -1471.715577 0.000000 0.000000
1621 156 337.625603 337.625603 1798.827347 0.000000 1798.827347 -1461.201744 0.000000 0.000000
1681 157 342.270941 342.270941 1588.298253 0.000000 1588.298253 -1246.027312 0.000000 0.000000
1681 156 335.796256 335.796256 1584.077295 0.000000 1584.077295 -1248.281039 0.000000 0.000000
1741 157 340.718512 340.718512 1357.994743 0.000000 1357.994743 -1017.276231 0.000000 0.000000
1741 156 334.289625 334.289625 1369.175526 0.000000 1369.175526 -1034.885901 0.000000 0.000000
1801 157 338.517399 338.517399 1125.113257 0.000000 1125.113257 -786.595858 0.000000 0.000000
1801 156 332.456701 332.456701 1154.180531 0.000000 1154.180531 -821.723830 0.000000 0.000000
1861 157 334.688851 334.688851 892.717641 0.000000 892.717641 -558.028790 0.000000 0.000000
1861 156 330.302308 330.302308 936.975535 0.000000 936.975535 -606.673226 0.000000 0.000000
