IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1208 100.000000
21 1101 100.000000
41 830 99.993976
61 0 99.993976
81 0 99.993976
101 0 99.993976
121 0 99.993976
141 0 99.993976
161 0 99.993976
181 0 99.993976
201 0 99.993976
221 0 99.993976
241 0 99.993976
261 0 99.993976
281 0 99.993976
301 0 99.993976
321 0 99.993976
341 0 99.993976
361 0 99.993976
381 0 99.993976
401 0 99.993976
421 0 99.993976
441 0 99.993976
461 0 99.993976
481 0 99.993976
501 0 99.993976
521 0 99.993976
541 0 99.993976
561 0 99.993976
581 0 99.993976
601 0 99.993976
621 0 99.993976
641 0 99.993976
661 0 99.993976
681 0 99.993976
701 0 99.993976
721 0 99.993976
741 0 99.993976
761 0 99.993976
781 0 99.993976
801 0 99.993976
821 1 94.994277
841 0 94.994277
861 1 90.244563
881 0 90.244563
901 1 85.732335
921 17 81.445718
941 31 77.373432
961 35 73.504761
981 44 69.829523
1001 39 66.338047
1021 26 63.021144
1041 21 59.870087
1061 33 56.876583
1081 30 54.032754
1101 36 51.331116
1121 44 48.764560
1141 40 46.326332
1161 38 44.010015
1181 43 41.809515
1201 37 39.719039
1221 46 37.733087
1241 40 35.846433
1261 38 34.054111
1281 38 32.351406
1301 46 30.733835
1321 52 29.197143
1341 40 27.737286
1361 49 26.350422
1381 75 25.138303
1401 62 23.881387
1421 48 22.687318
1441 59 21.552952
1461 60 20.475305
1481 61 19.451539
1501 62 18.478962
1521 54 17.555014
1541 53 16.677264
1561 56 15.843400
1581 47 15.051230
1601 57 14.298669
1621 60 13.583735
1641 48 12.904549
1661 74 12.302918
1681 62 11.687772
1701 62 11.103383
1721 57 10.548214
1741 46 10.020803
1761 57 9.519763
1781 55 9.043775
1801 49 8.591586
1821 55 8.162007
1841 53 7.753907
1861 51 7.366211
1881 43 6.997901
1901 55 6.648006
1921 56 6.315605
1941 49 5.999825
1961 59 5.699834
1981 58 5.414842
2001 52 5.144100
2021 47 4.886895
2041 51 4.642550
2061 47 4.410423
2081 43 4.189902
2101 40 3.980407
2121 43 3.781386
2141 50 3.592317
2161 60 3.412701
2181 51 3.242066
2201 41 3.079963
2221 36 2.925965
2241 38 2.779666
2261 40 2.640683
2281 39 2.508649
2301 38 2.383216
2321 39 2.264056
2341 33 2.150853
2361 45 2.043310
2381 34 1.941145
2401 39 1.844087
2421 39 1.751883
2441 24 1.664289
2461 31 1.581074
2481 33 1.502021
2501 25 1.426920
2521 34 1.355574
2541 28 1.287795
2561 23 1.223405
2581 17 1.162235
2601 17 1.104123
2621 25 1.048917
2641 21 0.996471
2661 20 0.946648
2681 19 0.899315
2701 17 0.854350
2721 19 0.811632
2741 18 0.771050
2761 17 0.732498
2781 15 0.695873
2801 15 0.661079
2821 22 0.628025
2841 11 0.596624
2861 9 0.566793
2881 18 0.538453
2901 10 0.511531
2921 9 0.485954
2941 4 0.461656
2961 7 0.438574
2981 7 0.416645
3001 7 0.395813
3021 3 0.376022
3041 4 0.357221
3061 7 0.339360
3081 4 0.322392
3101 3 0.306272
3121 1 0.290959
3141 5 0.276411
3161 2 0.262590
3181 2 0.249461
3201 2 0.236988
3221 2 0.225138
3241 2 0.225138
3261 1 0.213881
3281 1 0.203187
3301 2 0.193028
3321 2 0.193028
3341 2 0.183377
3361 2 0.174208
3381 1 0.165497
3401 2 0.157222
3421 1 0.149361
3441 1 0.141893
3461 1 0.141893
3481 1 0.141893
3501 3 0.134799
3521 2 0.128059
3541 2 0.128059
3561 2 0.128059
3581 2 0.121656
