IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 150 43 43 86000 43000
1 149 59 59 118000 59000
1 148 68 68 136000 68000
1 147 51 51 102000 51000
1 146 61 61 122000 61000
1 145 48 48 96000 48000
1 144 44 44 88000 44000
1 143 54 54 108000 54000
1 142 50 50 100000 50000
1 141 50 50 100000 50000
1 140 45 45 90000 45000
1 139 45 45 90000 45000
1 138 55 55 110000 55000
1 137 58 58 116000 58000
1 136 60 60 120000 60000
1 135 65 65 130000 65000
1 134 57 57 114000 57000
1 133 62 62 124000 62000
1 132 49 49 98000 49000
1 131 52 52 104000 52000
1 130 58 58 116000 58000
1 129 59 59 118000 59000
1 128 49 49 98000 49000
1 127 66 66 132000 66000
1 126 67 67 134000 67000
1 125 59 59 118000 59000
1 124 55 55 110000 55000
1 123 58 58 116000 58000
1 122 50 50 100000 50000
1 121 45 45 90000 45000
1 120 52 52 104000 52000
1 119 64 64 128000 64000
1 118 58 58 116000 58000
1 117 50 50 100000 50000
1 116 55 55 110000 55000
1 115 69 69 138000 69000
1 114 51 51 102000 51000
1 113 63 63 126000 63000
1 112 45 45 90000 45000
1 111 38 38 76000 38000
1 110 42 42 84000 42000
1 109 59 59 118000 59000
1 108 48 48 96000 48000
1 107 61 61 122000 61000
1 106 55 55 110000 55000
1 105 61 61 122000 61000
1 104 47 47 94000 47000
1 103 56 56 112000 56000
1 102 38 38 76000 38000
1 101 52 52 104000 52000
1 100 55 55 110000 55000
1 99 53 53 106000 53000
1 98 47 47 94000 47000
1 97 58 58 116000 58000
1 96 65 65 130000 65000
1 95 44 44 88000 44000
1 94 61 61 122000 61000
1 93 46 46 92000 46000
1 92 60 60 120000 60000
1 91 43 43 86000 43000
1 90 45 45 90000 45000
1 89 73 73 146000 73000
1 88 58 58 116000 58000
1 87 71 71 142000 71000
1 86 50 50 100000 50000
1 85 40 40 80000 40000
1 84 53 53 106000 53000
1 83 61 61 122000 61000
1 82 45 45 90000 45000
1 81 53 53 106000 53000
1 80 48 48 96000 48000
1 79 59 59 118000 59000
1 78 50 50 100000 50000
1 77 56 56 112000 56000
1 76 68 68 136000 68000
1 75 67 67 134000 67000
1 74 60 60 120000 60000
1 73 60 60 120000 60000
1 72 55 55 110000 55000
