IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 1 20 27 2 19
1 2 20 24 2 17
1 3 20 20 2 14
1 4 20 27 2 19
1 5 20 17 2 12
1 6 20 25 2 18
1 7 20 28 2 20
1 8 20 22 2 16
1 9 20 28 2 20
1 10 20 25 2 18
1 11 20 24 2 17
1 12 20 27 2 19
1 13 20 20 2 14
1 14 20 17 2 12
1 15 20 18 2 13
1 16 20 25 2 18
1 17 20 27 2 19
1 18 20 21 2 15
1 19 20 27 2 19
1 20 20 18 2 13
1 21 20 25 2 18
1 22 20 28 2 20
1 23 20 27 2 19
1 24 20 17 2 12
1 25 20 18 2 13
1 26 20 27 2 19
1 27 20 25 2 18
1 28 20 14 2 10
1 29 20 24 2 17
1 30 20 20 2 14
21 28 14 21 3 15
21 25 18 27 4 19
21 24 17 24 3 17
21 20 18 15 4 11
21 15 18 12 4 9
21 14 17 25 4 18
21 5 17 20 3 14
21 30 20 20 4 14
21 13 20 28 3 20
21 3 20 22 4 16
21 1 20 21 3 15
21 2 20 27 4 19
21 4 20 18 3 13
21 6 20 24 2 17
21 7 20 21 4 15
21 8 20 21 4 15
21 9 20 24 4 17
21 10 20 21 4 15
21 11 20 20 2 14
21 12 20 25 3 18
21 16 20 22 4 16
21 17 20 22 3 16
21 18 20 21 2 15
21 19 20 28 3 20
21 21 20 25 4 18
21 22 20 15 3 11
21 23 20 17 4 12
21 26 20 24 2 17
21 27 20 27 1 19
21 29 20 17 1 12
41 29 17 25 3 18
41 23 17 21 4 15
41 22 15 27 5 19
41 4 18 25 5 18
41 15 12 15 5 11
41 20 15 17 6 12
41 11 20 24 4 17
41 30 20 24 4 17
41 28 14 21 4 15
41 25 18 18 6 13
41 24 17 12 3 9
41 14 17 21 5 15
41 5 17 10 5 7
41 13 20 25 5 18
41 3 20 21 5 15
41 1 20 20 5 14
41 2 20 22 6 16
41 6 20 14 4 10
41 7 20 24 6 17
41 8 20 21 6 15
41 9 20 18 6 13
41 10 20 28 6 20
41 12 20 22 3 16
41 16 20 14 2 10
41 17 20 24 2 17
41 18 20 28 2 20
41 19 20 20 2 14
41 21 20 25 2 18
41 26 20 28 1 20
41 27 20 24 1 17
61 18 20 5 3 4
61 10 20 2 8 2
61 8 20 8 8 6
61 7 20 2 7 2
61 2 20 7 7 5
61 3 20 8 6 6
61 13 20 4 7 3
61 30 20 8 5 6
61 11 20 14 6 10
61 20 15 2 8 2
61 15 12 5 6 4
61 4 18 7 7 5
61 22 15 5 5 4
61 29 17 5 5 4
61 25 18 2 8 2
61 19 20 7 4 5
61 24 12 4 4 3
61 16 14 4 4 3
61 12 20 2 0 2
61 17 20 4 2 3
61 21 20 5 2 4
61 26 20 1 2 1
61 14 17 11 6 8
61 28 14 8 4 6
61 23 17 14 5 10
61 1 20 1 7 1
61 5 10 7 6 5
61 6 14 7 5 5
61 9 18 5 8 4
61 27 20 1 0 17
81 27 1 28 0 20
81 9 5 27 9 19
81 6 7 15 6 11
81 5 7 17 6 12
81 1 1 17 7 12
81 23 14 15 6 11
81 28 8 22 4 16
81 14 11 24 7 17
81 26 1 21 2 15
81 21 5 28 3 20
81 17 4 22 3 16
81 12 2 28 0 20
81 16 4 25 5 18
81 24 4 12 5 9
81 19 7 28 5 20
81 25 2 27 9 19
81 29 5 7 6 5
81 22 5 21 6 15
81 4 7 28 7 20
81 15 5 11 7 8
81 20 2 18 9 13
81 11 14 17 6 12
81 30 8 28 6 20
81 13 4 20 8 14
81 3 8 21 7 15
81 2 7 21 8 15
81 7 2 15 8 11
81 8 8 20 9 14
81 10 2 18 9 13
81 18 5 11 3 8
101 27 1 22 0 16
101 9 5 20 9 14
101 6 7 17 6 12
101 5 7 15 7 11
101 1 1 28 7 20
101 23 14 14 6 10
101 28 8 22 4 16
101 14 11 24 7 17
101 26 1 28 2 20
101 21 5 14 4 10
101 17 4 15 4 11
101 12 2 18 0 13
101 16 4 10 5 7
101 24 4 11 6 8
101 19 7 28 6 20
101 25 2 22 9 16
101 29 5 20 6 14
101 22 5 15 6 11
101 4 7 27 8 19
101 15 5 24 7 17
101 20 2 11 9 8
101 11 14 25 7 18
101 30 8 25 7 18
101 13 4 21 9 15
101 3 8 22 8 16
101 2 7 22 8 16
101 7 2 27 8 19
101 8 8 28 10 20
101 10 2 20 9 14
101 18 5 20 4 14
121 18 5 28 5 20
121 10 2 17 10 12
121 8 8 25 11 18
121 7 2 8 9 6
121 2 7 21 9 15
121 3 8 15 9 11
121 13 4 22 9 16
121 30 8 17 8 12
121 11 14 24 8 17
121 20 2 18 9 13
121 15 5 15 8 11
121 4 7 15 9 11
121 22 5 15 6 11
121 29 5 28 7 20
121 25 2 17 10 12
121 19 7 27 7 19
121 24 4 18 6 13
121 23 14 28 7 20
121 27 1 25 0 18
121 9 5 14 10 10
121 6 7 24 7 17
121 5 7 24 7 17
121 1 1 25 7 18
121 28 8 25 5 18
121 14 11 27 8 19
121 26 1 14 2 10
121 21 5 22 5 16
121 17 4 25 4 18
121 12 2 12 1 9
121 16 4 10 6 7
141 18 5 15 6 11
141 10 2 14 10 10
141 8 8 28 11 20
141 7 2 14 9 10
141 2 7 12 10 9
141 3 8 20 9 14
141 13 4 17 10 12
141 30 8 12 8 9
141 11 14 17 9 12
141 20 2 24 10 17
141 15 5 17 9 12
141 4 7 14 10 10
141 22 5 24 7 17
141 29 5 5 7 4
141 25 2 17 10 12
141 19 7 15 8 11
141 24 4 21 6 15
141 23 14 14 8 10
141 27 1 24 0 17
141 9 5 12 11 9
141 6 7 18 7 13
141 5 7 28 8 20
141 1 1 21 7 15
141 28 8 25 6 18
141 14 11 17 8 12
141 26 1 25 2 18
141 21 5 24 6 17
141 17 4 15 5 11
141 12 2 22 1 16
141 16 4 22 6 16
161 23 14 22 9 16
161 29 5 24 7 17
161 18 5 15 6 11
161 10 2 21 10 15
161 8 8 24 12 17
161 7 2 28 9 20
161 2 7 11 10 8
161 3 8 20 9 14
161 13 4 12 10 9
161 30 8 21 9 15
161 11 14 15 10 11
161 20 2 12 10 9
161 15 5 22 9 16
161 4 7 12 11 9
161 22 5 14 8 10
161 25 2 24 10 17
161 19 7 25 9 18
161 24 4 8 6 6
161 27 1 18 0 13
161 9 5 20 11 14
161 6 7 28 8 20
161 5 7 11 8 8
161 1 1 28 7 20
161 28 8 18 7 13
161 14 11 24 8 17
161 26 1 28 2 20
161 21 5 8 7 6
161 17 4 24 5 17
161 12 2 12 1 9
161 16 4 27 7 19
181 16 4 24 7 17
181 26 1 25 2 18
181 14 11 15 9 11
181 28 8 14 8 10
181 1 1 17 7 12
181 5 7 22 8 16
181 6 7 21 9 15
181 9 5 28 12 20
181 27 1 21 0 15
181 24 4 11 7 8
181 19 7 12 10 9
181 25 2 27 11 19
181 22 5 10 8 7
181 4 7 15 11 11
181 15 5 17 10 12
181 20 2 18 10 13
181 11 14 25 11 18
181 30 8 8 9 6
181 13 4 15 10 11
181 3 8 8 10 6
181 2 7 20 11 14
181 7 2 21 10 15
181 8 8 15 13 11
181 10 2 27 11 19
181 18 5 12 6 9
181 29 5 14 7 10
181 23 14 17 10 12
181 21 5 7 7 5
181 17 4 8 6 6
181 12 2 27 1 19
201 3 8 17 10 12
201 30 8 20 10 14
201 16 4 18 7 13
201 26 1 24 2 17
201 14 11 24 10 17
201 28 8 12 9 9
201 1 1 27 7 19
201 5 7 21 9 15
201 6 7 7 9 5
201 9 5 12 12 9
201 27 1 17 0 12
201 24 4 28 7 20
201 19 7 25 10 18
201 25 2 11 11 8
201 22 5 8 8 6
201 4 7 17 11 12
201 15 5 7 10 5
201 20 2 24 10 17
201 11 14 21 11 15
201 13 4 10 11 7
201 2 7 22 11 16
201 7 2 27 10 19
201 8 8 17 14 12
201 10 2 25 11 18
201 18 5 18 6 13
201 29 5 25 8 18
201 23 14 27 11 19
201 21 5 28 7 20
201 17 4 10 6 7
201 12 2 28 1 20
221 6 7 28 10 20
221 3 8 18 11 13
221 30 8 10 10 7
221 16 4 24 7 17
221 26 1 15 2 11
221 14 11 14 11 10
221 28 8 20 9 14
221 1 1 25 7 18
221 5 7 21 10 15
221 9 5 21 12 15
221 27 1 17 0 12
221 24 4 11 8 8
221 19 7 22 10 16
221 25 2 21 11 15
221 22 5 14 9 10
221 4 7 20 12 14
221 15 5 8 10 6
221 20 2 7 10 5
221 11 14 25 12 18
221 13 4 11 11 8
221 2 7 17 11 12
221 7 2 12 10 9
221 8 8 15 14 11
221 10 2 22 11 16
221 18 5 11 6 8
221 29 5 14 8 10
221 23 14 15 12 11
221 21 5 8 8 6
221 17 4 5 6 4
221 12 2 11 1 8
241 17 4 10 6 7
241 23 14 22 13 16
241 29 5 21 8 15
241 18 5 28 7 20
241 10 2 14 11 10
241 8 8 8 15 6
241 7 2 22 10 16
241 2 7 8 12 6
241 13 4 27 11 19
241 11 14 24 13 17
241 20 2 28 10 20
241 15 5 5 10 4
241 4 7 28 12 20
241 22 5 15 9 11
241 25 2 10 11 7
241 19 7 17 11 12
241 24 4 7 8 5
241 27 1 18 0 13
241 9 5 20 13 14
241 5 7 8 10 6
241 1 1 17 7 12
241 28 8 14 10 10
241 14 11 17 12 12
241 26 1 28 2 20
241 16 4 28 7 20
241 30 8 18 10 13
241 3 8 10 11 7
241 6 7 24 10 17
241 21 5 27 8 19
241 12 2 7 2 5
261 15 5 12 11 9
261 8 8 27 15 19
261 17 4 27 6 19
261 23 14 14 14 10
261 29 5 10 8 7
261 18 5 7 7 5
261 10 2 28 11 20
261 7 2 15 11 11
261 2 7 10 12 7
261 13 4 20 11 14
261 11 14 28 14 20
261 20 2 5 10 4
261 4 7 28 13 20
261 22 5 7 9 5
261 25 2 14 12 10
261 19 7 10 11 7
261 24 4 5 8 4
261 27 1 27 0 19
261 9 5 24 13 17
261 5 7 7 10 5
261 1 1 28 7 20
261 28 8 27 10 19
261 14 11 25 13 18
261 26 1 28 2 20
261 16 4 18 8 13
261 30 8 11 11 8
261 3 8 11 12 8
261 6 7 14 10 10
261 21 5 11 8 8
261 12 2 7 2 5
281 5 7 10 11 7
281 23 14 17 14 12
281 15 5 17 11 12
281 8 8 15 16 11
281 17 4 12 6 9
281 29 5 25 9 18
281 18 5 8 8 6
281 10 2 24 12 17
281 7 2 10 11 7
281 2 7 22 12 16
281 13 4 12 12 9
281 11 14 18 15 13
281 20 2 17 10 12
281 4 7 10 14 7
281 22 5 12 9 9
281 25 2 17 12 12
281 19 7 27 12 19
281 24 4 20 8 14
281 27 1 20 0 14
281 9 5 11 14 8
281 1 1 28 7 20
281 28 8 18 10 13
281 14 11 15 13 11
281 26 1 21 2 15
281 16 4 12 8 9
281 30 8 20 11 14
281 3 8 10 12 7
281 6 7 14 11 10
281 21 5 22 9 16
281 12 2 27 2 19
