IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4111148.813072 2163932.650000 1947216.163072 0.000000 2163932.650000 -216716.486928 2163932.650000 0.000000
121 0.005000 -0.281192 9736.080815 0.000000 0.000000 4068448.083631 2163932.650000 1904515.433631 0.000000 2163932.650000 -259417.216369 2163932.650000 0.000000
181 0.005000 -0.318124 9522.577168 0.000000 0.000000 4026433.960401 2163932.650000 1862501.310401 0.000000 2163932.650000 -301431.339599 2163932.650000 0.000000
241 0.005000 -0.294530 9312.506552 0.000000 0.000000 3984711.511072 2163932.650000 1820778.861072 0.000000 2163932.650000 -343153.788928 2163932.650000 0.000000
301 0.005000 -0.260740 9103.894305 0.000000 0.000000 3944330.869553 2163932.650000 1780398.219553 0.000000 2163932.650000 -383534.430447 2163932.650000 0.000000
361 0.005000 0.012564 8901.991098 0.000000 0.000000 3911668.572000 2163932.650000 1747735.922000 0.000000 2163932.650000 -416196.728000 2163932.650000 0.000000
421 0.050000 0.428181 87386.796100 0.000000 0.000000 3945471.032059 2163932.650000 1781538.382059 0.000000 2163932.650000 -382394.267941 2163932.650000 0.000000
481 0.050000 0.469973 89076.919103 0.000000 0.000000 3951802.964424 2163932.650000 1787870.314424 0.000000 2163932.650000 -376062.335576 2163932.650000 0.000000
541 0.050000 1.465442 89393.515721 0.000000 0.000000 3948923.589479 2163932.650000 1784990.939479 0.000000 2163932.650000 -378941.710521 2163932.650000 0.000000
601 0.050000 2.130296 89249.546974 0.000000 0.000000 3945417.538160 2163932.650000 1781484.888160 0.000000 2163932.650000 -382447.761840 2163932.650000 0.000000
661 0.050000 1.655391 89074.244408 0.000000 0.000000 3941626.959764 2163932.650000 1777694.309764 0.000000 2163932.650000 -386238.340236 2163932.650000 0.000000
721 0.050000 1.348657 88884.715488 0.000000 0.000000 3937832.633643 2163932.650000 1773899.983643 0.000000 2163932.650000 -390032.666357 2163932.650000 0.000000
781 0.018997 0.343415 33698.987887 0.000000 0.000000 3878757.358267 2163932.650000 1714824.708267 0.000000 2163932.650000 -449107.941733 2163932.650000 0.000000
841 0.005000 -0.313518 8574.123541 0.000000 0.000000 3793492.883452 2163932.650000 1629560.233452 0.000000 2163932.650000 -534372.416548 2163932.650000 0.000000
901 0.005000 -0.455065 8147.801167 0.000000 0.000000 3707180.554282 2163932.650000 1543247.904282 0.000000 2163932.650000 -620684.745718 2163932.650000 0.000000
961 0.005000 -0.455065 7716.239521 0.000000 0.000000 3620730.525496 2163932.650000 1456797.875496 0.000000 2163932.650000 -707134.774504 2163932.650000 0.000000
1021 0.005000 -0.455065 7283.989377 0.000000 0.000000 3533899.759057 2163932.650000 1369967.109057 0.000000 2163932.650000 -793965.540943 2163932.650000 0.000000
1081 0.005000 -0.206191 6849.835545 0.000000 0.000000 3446507.278787 2163932.650000 1282574.628787 0.000000 2163932.650000 -881358.021213 2163932.650000 0.000000
1141 0.005000 0.000000 6412.873144 0.000000 0.000000 3358786.171850 2163932.650000 1194853.521850 0.000000 2163932.650000 -969079.128150 2163932.650000 0.000000
1201 0.005000 -0.000000 5974.267609 0.000000 0.000000 3270558.757726 2163932.650000 1106626.107726 0.000000 2163932.650000 -1057306.542274 2163932.650000 0.000000
1261 0.005000 -0.000000 5533.130539 0.000000 0.000000 3181850.000619 2163932.650000 1017917.350619 0.000000 2163932.650000 -1146015.299381 2163932.650000 0.000000
1321 0.005000 0.000000 5089.586753 0.000000 0.000000 3092673.669389 2163932.650000 928741.019389 0.000000 2163932.650000 -1235191.630611 2163932.650000 0.000000
1381 0.005000 0.000000 4643.705097 0.000000 0.000000 3002788.055334 2163932.650000 838855.405334 0.000000 2163932.650000 -1325077.244666 2163932.650000 0.000000
1441 0.005000 0.000000 4194.277027 0.000000 0.000000 2912573.013209 2163932.650000 748640.363209 0.000000 2163932.650000 -1415292.286791 2163932.650000 0.000000
1501 0.005000 -0.000000 3743.201816 0.000000 0.000000 2821954.674544 2163932.650000 658022.024544 0.000000 2163932.650000 -1505910.625456 2163932.650000 0.000000
1561 0.005000 -0.000000 3290.110123 0.000000 0.000000 2731170.393685 2163932.650000 567237.743685 0.000000 2163932.650000 -1596694.906315 2163932.650000 0.000000
1621 0.005000 -0.000000 2836.188718 0.000000 0.000000 2639656.030285 2163932.650000 475723.380285 0.000000 2163932.650000 -1688209.269715 2163932.650000 0.000000
1681 0.005000 0.000000 2378.616901 0.000000 0.000000 2547850.308008 2163932.650000 383917.658008 0.000000 2163932.650000 -1780014.991992 2163932.650000 0.000000
1741 0.005000 -0.000000 1919.588290 0.000000 0.000000 2455455.223310 2163932.650000 291522.573310 0.000000 2163932.650000 -1872410.076690 2163932.650000 0.000000
1801 0.005000 -0.000000 1457.612867 0.000000 0.000000 2362742.540691 2163932.650000 198809.890691 0.000000 2163932.650000 -1965122.759309 2163932.650000 0.000000
1861 0.005000 -0.000000 994.049453 0.000000 0.000000 2269277.886819 2163932.650000 105345.236819 0.000000 2163932.650000 -2058587.413181 2163932.650000 0.000000
