IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 218.210086 218.210086 0.000000 0.000000 3309.108126 219.451960
121 0.000000 0.000000 0.000000 0.000000 209.477079 1.241874
181 0.000000 0.000000 0.000000 0.000000 0.000000 1.241874
241 16.204224 16.204224 0.000000 0.000000 0.000000 17.446098
301 18.234369 18.234369 0.000000 0.000000 15.231651 19.476243
361 83.674562 83.674562 0.000000 0.000000 0.000000 84.916436
421 1359.399620 1359.399620 0.000000 0.000000 0.000000 1360.641494
481 2198.036681 2198.036681 0.000000 0.000000 1260.075000 2199.278555
541 2533.297716 2533.297716 0.000000 0.000000 2190.666670 2534.539590
601 2405.300369 2405.300369 0.000000 0.000000 2502.518750 2406.542243
661 2543.683686 2543.683686 0.000000 0.000000 2377.518750 2544.925560
721 2543.683686 2543.683686 0.000000 0.000000 2380.000000 2544.925560
781 1322.333592 1322.333592 0.000000 0.000000 2542.518750 1323.575466
841 677.736536 677.736536 0.000000 0.000000 1320.000000 678.978410
901 770.920921 770.920921 0.000000 0.000000 645.000000 772.162796
961 770.920921 770.920921 0.000000 0.000000 765.075000 772.162796
1021 770.920921 770.920921 0.000000 0.000000 600.000000 772.162796
1081 741.726656 741.726656 0.000000 0.000000 770.037500 742.968530
1141 770.920921 770.920921 0.000000 0.000000 410.000000 772.162796
1201 770.920921 770.920921 0.000000 0.000000 180.000000 772.162796
1261 770.920921 770.920921 0.000000 0.000000 361.258340 772.162796
1321 770.920921 770.920921 0.000000 0.000000 242.516680 772.162796
1381 770.920921 770.920921 0.000000 0.000000 392.516680 772.162796
1441 770.920921 770.920921 0.000000 0.000000 242.516680 772.162796
1501 770.920921 770.920921 0.000000 0.000000 392.516680 772.162796
1561 758.790122 758.790122 0.000000 0.000000 273.775020 760.031996
1621 770.920921 770.920921 0.000000 0.000000 455.033360 772.162796
1681 770.920921 770.920921 0.000000 0.000000 305.033360 772.162796
1741 770.920921 770.920921 0.000000 0.000000 486.291700 772.162796
1801 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
1861 770.920921 770.920921 0.000000 0.000000 517.550040 772.162796
1921 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
1981 770.920921 770.920921 0.000000 0.000000 548.808380 772.162796
2041 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2101 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2161 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2221 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2281 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2341 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2401 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2461 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2521 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2581 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2641 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2701 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2761 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2821 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
2881 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
2941 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
3001 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
3061 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
3121 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
3181 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
3241 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
3301 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
3361 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
3421 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
3481 770.920921 770.920921 0.000000 0.000000 336.291700 772.162796
3541 770.920921 770.920921 0.000000 0.000000 580.066720 772.162796
