IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1163 100.000000
21 1076 100.000000
41 840 99.994048
61 0 99.994048
81 0 99.994048
101 0 99.994048
121 0 99.994048
141 0 99.994048
161 0 99.994048
181 0 99.994048
201 0 99.994048
221 0 99.994048
241 0 99.994048
261 0 99.994048
281 0 99.994048
301 0 99.994048
321 0 99.994048
341 0 99.994048
361 0 99.994048
381 0 99.994048
401 0 99.994048
421 0 99.994048
441 0 99.994048
461 0 99.994048
481 0 99.994048
501 0 99.994048
521 0 99.994048
541 0 99.994048
561 0 99.994048
581 0 99.994048
601 0 99.994048
621 0 99.994048
641 0 99.994048
661 0 99.994048
681 0 99.994048
701 0 99.994048
721 0 99.994048
741 0 99.994048
761 0 99.994048
781 0 99.994048
801 0 99.994048
821 0 99.994048
841 0 99.994048
861 0 99.994048
881 3 94.994345
901 11 90.244628
921 16 85.732397
941 20 81.445777
961 13 77.373488
981 19 73.504814
1001 12 69.829573
1021 8 66.338094
1041 9 63.021189
1061 10 59.870130
1081 6 56.876624
1101 26 54.032792
1121 15 51.331153
1141 16 48.764595
1161 12 46.326365
1181 15 44.010047
1201 22 41.809545
1221 18 39.719067
1241 15 37.733114
1261 18 35.846458
1281 13 34.054135
1301 16 32.351429
1321 16 30.733857
1341 20 29.197164
1361 23 27.737306
1381 29 26.350441
1401 17 25.032919
1421 25 23.781273
1441 21 22.592209
1461 22 21.462599
1481 25 20.389469
1501 15 19.369995
1521 27 18.401496
1541 27 17.481421
1561 21 16.607350
1581 25 15.776982
1601 19 14.988133
1621 24 14.238727
1641 16 13.526790
1661 22 12.850451
1681 16 12.207928
1701 19 11.597532
1721 24 11.017655
1741 25 10.466772
1761 21 9.943434
1781 24 9.446262
1801 19 8.973949
1821 18 8.525252
1841 22 8.098989
1861 21 7.694040
1881 20 7.309338
1901 15 6.943871
1921 16 6.596677
1941 18 6.266843
1961 19 5.953501
1981 24 5.655826
2001 20 5.373035
2021 13 5.104383
2041 14 4.849164
2061 18 4.606706
2081 20 4.376370
2101 14 4.157552
2121 12 3.949674
2141 8 3.752191
2161 16 3.564581
2181 18 3.386352
2201 13 3.217034
2221 9 3.056183
2241 15 2.903374
2261 14 2.758205
2281 15 2.620295
2301 14 2.489280
2321 18 2.364816
2341 12 2.246575
2361 12 2.134246
2381 11 2.027534
2401 9 1.926157
2421 9 1.829849
2441 13 1.738357
2461 9 1.651439
2481 5 1.568867
2501 11 1.490424
2521 11 1.415903
2541 7 1.345107
2561 9 1.277852
2581 10 1.213960
2601 8 1.153262
2621 6 1.095598
2641 7 1.040819
2661 13 0.988778
2681 7 0.939339
2701 6 0.892372
2721 4 0.847753
2741 8 0.805366
2761 9 0.765097
2781 4 0.726842
2801 3 0.690500
2821 3 0.655975
2841 4 0.623177
2861 4 0.592018
2881 2 0.562417
2901 3 0.534296
2921 1 0.507581
2941 1 0.482202
2961 2 0.458092
2981 3 0.435187
3001 5 0.413428
3021 1 0.392757
3041 1 0.373119
3061 1 0.354463
3081 1 0.354463
3101 1 0.354463
3121 1 0.336740
3141 2 0.319903
3161 2 0.319903
3181 2 0.319903
3201 2 0.319903
3221 2 0.319903
3241 2 0.319903
3261 2 0.319903
3281 2 0.319903
3301 1 0.303908
3321 1 0.303908
3341 1 0.303908
3361 1 0.303908
3381 1 0.303908
3401 1 0.303908
3421 1 0.288712
3441 1 0.274277
3461 1 0.274277
3481 1 0.274277
3501 1 0.274277
3521 1 0.274277
3541 1 0.274277
3561 1 0.274277
3581 1 0.274277
