IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22320.967000 0.000000 22320.967000 -22320.967000 0.000000 0.000000
1 156 0.000000 0.000000 20957.686000 0.000000 20957.686000 -20957.686000 0.000000 0.000000
61 157 11248.463889 11248.463889 38866.279416 33766.162831 5100.116585 -27617.815527 0.000000 0.000000
61 156 10562.024401 10562.024401 37565.578314 32776.655051 4788.923263 -27003.553913 0.000000 0.000000
121 157 6419.438490 6419.438490 198480.439413 193477.840205 5002.599208 -192061.000923 0.000000 0.000000
121 156 6036.152748 6036.152748 180584.145291 175850.663684 4733.481607 -174547.992544 0.000000 0.000000
181 157 5451.813033 5451.813033 147740.509326 142845.536684 4894.972643 -142288.696293 0.000000 0.000000
181 156 5100.277497 5100.277497 149978.121980 145350.517454 4627.604526 -144877.844482 0.000000 0.000000
241 157 4910.420574 4910.420574 78365.055632 73580.055259 4785.000373 -73454.635058 0.000000 0.000000
241 156 4589.787964 4589.787964 72530.518137 68003.011958 4527.506179 -67940.730172 0.000000 0.000000
301 157 4587.218929 4587.218929 39240.739116 34563.887719 4676.851397 -34653.520187 0.000000 0.000000
301 156 4275.810409 4275.810409 43182.887936 38755.845027 4427.042909 -38907.077527 0.000000 0.000000
361 157 4368.207556 4368.207556 58943.484429 54372.730593 4570.753836 -54575.276874 0.000000 0.000000
361 156 4061.585369 4061.585369 57447.068520 53115.831258 4331.237262 -53385.483151 0.000000 0.000000
421 157 3815.365744 3815.365744 256266.455323 211415.002417 44851.452907 -252451.089580 0.000000 0.000000
421 156 3552.685367 3552.685367 235338.725172 192803.381979 42535.343193 -231786.039805 0.000000 0.000000
481 157 4900.738375 4900.738375 405503.451498 359812.896202 45690.555296 -400602.713124 0.000000 0.000000
481 156 4652.427413 4652.427413 373074.222025 329687.858218 43386.363807 -368421.794612 0.000000 0.000000
541 157 1189.436344 1189.436344 70095.276094 24240.054244 45855.221851 -68905.839751 0.000000 0.000000
541 156 1240.600387 1240.600387 67856.996265 24318.702394 43538.293871 -66616.395878 0.000000 0.000000
601 157 863.143696 863.143696 47281.264377 1523.102087 45758.162290 -46418.120681 0.000000 0.000000
601 156 895.366644 895.366644 46059.036096 2567.651412 43491.384684 -45163.669452 0.000000 0.000000
661 157 830.623601 830.623601 46518.129278 868.646160 45649.483118 -45687.505678 0.000000 0.000000
661 156 852.407552 852.407552 44790.591748 1365.830458 43424.761290 -43938.184196 0.000000 0.000000
721 157 810.681500 810.681500 46400.630693 868.378260 45532.252433 -45589.949193 0.000000 0.000000
721 156 827.746708 827.746708 44592.579765 1240.116710 43352.463055 -43764.833057 0.000000 0.000000
781 157 798.763865 798.763865 17253.478098 0.000000 17253.478098 -16454.714233 0.000000 0.000000
781 156 803.538308 803.538308 16899.474883 453.965094 16445.509789 -16095.936575 0.000000 0.000000
841 157 416.933514 416.933514 5071.584145 684.104566 4387.479578 -4654.650630 0.000000 0.000000
841 156 415.569166 415.569166 4625.950513 439.306550 4186.643963 -4210.381347 0.000000 0.000000
901 157 241.557906 241.557906 4578.795680 412.078741 4166.716939 -4337.237774 0.000000 0.000000
901 156 242.725800 242.725800 4392.810891 411.726662 3981.084229 -4150.085091 0.000000 0.000000
961 157 237.249678 237.249678 6034.014619 2091.124992 3942.889627 -5796.764941 0.000000 0.000000
961 156 238.089743 238.089743 6274.526088 2501.176193 3773.349894 -6036.436344 0.000000 0.000000
1021 157 203.505581 203.505581 8143.175342 4426.577125 3716.598218 -7939.669761 0.000000 0.000000
1021 156 206.242896 206.242896 6720.060178 3152.669019 3567.391160 -6513.817283 0.000000 0.000000
1081 157 182.431867 182.431867 3492.917956 0.000000 3492.917956 -3310.486089 0.000000 0.000000
1081 156 187.753290 187.753290 3763.459447 406.541857 3356.917590 -3575.706157 0.000000 0.000000
1141 157 182.009171 182.009171 3265.026871 0.000000 3265.026871 -3083.017700 0.000000 0.000000
1141 156 185.079159 185.079159 3404.520883 256.674610 3147.846273 -3219.441724 0.000000 0.000000
1201 157 181.583833 181.583833 3038.202752 0.000000 3038.202752 -2856.618919 0.000000 0.000000
1201 156 183.575274 183.575274 2936.064857 0.000000 2936.064857 -2752.489583 0.000000 0.000000
1261 157 181.155837 181.155837 2809.186713 0.000000 2809.186713 -2628.030875 0.000000 0.000000
1261 156 183.770517 183.770517 2723.943826 0.000000 2723.943826 -2540.173309 0.000000 0.000000
1321 157 181.649390 181.649390 2578.341056 0.000000 2578.341056 -2396.691666 0.000000 0.000000
1321 156 183.333877 183.333877 2511.245697 0.000000 2511.245697 -2327.911820 0.000000 0.000000
1381 157 181.181561 181.181561 2349.374668 0.000000 2349.374668 -2168.193107 0.000000 0.000000
1381 156 182.894508 182.894508 2294.330429 0.000000 2294.330429 -2111.435921 0.000000 0.000000
1441 157 180.750116 180.750116 2116.011421 0.000000 2116.011421 -1935.261305 0.000000 0.000000
