IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1215 100.000000
21 1060 99.990566
41 844 99.960948
61 0 99.960948
81 0 99.960948
101 0 99.960948
121 0 99.960948
141 0 99.960948
161 0 99.960948
181 0 99.960948
201 0 99.960948
221 0 99.960948
241 0 99.960948
261 0 99.960948
281 0 99.960948
301 0 99.960948
321 0 99.960948
341 0 99.960948
361 0 99.960948
381 0 99.960948
401 0 99.960948
421 0 99.960948
441 0 99.960948
461 0 99.960948
481 0 99.960948
501 0 99.960948
521 0 99.960948
541 0 99.960948
561 0 99.960948
581 0 99.960948
601 0 99.960948
621 0 99.960948
641 0 99.960948
661 0 99.960948
681 0 99.960948
701 0 99.960948
721 0 99.960948
741 0 99.960948
761 0 99.960948
781 0 99.960948
801 0 99.960948
821 2 94.962901
841 0 94.962901
861 0 94.962901
881 0 94.962901
901 0 94.962901
921 0 94.962901
941 1 90.214756
961 17 85.704018
981 33 81.418817
1001 41 77.347876
1021 45 73.480482
1041 32 69.806458
1061 22 66.316135
1081 29 63.000328
1101 16 59.850312
1121 21 56.857796
1141 34 54.014907
1161 44 51.314161
1181 30 48.748453
1201 32 46.311031
1221 30 43.995479
1241 33 41.795705
1261 39 39.705920
1281 52 37.720624
1301 43 35.834593
1321 36 34.042863
1341 43 32.340720
1361 46 30.723684
1381 50 29.187500
1401 48 27.728125
1421 49 26.341718
1441 42 25.024633
1461 38 23.773401
1481 42 22.584731
1501 58 21.455494
1521 45 20.382720
1541 43 19.363584
1561 55 18.395404
1581 50 17.475634
1601 45 16.601853
1621 54 15.771760
1641 40 14.983172
1661 48 14.234013
1681 60 13.522313
1701 52 12.846197
1721 57 12.203887
1741 45 11.593693
1761 55 11.014008
1781 42 10.463308
1801 56 9.940142
1821 46 9.443135
1841 48 8.970978
1861 61 8.522430
1881 56 8.096308
1901 50 7.691493
1921 40 7.306918
1941 42 6.941572
1961 40 6.594494
1981 53 6.264769
2001 44 5.951530
2021 39 5.653954
2041 40 5.371256
2061 49 5.102693
2081 45 4.847559
2101 31 4.605181
2121 53 4.374922
2141 43 4.156176
2161 53 3.948367
2181 29 3.750949
2201 38 3.563401
2221 52 3.385231
2241 41 3.215969
2261 39 3.055171
2281 48 2.902412
2301 36 2.757292
2321 31 2.619427
2341 45 2.488456
2361 35 2.364033
2381 29 2.245831
2401 44 2.133540
2421 31 2.026863
2441 40 1.925520
2461 24 1.829244
2481 34 1.737782
2501 28 1.650892
2521 30 1.568348
2541 21 1.489930
2561 32 1.415434
2581 24 1.344662
2601 18 1.277429
2621 21 1.213558
2641 26 1.152880
2661 22 1.095236
2681 16 1.040474
2701 19 0.988450
2721 20 0.939028
2741 18 0.892076
2761 17 0.847473
2781 21 0.805099
2801 14 0.764844
2821 15 0.726602
2841 14 0.690272
2861 24 0.655758
2881 11 0.622970
2901 8 0.591822
2921 12 0.562231
2941 8 0.534119
2961 15 0.507413
2981 7 0.482042
3001 10 0.457940
3021 6 0.435043
3041 5 0.413291
3061 9 0.392627
3081 8 0.372995
3101 4 0.354346
3121 9 0.336628
3141 3 0.319797
3161 7 0.303807
3181 5 0.288617
3201 3 0.274186
3221 4 0.260477
3241 3 0.247453
3261 1 0.235080
3281 1 0.223326
3301 3 0.212160
3321 1 0.201552
3341 2 0.191474
3361 1 0.181900
3381 2 0.172805
3401 1 0.164165
3421 1 0.164165
3441 2 0.155957
3461 1 0.148159
3481 1 0.140751
3501 2 0.133714
3521 1 0.127028
3541 2 0.120676
3561 2 0.120676
3581 2 0.120676
