IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
5 2581656 0.002842
10 2588856 0.002842
15 2583025 0.002842
20 3172794 0.002842
25 1775944 0.003817
30 1767172 0.003839
35 1701779 0.003987
40 1871767 0.004400
45 1504948 0.004291
50 1497093 0.004269
55 1486767 0.004299
60 1482576 0.004413
65 1474628 0.003986
70 1474633 0.003991
75 1463484 0.004021
80 1453664 0.004049
85 1529025 0.003804
90 1529431 0.003809
95 1524953 0.003820
100 1521631 0.003828
105 1574805 0.003663
110 1578065 0.003660
115 1563443 0.003694
120 1540127 0.003750
125 1563266 0.003703
130 1563547 0.003707
135 1560887 0.003713
140 1542361 0.003758
145 1415641 0.003990
150 1430892 0.003953
155 1409615 0.004012
160 1368609 0.004132
165 1344837 0.004125
170 1352517 0.004109
175 1349127 0.004119
180 1347675 0.004123
185 1358406 0.004028
190 1356891 0.004039
195 1359079 0.004032
200 1337494 0.004096
205 1343375 0.004101
210 1353504 0.004077
215 1343825 0.004106
220 1333540 0.004138
225 1333945 0.004162
230 1338252 0.004155
235 1333128 0.004171
240 1320396 0.004211
245 1333487 0.004199
250 1342807 0.004177
255 1337115 0.004195
260 1299795 0.004315
265 1287359 0.004388
270 1299327 0.004355
275 1295940 0.004367
280 1286119 0.004400
285 1287387 0.004434
290 1300830 0.004396
295 1289657 0.004433
300 1273070 0.004492
305 1298383 0.004441
310 1310136 0.004408
315 1291116 0.004473
320 1263389 0.004570
325 1156963 0.004951
330 1169722 0.004908
335 1166267 0.004921
340 1161420 0.004942
345 1142578 0.004994
350 1157163 0.004941
355 1153470 0.004956
360 1156236 0.004944
365 1141433 0.004982
370 1175629 0.004847
375 1163108 0.004899
380 396837 0.005155
385 893386 0.006071
390 970447 0.005610
395 969659 0.005614
400 535508 0.005635
405 852054 0.006086
410 928078 0.005611
415 928094 0.005610
420 660774 0.005645
425 749150 0.006579
430 815700 0.006070
435 183150 0.006062
440 0 0.006062
445 606075 0.007158
450 717936 0.006074
455 423989 0.006088
460 0 0.006088
465 524169 0.007328
470 636113 0.006073
475 587718 0.006085
480 0 0.006085
485 283000 0.008483
490 0 0.008483
495 0 0.008483
500 0 0.008483
505 283000 0.009411
510 0 0.009411
515 0 0.009411
520 0 0.009411
525 283000 0.009411
530 0 0.009411
535 0 0.009411
540 0 0.009411
545 283000 0.009411
550 0 0.009411
555 0 0.009411
560 0 0.009411
565 283000 0.009411
570 0 0.009411
575 0 0.009411
580 0 0.009411
585 283000 0.009411
590 0 0.009411
595 0 0.009411
600 0 0.009411
605 283000 0.009411
610 0 0.009411
615 0 0.009411
620 0 0.009411
625 283000 0.009411
630 0 0.009411
635 0 0.009411
640 0 0.009411
645 283000 0.009411
650 0 0.009411
655 0 0.009411
660 0 0.009411
665 283000 0.009411
670 0 0.009411
675 0 0.009411
680 0 0.009411
685 283000 0.009411
690 0 0.009411
695 0 0.009411
700 0 0.009411
705 283000 0.009411
710 0 0.009411
715 0 0.009411
720 0 0.009411
725 283000 0.009411
730 0 0.009411
735 0 0.009411
740 0 0.009411
745 283000 0.009411
750 0 0.009411
755 0 0.009411
760 0 0.009411
765 283000 0.009411
770 0 0.009411
775 0 0.009411
780 0 0.009411
785 283000 0.006478
790 0 0.006478
795 0 0.006478
800 0 0.006478
805 283000 0.006478
810 0 0.006478
815 0 0.006478
820 0 0.006478
825 283000 0.006478
830 0 0.006478
835 0 0.006478
840 0 0.006478
845 283000 0.006478
850 0 0.006478
855 0 0.006478
860 0 0.006478
865 283000 0.006478
870 0 0.006478
875 0 0.006478
880 0 0.006478
885 283000 0.006478
890 0 0.006478
895 0 0.006478
900 0 0.006478
905 283000 0.006478
910 0 0.006478
915 0 0.006478
920 0 0.006478
925 283000 0.006478
930 0 0.006478
935 0 0.006478
940 0 0.006478
945 283000 0.006478
950 0 0.006478
955 0 0.006478
960 0 0.006478
965 283000 0.006478
970 0 0.006478
975 0 0.006478
980 0 0.006478
985 283000 0.006478
990 0 0.006478
995 0 0.006478
1000 0 0.006478
1005 283000 0.006478
1010 0 0.006478
1015 0 0.006478
1020 0 0.006478
1025 283000 0.006478
1030 0 0.006478
1035 0 0.006478
1040 0 0.006478
1045 283000 0.006478
1050 0 0.006478
1055 0 0.006478
1060 0 0.006478
1065 283000 0.006478
1070 0 0.006478
1075 0 0.006478
1080 0 0.006478
1085 283000 0.006478
1090 0 0.006478
1095 0 0.006478
1100 0 0.006478
1105 283000 0.006478
1110 0 0.006478
1115 0 0.006478
1120 0 0.006478
1125 283000 0.006478
1130 0 0.006478
1135 0 0.006478
1140 0 0.006478
1145 283000 0.006478
1150 0 0.006478
1155 0 0.006478
