IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4112781.588316 2163932.650000 1948848.938316 0.000000 2163932.650000 -215083.711684 2163932.650000 0.000000
121 0.005000 -0.283820 9744.244692 0.000000 0.000000 4069540.624771 2163932.650000 1905607.974771 0.000000 2163932.650000 -258324.675229 2163932.650000 0.000000
181 0.005000 -0.318711 9528.039874 0.000000 0.000000 4028808.891461 2163932.650000 1864876.241461 0.000000 2163932.650000 -299056.408539 2163932.650000 0.000000
241 0.005000 -0.281825 9324.381207 0.000000 0.000000 3984937.079018 2163932.650000 1821004.429018 0.000000 2163932.650000 -342928.220982 2163932.650000 0.000000
301 0.005000 -0.266875 9105.022145 0.000000 0.000000 3943385.383920 2163932.650000 1779452.733920 0.000000 2163932.650000 -384479.916080 2163932.650000 0.000000
361 0.005000 0.013702 8897.263670 0.000000 0.000000 3907150.249620 2163932.650000 1743217.599620 0.000000 2163932.650000 -420715.050380 2163932.650000 0.000000
421 0.050000 0.335540 87160.879981 0.000000 0.000000 3950545.808033 2163932.650000 1786613.158033 0.000000 2163932.650000 -377319.491967 2163932.650000 0.000000
481 0.050000 0.391721 89330.657902 0.000000 0.000000 3981073.216355 2163932.650000 1817140.566355 0.000000 2163932.650000 -346792.083645 2163932.650000 0.000000
541 0.050000 0.521481 90857.028318 0.000000 0.000000 3992567.319001 2163932.650000 1828634.669001 0.000000 2163932.650000 -335297.980999 2163932.650000 0.000000
601 0.050000 1.120101 91431.733450 0.000000 0.000000 3992824.675190 2163932.650000 1828892.025190 0.000000 2163932.650000 -335040.624810 2163932.650000 0.000000
661 0.050000 0.897716 91444.601259 0.000000 0.000000 3993791.233770 2163932.650000 1829858.583770 0.000000 2163932.650000 -334074.066230 2163932.650000 0.000000
721 0.050000 0.640088 91492.929188 0.000000 0.000000 3994833.824397 2163932.650000 1830901.174397 0.000000 2163932.650000 -333031.475603 2163932.650000 0.000000
781 0.050000 0.472117 91545.058720 0.000000 0.000000 3995928.339320 2163932.650000 1831995.689320 0.000000 2163932.650000 -331936.960680 2163932.650000 0.000000
841 0.005000 0.000000 9159.978447 0.000000 0.000000 3914562.314206 2163932.650000 1750629.664206 0.000000 2163932.650000 -413302.985794 2163932.650000 0.000000
901 0.005000 -0.311668 8753.148321 0.000000 0.000000 3831013.324166 2163932.650000 1667080.674166 0.000000 2163932.650000 -496851.975834 2163932.650000 0.000000
961 0.005000 -0.311668 8335.403371 0.000000 0.000000 3747143.904335 2163932.650000 1583211.254335 0.000000 2163932.650000 -580721.395665 2163932.650000 0.000000
1021 0.005000 -0.311668 7916.056272 0.000000 0.000000 3662932.410967 2163932.650000 1498999.760967 0.000000 2163932.650000 -664932.889033 2163932.650000 0.000000
1081 0.005000 -0.311668 7494.998805 0.000000 0.000000 3578333.360131 2163932.650000 1414400.710131 0.000000 2163932.650000 -749531.939869 2163932.650000 0.000000
1141 0.005000 -0.000000 7072.003551 0.000000 0.000000 3493251.284042 2163932.650000 1329318.634042 0.000000 2163932.650000 -834614.015958 2163932.650000 0.000000
1201 0.005000 -0.000000 6646.593170 0.000000 0.000000 3407810.346322 2163932.650000 1243877.696322 0.000000 2163932.650000 -920054.953678 2163932.650000 0.000000
1261 0.005000 0.000000 6219.388482 0.000000 0.000000 3321612.188913 2163932.650000 1157679.538913 0.000000 2163932.650000 -1006253.111087 2163932.650000 0.000000
1321 0.005000 -0.000000 5788.397695 0.000000 0.000000 3234908.583058 2163932.650000 1070975.933058 0.000000 2163932.650000 -1092956.716942 2163932.650000 0.000000
